"","calibrated","logger","Date","Time"
"1",1473,1,2022-03-05,"09:10:00"
"2",3374.4,1,2022-03-05,"09:20:00"
"3",6005.8,1,2022-03-05,"09:30:00"
"4",6710.5,1,2022-03-05,"09:40:00"
"5",7713.6,1,2022-03-05,"09:50:00"
"6",10588,1,2022-03-05,"10:00:00"
"7",9314.6,1,2022-03-05,"10:10:00"
"8",6326.4,1,2022-03-05,"10:20:00"
"9",3123.4,1,2022-03-05,"10:30:00"
"10",2636.4,1,2022-03-05,"10:40:00"
"11",2659.6,1,2022-03-05,"10:50:00"
"12",4388.6,1,2022-03-05,"11:00:00"
"13",6050.1,1,2022-03-05,"11:10:00"
"14",5657.9,1,2022-03-05,"11:20:00"
"15",11833.1,1,2022-03-05,"11:30:00"
"16",13513.7,1,2022-03-05,"11:40:00"
"17",14685.3,1,2022-03-05,"11:50:00"
"18",14620.7,1,2022-03-05,"12:00:00"
"19",14749.8,1,2022-03-05,"12:10:00"
"20",14684.3,1,2022-03-05,"12:20:00"
"21",14462.4,1,2022-03-05,"12:30:00"
"22",14379.8,1,2022-03-05,"12:40:00"
"23",14655,1,2022-03-05,"12:50:00"
"24",14499.8,1,2022-03-05,"13:00:00"
"25",12056.9,1,2022-03-05,"13:10:00"
"26",13512.7,1,2022-03-05,"13:20:00"
"27",13618.6,1,2022-03-05,"13:30:00"
"28",13458.3,1,2022-03-05,"13:40:00"
"29",13239.5,1,2022-03-05,"13:50:00"
"30",13152.8,1,2022-03-05,"14:00:00"
"31",12060.9,1,2022-03-05,"14:10:00"
"32",12175.9,1,2022-03-05,"14:20:00"
"33",11817,1,2022-03-05,"14:30:00"
"34",11396.6,1,2022-03-05,"14:40:00"
"35",8428.4,1,2022-03-05,"14:50:00"
"36",10569.8,1,2022-03-05,"15:00:00"
"37",10081.9,1,2022-03-05,"15:10:00"
"38",9459.8,1,2022-03-05,"15:20:00"
"39",9013.2,1,2022-03-05,"15:30:00"
"40",8327.6,1,2022-03-05,"15:40:00"
"41",7711.6,1,2022-03-05,"15:50:00"
"42",7093.6,1,2022-03-05,"16:00:00"
"43",6430.2,1,2022-03-05,"16:10:00"
"44",5785,1,2022-03-05,"16:20:00"
"45",5242.6,1,2022-03-05,"16:30:00"
"46",4702.2,1,2022-03-05,"16:40:00"
"47",4138.6,1,2022-03-05,"16:50:00"
"48",3547.8,1,2022-03-05,"17:00:00"
"49",2874.3,1,2022-03-05,"17:10:00"
"50",2117.2,1,2022-03-05,"17:20:00"
"51",1662.5,1,2022-03-05,"17:30:00"
"52",899.3,1,2022-03-05,"17:40:00"
"53",650.3,1,2022-03-05,"17:50:00"
"54",564.6,1,2022-03-05,"18:00:00"
"55",316.6,1,2022-03-05,"18:10:00"
"56",126,1,2022-03-05,"18:20:00"
"57",31.3,1,2022-03-05,"18:30:00"
"58",6,1,2022-03-05,"18:40:00"
"59",0,1,2022-03-05,"18:50:00"
"60",0,1,2022-03-05,"19:00:00"
"61",0,1,2022-03-05,"19:10:00"
"62",0,1,2022-03-05,"19:20:00"
"63",0,1,2022-03-05,"19:30:00"
"64",0,1,2022-03-05,"19:40:00"
"65",0,1,2022-03-05,"19:50:00"
"66",0,1,2022-03-05,"20:00:00"
"67",0,1,2022-03-05,"20:10:00"
"68",0,1,2022-03-05,"20:20:00"
"69",0,1,2022-03-05,"20:30:00"
"70",0,1,2022-03-05,"20:40:00"
"71",0,1,2022-03-05,"20:50:00"
"72",0,1,2022-03-05,"21:00:00"
"73",0,1,2022-03-05,"21:10:00"
"74",0,1,2022-03-05,"21:20:00"
"75",0,1,2022-03-05,"21:30:00"
"76",0,1,2022-03-05,"21:40:00"
"77",0,1,2022-03-05,"21:50:00"
"78",0,1,2022-03-05,"22:00:00"
"79",0,1,2022-03-05,"22:10:00"
"80",0,1,2022-03-05,"22:20:00"
"81",0,1,2022-03-05,"22:30:00"
"82",0,1,2022-03-05,"22:40:00"
"83",0,1,2022-03-05,"22:50:00"
"84",0,1,2022-03-05,"23:00:00"
"85",0,1,2022-03-05,"23:10:00"
"86",0,1,2022-03-05,"23:20:00"
"87",0,1,2022-03-05,"23:30:00"
"88",0,1,2022-03-05,"23:40:00"
"89",0,1,2022-03-05,"23:50:00"
"90",0,1,2022-03-06,NA
"91",0,1,2022-03-06,"00:10:00"
"92",0,1,2022-03-06,"00:20:00"
"93",0,1,2022-03-06,"00:30:00"
"94",0,1,2022-03-06,"00:40:00"
"95",0,1,2022-03-06,"00:50:00"
"96",0,1,2022-03-06,"01:00:00"
"97",0,1,2022-03-06,"01:10:00"
"98",0,1,2022-03-06,"01:20:00"
"99",0,1,2022-03-06,"01:30:00"
"100",0,1,2022-03-06,"01:40:00"
"101",0,1,2022-03-06,"01:50:00"
"102",0,1,2022-03-06,"02:00:00"
"103",0,1,2022-03-06,"02:10:00"
"104",0,1,2022-03-06,"02:20:00"
"105",0,1,2022-03-06,"02:30:00"
"106",0,1,2022-03-06,"02:40:00"
"107",0,1,2022-03-06,"02:50:00"
"108",0,1,2022-03-06,"03:00:00"
"109",0,1,2022-03-06,"03:10:00"
"110",0,1,2022-03-06,"03:20:00"
"111",0,1,2022-03-06,"03:30:00"
"112",0,1,2022-03-06,"03:40:00"
"113",0,1,2022-03-06,"03:50:00"
"114",0,1,2022-03-06,"04:00:00"
"115",0,1,2022-03-06,"04:10:00"
"116",0,1,2022-03-06,"04:20:00"
"117",0,1,2022-03-06,"04:30:00"
"118",0,1,2022-03-06,"04:40:00"
"119",0,1,2022-03-06,"04:50:00"
"120",0,1,2022-03-06,"05:00:00"
"121",0,1,2022-03-06,"05:10:00"
"122",0,1,2022-03-06,"05:20:00"
"123",0,1,2022-03-06,"05:30:00"
"124",0,1,2022-03-06,"05:40:00"
"125",2,1,2022-03-06,"05:50:00"
"126",25.2,1,2022-03-06,"06:00:00"
"127",111.9,1,2022-03-06,"06:10:00"
"128",272.2,1,2022-03-06,"06:20:00"
"129",444.6,1,2022-03-06,"06:30:00"
"130",673.5,1,2022-03-06,"06:40:00"
"131",1068.7,1,2022-03-06,"06:50:00"
"132",1691.7,1,2022-03-06,"07:00:00"
"133",1688.7,1,2022-03-06,"07:10:00"
"134",2736.2,1,2022-03-06,"07:20:00"
"135",3366.3,1,2022-03-06,"07:30:00"
"136",3914.8,1,2022-03-06,"07:40:00"
"137",4363.4,1,2022-03-06,"07:50:00"
"138",4790.9,1,2022-03-06,"08:00:00"
"139",5565.2,1,2022-03-06,"08:10:00"
"140",6257.8,1,2022-03-06,"08:20:00"
"141",6853.7,1,2022-03-06,"08:30:00"
"142",7517,1,2022-03-06,"08:40:00"
"143",8211.7,1,2022-03-06,"08:50:00"
"144",8954.7,1,2022-03-06,"09:00:00"
"145",9037.4,1,2022-03-06,"09:10:00"
"146",5644.8,1,2022-03-06,"09:20:00"
"147",8647.2,1,2022-03-06,"09:30:00"
"148",6375.8,1,2022-03-06,"09:40:00"
"149",9192.7,1,2022-03-06,"09:50:00"
"150",11895.6,1,2022-03-06,"10:00:00"
"151",12342.2,1,2022-03-06,"10:10:00"
"152",12738.4,1,2022-03-06,"10:20:00"
"153",13006.6,1,2022-03-06,"10:30:00"
"154",13363.5,1,2022-03-06,"10:40:00"
"155",13830.3,1,2022-03-06,"10:50:00"
"156",14016.8,1,2022-03-06,"11:00:00"
"157",13444.2,1,2022-03-06,"11:10:00"
"158",14383.8,1,2022-03-06,"11:20:00"
"159",14669.1,1,2022-03-06,"11:30:00"
"160",14997.8,1,2022-03-06,"11:40:00"
"161",15449.5,1,2022-03-06,"11:50:00"
"162",15357.7,1,2022-03-06,"12:00:00"
"163",15283.1,1,2022-03-06,"12:10:00"
"164",15732.8,1,2022-03-06,"12:20:00"
"165",15304.3,1,2022-03-06,"12:30:00"
"166",15174.2,1,2022-03-06,"12:40:00"
"167",14681.2,1,2022-03-06,"12:50:00"
"168",14325.3,1,2022-03-06,"13:00:00"
"169",14271.9,1,2022-03-06,"13:10:00"
"170",14438.3,1,2022-03-06,"13:20:00"
"171",14562.3,1,2022-03-06,"13:30:00"
"172",11814.9,1,2022-03-06,"13:40:00"
"173",12475.3,1,2022-03-06,"13:50:00"
"174",13532.9,1,2022-03-06,"14:00:00"
"175",8220.8,1,2022-03-06,"14:10:00"
"176",11791.8,1,2022-03-06,"14:20:00"
"177",11200,1,2022-03-06,"14:30:00"
"178",10896.5,1,2022-03-06,"14:40:00"
"179",10364.2,1,2022-03-06,"14:50:00"
"180",9856,1,2022-03-06,"15:00:00"
"181",9412.4,1,2022-03-06,"15:10:00"
"182",8891.2,1,2022-03-06,"15:20:00"
"183",8037.3,1,2022-03-06,"15:30:00"
"184",7561.4,1,2022-03-06,"15:40:00"
"185",7181.3,1,2022-03-06,"15:50:00"
"186",6661.1,1,2022-03-06,"16:00:00"
"187",5601.5,1,2022-03-06,"16:10:00"
"188",5501.7,1,2022-03-06,"16:20:00"
"189",5114.5,1,2022-03-06,"16:30:00"
"190",3578.1,1,2022-03-06,"16:40:00"
"191",2527.5,1,2022-03-06,"16:50:00"
"192",2099,1,2022-03-06,"17:00:00"
"193",2491.2,1,2022-03-06,"17:10:00"
"194",1970,1,2022-03-06,"17:20:00"
"195",1269.3,1,2022-03-06,"17:30:00"
"196",868,1,2022-03-06,"17:40:00"
"197",738,1,2022-03-06,"17:50:00"
"198",568.6,1,2022-03-06,"18:00:00"
"199",381.1,1,2022-03-06,"18:10:00"
"200",144.2,1,2022-03-06,"18:20:00"
"201",30.2,1,2022-03-06,"18:30:00"
"202",5,1,2022-03-06,"18:40:00"
"203",0,1,2022-03-06,"18:50:00"
"204",0,1,2022-03-06,"19:00:00"
"205",0,1,2022-03-06,"19:10:00"
"206",0,1,2022-03-06,"19:20:00"
"207",0,1,2022-03-06,"19:30:00"
"208",0,1,2022-03-06,"19:40:00"
"209",0,1,2022-03-06,"19:50:00"
"210",0,1,2022-03-06,"20:00:00"
"211",0,1,2022-03-06,"20:10:00"
"212",0,1,2022-03-06,"20:20:00"
"213",0,1,2022-03-06,"20:30:00"
"214",0,1,2022-03-06,"20:40:00"
"215",0,1,2022-03-06,"20:50:00"
"216",0,1,2022-03-06,"21:00:00"
"217",0,1,2022-03-06,"21:10:00"
"218",0,1,2022-03-06,"21:20:00"
"219",0,1,2022-03-06,"21:30:00"
"220",0,1,2022-03-06,"21:40:00"
"221",0,1,2022-03-06,"21:50:00"
"222",0,1,2022-03-06,"22:00:00"
"223",0,1,2022-03-06,"22:10:00"
"224",0,1,2022-03-06,"22:20:00"
"225",0,1,2022-03-06,"22:30:00"
"226",0,1,2022-03-06,"22:40:00"
"227",0,1,2022-03-06,"22:50:00"
"228",0,1,2022-03-06,"23:00:00"
"229",0,1,2022-03-06,"23:10:00"
"230",0,1,2022-03-06,"23:20:00"
"231",0,1,2022-03-06,"23:30:00"
"232",0,1,2022-03-06,"23:40:00"
"233",0,1,2022-03-06,"23:50:00"
"234",0,1,2022-03-07,NA
"235",0,1,2022-03-07,"00:10:00"
"236",0,1,2022-03-07,"00:20:00"
"237",0,1,2022-03-07,"00:30:00"
"238",0,1,2022-03-07,"00:40:00"
"239",0,1,2022-03-07,"00:50:00"
"240",0,1,2022-03-07,"01:00:00"
"241",0,1,2022-03-07,"01:10:00"
"242",0,1,2022-03-07,"01:20:00"
"243",0,1,2022-03-07,"01:30:00"
"244",0,1,2022-03-07,"01:40:00"
"245",0,1,2022-03-07,"01:50:00"
"246",0,1,2022-03-07,"02:00:00"
"247",0,1,2022-03-07,"02:10:00"
"248",0,1,2022-03-07,"02:20:00"
"249",0,1,2022-03-07,"02:30:00"
"250",0,1,2022-03-07,"02:40:00"
"251",0,1,2022-03-07,"02:50:00"
"252",0,1,2022-03-07,"03:00:00"
"253",0,1,2022-03-07,"03:10:00"
"254",0,1,2022-03-07,"03:20:00"
"255",0,1,2022-03-07,"03:30:00"
"256",0,1,2022-03-07,"03:40:00"
"257",0,1,2022-03-07,"03:50:00"
"258",0,1,2022-03-07,"04:00:00"
"259",0,1,2022-03-07,"04:10:00"
"260",0,1,2022-03-07,"04:20:00"
"261",0,1,2022-03-07,"04:30:00"
"262",0,1,2022-03-07,"04:40:00"
"263",0,1,2022-03-07,"04:50:00"
"264",0,1,2022-03-07,"05:00:00"
"265",0,1,2022-03-07,"05:10:00"
"266",0,1,2022-03-07,"05:20:00"
"267",0,1,2022-03-07,"05:30:00"
"268",0,1,2022-03-07,"05:40:00"
"269",3,1,2022-03-07,"05:50:00"
"270",28.2,1,2022-03-07,"06:00:00"
"271",116.9,1,2022-03-07,"06:10:00"
"272",279.3,1,2022-03-07,"06:20:00"
"273",524.3,1,2022-03-07,"06:30:00"
"274",843.9,1,2022-03-07,"06:40:00"
"275",1198.7,1,2022-03-07,"06:50:00"
"276",1660.5,1,2022-03-07,"07:00:00"
"277",1928.7,1,2022-03-07,"07:10:00"
"278",2729.2,1,2022-03-07,"07:20:00"
"279",3393.6,1,2022-03-07,"07:30:00"
"280",3895.6,1,2022-03-07,"07:40:00"
"281",4481.4,1,2022-03-07,"07:50:00"
"282",5063.1,1,2022-03-07,"08:00:00"
"283",5603.5,1,2022-03-07,"08:10:00"
"284",6218.5,1,2022-03-07,"08:20:00"
"285",6921.2,1,2022-03-07,"08:30:00"
"286",7595.7,1,2022-03-07,"08:40:00"
"287",8206.6,1,2022-03-07,"08:50:00"
"288",7513,1,2022-03-07,"09:00:00"
"289",1403.4,1,2022-03-07,"09:10:00"
"290",6014.8,1,2022-03-07,"09:20:00"
"291",12178.9,1,2022-03-07,"09:30:00"
"292",11231.2,1,2022-03-07,"09:40:00"
"293",9064.6,1,2022-03-07,"09:50:00"
"294",9032.4,1,2022-03-07,"10:00:00"
"295",12228.3,1,2022-03-07,"10:10:00"
"296",12610.4,1,2022-03-07,"10:20:00"
"297",12877.6,1,2022-03-07,"10:30:00"
"298",13158.9,1,2022-03-07,"10:40:00"
"299",13547,1,2022-03-07,"10:50:00"
"300",13673,1,2022-03-07,"11:00:00"
"301",11894.6,1,2022-03-07,"11:10:00"
"302",14251.7,1,2022-03-07,"11:20:00"
"303",14271.9,1,2022-03-07,"11:30:00"
"304",14375.7,1,2022-03-07,"11:40:00"
"305",14299.1,1,2022-03-07,"11:50:00"
"306",14315.3,1,2022-03-07,"12:00:00"
"307",12993.5,1,2022-03-07,"12:10:00"
"308",14407,1,2022-03-07,"12:20:00"
"309",14443.3,1,2022-03-07,"12:30:00"
"310",14443.3,1,2022-03-07,"12:40:00"
"311",14008.8,1,2022-03-07,"12:50:00"
"312",13776.9,1,2022-03-07,"13:00:00"
"313",14062.2,1,2022-03-07,"13:10:00"
"314",12646.7,1,2022-03-07,"13:20:00"
"315",13409.9,1,2022-03-07,"13:30:00"
"316",13278.8,1,2022-03-07,"13:40:00"
"317",12946.1,1,2022-03-07,"13:50:00"
"318",12401.7,1,2022-03-07,"14:00:00"
"319",11963.2,1,2022-03-07,"14:10:00"
"320",11493.3,1,2022-03-07,"14:20:00"
"321",11329,1,2022-03-07,"14:30:00"
"322",10804.7,1,2022-03-07,"14:40:00"
"323",10363.2,1,2022-03-07,"14:50:00"
"324",9806.6,1,2022-03-07,"15:00:00"
"325",9254.2,1,2022-03-07,"15:10:00"
"326",8712.8,1,2022-03-07,"15:20:00"
"327",8147.2,1,2022-03-07,"15:30:00"
"328",7738.8,1,2022-03-07,"15:40:00"
"329",7163.2,1,2022-03-07,"15:50:00"
