Pan.ID,colony_id,partner,timepoint,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g
60,ACR-414,Host,APRIL,0.24781,0.3109,0.3015
23,ACR-415,Host,APRIL,0.33096,0.38448,0.36965
58,ACR-416,Host,APRIL,0.24498,0.2839,0.2777
187,ACR-417,Host,APRIL,0.31363,0.38645,0.36835
119,ACR-418,Host,APRIL,0.26298,0.32486,0.31514
228,ACR-420,Host,APRIL,0.29888,0.30917,0.3084
109,ACR-421,Host,APRIL,0.27668,0.33748,0.32963
138,ACR-422,Host,APRIL,0.3056,0.3682,0.35885
148,ACR-423,Host,APRIL,0.32265,0.39187,0.34027
29,ACR-424,Host,APRIL,0.26777,0.33431,0.32395
142,ACR-425,Host,APRIL,0.29191,0.34844,0.34027
26,ACR-426,Host,APRIL,0.2701,0.33751,0.3246
57,ACR-427,Host,APRIL,0.28254,0.30706,0.30496
192,ACR-428,Host,APRIL,0.31265,0.36972,0.35945
67,ACR-429,Host,APRIL,0.26914,0.33155,0.31929
137,ACR-430,Host,APRIL,0.30265,0.36972,0.35364
130,ACR-431,Host,APRIL,0.32487,0.38457,0.3761
171,ACR-433,Host,APRIL,0.29098,0.31452,0.31016
115,ACR-434,Host,APRIL,0.24173,0.26086,0.25871
124,ACR-435,Host,APRIL,0.28853,0.35652,0.34301
5,ACR-436,Host,APRIL,0.26483,0.31489,0.30151
6,ACR-437,Host,APRIL,0.32431,0.38465,0.3772
128,ACR-438,Host,APRIL,0.29277,0.35391,0.34613
62,ACR-439,Host,APRIL,0.27957,0.31303,0.30663
101,ACR-446,Host,APRIL,0.25724,0.32545,0.31076
13,ACR-447,Host,APRIL,0.30241,0.35587,0.34966
211,ACR-448,Host,APRIL,0.26196,0.32568,0.31306
94,ACR-449,Host,APRIL,0.27691,0.34263,0.3305
150,ACR-451,Host,APRIL,0.30928,0.3754,0.3629
118,ACR-456,Host,APRIL,0.25998,0.32532,0.31432
105,ACR-457,Host,APRIL,0.25668,0.31217,0.30299
77,ACR-458,Host,APRIL,0.26382,0.33034,0.317
125,ACR-459,Host,APRIL,0.3,0.36679,0.3536
104,ACR-460,Host,APRIL,0.26931,0.33567,0.32345
48,ACR-461,Host,APRIL,0.28092,0.34542,0.33353
97,ACR-462,Host,APRIL,0.27837,0.33284,0.32407
170,ACR-463,Host,APRIL,0.274,0.34375,0.32915
25,ACR-464,Host,APRIL,0.26752,0.33521,0.3214
179,ACR-465,Host,APRIL,0.31568,0.38126,0.36947
42,ACR-414,Sym,APRIL,0.28937,0.30648,0.30282
199,ACR-415,Sym,APRIL,0.31499,0.3337,0.32797
121,ACR-416,Sym,APRIL,0.26607,0.28198,0.2777
215,ACR-417,Sym,APRIL,0.3209,0.34089,0.33458
117,ACR-418,Sym,APRIL,0.26286,0.2793,0.27642
82,ACR-420,Sym,APRIL,0.28116,0.29416,0.29218
183,ACR-421,Sym,APRIL,0.30181,0.31632,0.31329
65,ACR-422,Sym,APRIL,0.27881,0.29771,0.29203
46,ACR-423,Sym,APRIL,0.28351,0.3041,0.29963
88,ACR-424,Sym,APRIL,0.2901,0.30657,0.30256
61,ACR-425,Sym,APRIL,0.25302,0.2735,0.2679
123,ACR-426,Sym,APRIL,0.27255,0.29244,0.28636
2,ACR-427,Sym,APRIL,0.32037,0.33511,0.33332
135,ACR-428,Sym,APRIL,0.30787,0.32559,0.32066
178,ACR-429,Sym,APRIL,0.3036,0.32225,0.31717
209,ACR-430,Sym,APRIL,0.32126,0.34937,0.33608
19,ACR-431,Sym,APRIL,0.2974,0.31375,0.3099
56,ACR-433,Sym,APRIL,0.29197,0.31022,0.30417
159,ACR-434,Sym,APRIL,0.30257,0.31463,0.31337
37,ACR-435,Sym,APRIL,0.25576,0.2764,0.26961
222,ACR-436,Sym,APRIL,0.294,0.31103,0.30763
54,ACR-437,Sym,APRIL,0.30097,0.3166,0.31471
129,ACR-438,Sym,APRIL,0.32283,0.33716,0.33587
8,ACR-439,Sym,APRIL,0.33101,0.35062,0.3464
197,ACR-446,Sym,APRIL,0.32076,0.33941,0.33437
68,ACR-447,Sym,APRIL,0.27447,0.2885,0.28709
230,ACR-448,Sym,APRIL,0.30721,0.32671,0.32036
1,ACR-449,Sym,APRIL,0.31956,0.33981,0.3333
36,ACR-451,Sym,APRIL,0.26313,0.28503,0.2763
134,ACR-456,Sym,APRIL,0.30226,0.3241,0.3166
28,ACR-457,Sym,APRIL,0.28231,0.29743,0.2941
40,ACR-458,Sym,APRIL,0.28158,0.30015,0.29526
111,ACR-459,Sym,APRIL,0.27263,0.2912,0.28603
27,ACR-460,Sym,APRIL,0.29062,0.3119,0.3046
195,ACR-461,Sym,APRIL,0.31728,0.33937,0.3318
49,ACR-462,Sym,APRIL,0.2788,0.29832,0.29252
169,ACR-463,Sym,APRIL,0.28115,0.29547,0.29295
21,ACR-464,Sym,APRIL,0.31574,0.33679,0.33046
89,ACR-465,Sym,APRIL,0.28821,0.30748,0.30107
