Well,562:562
A1,2.804
B1,0.381
C1,1.497
D1,2.313
E1,0.787
F1,0.111
G1,0.115
H1,0.122
A2,2.786
B2,0.358
C2,1.516
D2,2.374
E2,0.798
F2,0.111
G2,0.117
H2,0.118
A3,2.234
B3,0.184
C3,1.15
D3,1.71
E3,2.162
F3,0.115
G3,0.104
H3,0.114
A4,2.345
B4,0.182
C4,1.126
D4,1.784
E4,2.164
F4,0.098
G4,0.109
H4,0.113
A5,1.635
B5,0.155
C5,0.152
D5,2.061
E5,2.054
F5,0.105
G5,0.103
H5,0.112
A6,1.655
B6,0.153
C6,1.024
D6,2.034
E6,1.062
F6,0.1
G6,0.105
H6,0.111
A7,1.363
B7,1.857
C7,2.133
D7,1.928
E7,1.505
F7,0.099
G7,0.1
H7,0.111
A8,1.322
B8,1.936
C8,2.037
D8,2.055
E8,1.459
F8,0.104
G8,0.103
H8,0.11
A9,0.913
B9,1.764
C9,1.966
D9,0.698
E9,0.101
F9,0.106
G9,0.103
H9,0.109
A10,0.913
B10,1.841
C10,1.89
D10,0.695
E10,0.105
F10,0.111
G10,0.112
H10,0.113
A11,0.537
B11,1.793
C11,1.658
D11,1.284
E11,0.113
F11,0.111
G11,0.111
H11,0.111
A12,0.56
B12,1.846
C12,1.72
D12,1.319
E12,0.115
F12,0.113
G12,0.112
H12,0.117
