Well,562:562
A1,2.918
B1,0.372
C1,0.865
D1,1.176
E1,1.633
F1,0.117
G1,0.116
H1,0.125
A2,2.8
B2,0.355
C2,0.842
D2,1.159
E2,1.623
F2,0.113
G2,0.109
H2,0.114
A3,2.286
B3,0.191
C3,1.525
D3,1.264
E3,1.747
F3,0.105
G3,0.103
H3,0.112
A4,2.355
B4,0.183
C4,1.548
D4,1.257
E4,1.72
F4,0.1
G4,0.105
H4,0.117
A5,1.486
B5,0.162
C5,1.26
D5,1.038
E5,1.58
F5,0.104
G5,0.105
H5,0.129
A6,1.544
B6,0.14
C6,1.21
D6,1.018
E6,1.521
F6,0.1
G6,0.11
H6,0.119
A7,1.323
B7,0.854
C7,1.167
D7,1.682
E7,1.635
F7,0.1
G7,0.101
H7,0.121
A8,1.319
B8,0.826
C8,1.175
D8,1.706
E8,1.61
F8,0.104
G8,0.103
H8,0.108
A9,0.905
B9,0.777
C9,1.259
D9,1.383
E9,1.013
F9,0.104
G9,0.105
H9,0.114
A10,0.879
B10,0.745
C10,1.252
D10,1.397
E10,1.096
F10,0.104
G10,0.111
H10,0.111
A11,0.541
B11,1.034
C11,1.523
D11,1.155
E11,0.111
F11,0.115
G11,0.119
H11,0.12
A12,0.542
B12,1.078
C12,1.551
D12,1.191
E12,0.114
F12,0.113
G12,0.111
H12,0.125
