colony_id,Sample,Diameter,weight1.g,weight2.g,Notes
1,Standard,7.44,140.4,146,
2,Standard,6.22,93.271,96.842,
3,Standard,5.08,46.368,48.827,
4,Standard,3.16,10.977,11.685,
5,Standard,2.52,6.212,6.59,
6,Standard,1.9,2.204,2.411,
7,Standard,1.18,0.577,0.649,
ACR-430,Coral,NA,3.61,4.11,
ACR-425,Coral,NA,2.65,2.95,
ACR-423,Coral,NA,4.34,4.73,
ACR-458,Coral,NA,0.86,1.04,
ACR-457,Coral,NA,0.68,0.8,
ACR-414,Coral,NA,0.56,0.75,
ACR-462,Coral,NA,0.54,0.66,
ACR-451,Coral,NA,3.22,3.59,
ACR-463,Coral,NA,1.13,1.41,
ACR-421,Coral,NA,1.03,1.14,
ACR-449,Coral,NA,0.85,1.07,
ACR-434,Coral,NA,0.46,0.56,
ACR-456,Coral,NA,1.18,1.47,
ACR-428,Coral,NA,0.86,1.01,
ACR-420,Coral,NA,1.34,1.46,
ACR-431,Coral,NA,4.11,4.63,
ACR-417,Coral,NA,2.83,3.23,
ACR-416,Coral,NA,2.02,2.32,
ACR-465,Coral,NA,4.93,5.29,
ACR-437,Coral,NA,0.33,0.39,
ACR-438,Coral,NA,0.43,0.54,
ACR-418,Coral,NA,1.25,1.47,
ACR-415,Coral,NA,3.01,3.51,
ACR-436,Coral,NA,0.68,0.79,
ACR-446,Coral,NA,0.89,1.09,
ACR-460,Coral,NA,3.76,4.38,
ACR-429,Coral,NA,2.26,2.54,
ACR-447,Coral,NA,0.3,0.37,
ACR-427,Coral,NA,0.83,1.03,
ACR-464,Coral,NA,2.76,2.97,
ACR-448,Coral,NA,2.96,3.3,
ACR-435,Coral,NA,4.28,5.06,
ACR-424,Coral,NA,1.43,1.7,
ACR-422,Coral,NA,2.66,3.04,
ACR-461,Coral,NA,1.15,1.38,
ACR-432,Coral,NA,0.7,0.89,
ACR-426,Coral,NA,2.9,3.41,
ACR-433,Coral,NA,2.38,2.68,
ACR-439,Coral,NA,4.58,5.3,
ACR-459,Coral,NA,1.75,2.37,
