colony_id,timepoint,Squares.Counted,Count1,Count2,Count3,Count4,Count5,Count6,Count7,Count8,Dilution,Counter,Date.Counted,Average Per Square,Std.Dev. Per square,CV
ACR-414,APR,2,107,89,91,101,106,94,,,,Janya,20220726,49,3.872983346,7.904047645
ACR-415,APR,2,153,160,157,151,134,145,,,,Janya,20220725,75,4.69041576,6.25388768
ACR-416,APR,2,123,123,102,108,130,121,,,,Janya,20220728,58.91666667,5.285987766,8.971973578
ACR-417,APR,1,117,125,113,108,112,114,,,,Janya,20220726,114.8333333,5.776388722,5.030236913
ACR-418,APR,2,109,94,100,111,96,104,,,,Janya,20220725,51.16666667,3.444802849,6.732513711
ACR-420,APR,2,154,130,131,128,134,143,,,,Janya,20220726,68.33333333,4.996665555,7.312193495
ACR-421,APR,2,161,165,160,144,152,149,,,,Janya,20220728,77.58333333,4.042482735,5.210504063
ACR-422,APR,1,105,106,99,93,104,100,,,,Janya,20220726,101.1666667,4.875106836,4.818886494
ACR-423,APR,1,106,92,84,95,89,96,,,,Janya,20220728,93.66666667,7.44759469,7.951168708
ACR-424,APR,2,163,138,145,174,165,159,,,,Janya,20220728,78.66666667,6.69825848,8.514735356
ACR-425,APR,2,104,129,112,97,103,96,115,,,Janya,20220728,54,5.816642789,10.77156072
ACR-426,APR,1,106,119,106,102,118,110,,,,Janya,20220726,110.1666667,6.940220938,6.299746691
ACR-427,APR,2,111,104,93,99,105,90,,,,Janya,20220726,50.16666667,3.945461528,7.864707364
ACR-428,APR,1,125,103,128,113,102,117,,,,Janya,20220726,114.6666667,10.85664159,9.468001389
ACR-429,APR,2,136,146,119,112,123,127,,,,Janya,20220725,63.58333333,6.110782819,9.610667606
ACR-430,APR,1,231,241,233,230,222,233,,,,Janya,20220725,231.6666667,6.121002097,2.642159178
ACR-431,APR,1,107,108,110,100,93,104,,,,Janya,20220728,103.6666667,6.282250128,6.060048355
ACR-433,APR,2,162,155,147,156,131,134,,,,Janya,20220728,73.75,6.298809411,8.540758524
ACR-434,APR,2,100,102,109,107,98,100,,,,Janya,20220726,51.33333333,2.183269719,4.25312283
ACR-435,APR,1,132,126,125,123,140,135,,,,Janya,20220728,130.1666667,6.615638039,5.082436394
ACR-436,APR,3,136,122,123,133,120,113,,,,Janya,20220728,41.5,2.849951267,6.86735245
ACR-437,APR,4,112,113,115,112,117,116,,,,Janya,20220728,28.54166667,0.534244014,1.871803845
ACR-438,APR,3,124,126,131,139,142,137,,,,Janya,20220728,44.38888889,2.435083085,5.485794183
ACR-439,APR,1,101,87,90,102,88,91,,,,Janya,20220728,93.16666667,6.615638039,7.100863727
ACR-446,APR,1,128,130,132,131,144,124,,,,Janya,20220728,131.5,6.745368782,5.129558009
ACR-447,APR,4,122,114,118,113,90,97,105,,,Janya,20220728,27.10714286,2.904225165,10.71387413
ACR-448,APR,1,103,124,112,97,119,121,,,,Janya,20220728,112.6666667,10.74554171,9.537463057
ACR-449,APR,2,164,146,155,167,159,151,,,,Janya,20220728,78.5,3.962322551,5.047544651
ACR-451,APR,1,149,164,133,127,139,136,,,,Janya,20220726,141.3333333,13.27654574,9.39378236
ACR-456,APR,2,157,156,148,149,158,150,,,,Janya,20220728,76.5,2.236067977,2.922964676
ACR-457,APR,1,113,109,106,114,117,115,,,,Janya,20220728,112.3333333,4.082482905,3.634257779
ACR-458,APR,1,104,110,95,94,89,108,,,,Janya,20220728,100,8.508818954,8.508818954
ACR-459,APR,2,142,124,121,119,128,128,,,,Janya,20220725,63.5,4.098780306,6.454772136
ACR-460,APR,1,107,108,117,119,125,95,,,,Janya,20220726,111.8333333,10.70358195,9.57101218
ACR-461,APR,2,121,121,101,90,108,97,119,111,,Janya,20220726,54.25,5.855400438,10.79336486
ACR-462,APR,3,100,94,115,97,86,101,,,,Janya,20220728,32.94444444,3.193163995,9.69257199
ACR-463,APR,1,129,118,109,115,111,127,,,,Janya,20220728,118.1666667,8.256310718,6.987004839
ACR-464,APR,1,125,111,122,119,120,117,,,,Janya,20220728,119,4.774934555,4.012550046
ACR-465,APR,2,182,158,145,169,162,167,,,,Janya,20220725,81.91666667,6.159680728,7.51944748
