colony_id,partner,species,AFDW.mg.cm2,timepoint,DW.mg.cm2
ACR-414,Host,Acropora,1.540533946,APRIL,29.29221504
ACR-414,Sym,Acropora,0.479859936,APRIL,14.88964299
ACR-415,Host,Acropora,3.031428743,APRIL,63.12894144
ACR-415,Sym,Acropora,0.937024232,APRIL,39.85261475
ACR-416,Host,Acropora,1.345508581,APRIL,45.25282568
ACR-416,Sym,Acropora,0.743067965,APRIL,31.18895567
ACR-417,Host,Acropora,2.985270612,APRIL,46.49545234
ACR-417,Sym,Acropora,0.83257713,APRIL,27.33672225
ACR-418,Host,Acropora,1.958902514,APRIL,44.27039069
ACR-418,Sym,Acropora,0.464332448,APRIL,23.84056912
ACR-420,Host,Acropora,0.157077046,APRIL,30.55196139
ACR-420,Sym,Acropora,0.323129923,APRIL,17.41637644
ACR-421,Host,Acropora,1.770012522,APRIL,44.90194823
ACR-421,Sym,Acropora,0.546561828,APRIL,23.03293619
ACR-422,Host,Acropora,1.665209156,APRIL,48.15891739
ACR-422,Sym,Acropora,0.80927384,APRIL,26.52736958
ACR-423,Host,Acropora,10.8294459,APRIL,64.18545427
ACR-423,Sym,Acropora,0.750505786,APRIL,35.19094206
ACR-424,Host,Acropora,1.848457443,APRIL,40.53795637
ACR-424,Sym,Acropora,0.572379486,APRIL,23.05504604
ACR-425,Host,Acropora,1.500258761,APRIL,44.4919289
ACR-425,Sym,Acropora,0.822663311,APRIL,23.28297429
ACR-426,Host,Acropora,1.188535344,APRIL,18.63910656
ACR-426,Sym,Acropora,0.447795191,APRIL,8.992452885
ACR-427,Host,Acropora,0.557931622,APRIL,57.5592018
ACR-427,Sym,Acropora,0.38045623,APRIL,43.98881693
ACR-428,Host,Acropora,1.769745309,APRIL,32.92430333
ACR-428,Sym,Acropora,0.679637342,APRIL,14.56917162
ACR-429,Host,Acropora,2.566099254,APRIL,50.61801713
ACR-429,Sym,Acropora,0.850622135,APRIL,32.77741788
ACR-430,Host,Acropora,2.817380263,APRIL,50.63808838
ACR-430,Sym,Acropora,1.86283501,APRIL,33.96041201
ACR-431,Host,Acropora,2.641403354,APRIL,105.1933995
ACR-431,Sym,Acropora,0.96051031,APRIL,64.78511632
ACR-433,Host,Acropora,0.582274681,APRIL,22.57382783
ACR-433,Sym,Acropora,0.646378316,APRIL,13.64753026
ACR-434,Host,Acropora,0.503004095,APRIL,32.75258524
ACR-434,Sym,Acropora,0.235827036,APRIL,23.49356661
ACR-435,Host,Acropora,2.499727137,APRIL,56.4752894
ACR-435,Sym,Acropora,1.005071637,APRIL,32.50044117
ACR-436,Host,Acropora,4.148255461,APRIL,67.7697772
ACR-436,Sym,Acropora,0.84329259,APRIL,43.99845266
ACR-437,Host,Acropora,2.051432918,APRIL,61.2662506
ACR-437,Sym,Acropora,0.416344506,APRIL,28.30564386
ACR-438,Host,Acropora,1.973507592,APRIL,56.76751465
ACR-438,Sym,Acropora,0.26178147,APRIL,32.0245998
ACR-439,Host,Acropora,1.264369712,APRIL,52.02262351
ACR-439,Sym,Acropora,0.666955023,APRIL,43.78863527
ACR-446,Host,Acropora,2.497833305,APRIL,33.46824571
ACR-446,Sym,Acropora,0.685586378,APRIL,18.89919511
ACR-447,Host,Acropora,2.456302278,APRIL,100.8890232
ACR-447,Sym,Acropora,0.446168916,APRIL,55.10265223
ACR-448,Host,Acropora,1.940204525,APRIL,33.96065126
ACR-448,Sym,Acropora,0.781001505,APRIL,21.29059299
ACR-449,Host,Acropora,2.689057227,APRIL,53.63382379
ACR-449,Sym,Acropora,1.154543284,APRIL,34.50425399
ACR-451,Host,Acropora,2.177038006,APRIL,47.42575701
ACR-451,Sym,Acropora,1.216354675,APRIL,24.43751286
ACR-456,Host,Acropora,1.876570222,APRIL,37.75795764
ACR-456,Sym,Acropora,1.023583757,APRIL,23.606571
ACR-457,Host,Acropora,2.996295647,APRIL,73.96411292
ACR-457,Sym,Acropora,0.869513247,APRIL,46.94871061
ACR-458,Host,Acropora,2.999240201,APRIL,50.54461679
ACR-458,Sym,Acropora,0.879537306,APRIL,28.6632035
ACR-459,Host,Acropora,1.436015487,APRIL,28.05609443
ACR-459,Sym,Acropora,0.45029265,APRIL,14.56938616
ACR-460,Host,Acropora,2.116561526,APRIL,47.47773624
ACR-460,Sym,Acropora,1.011515492,APRIL,31.71249529
ACR-461,Host,Acropora,2.335721425,APRIL,45.78171149
ACR-461,Sym,Acropora,1.189666018,APRIL,28.40268684
ACR-462,Host,Acropora,1.908316109,APRIL,42.13853548
ACR-462,Sym,Acropora,1.009645011,APRIL,21.5976994
ACR-463,Host,Acropora,3.31053316,APRIL,58.82824402
ACR-463,Sym,Acropora,0.457125675,APRIL,33.9824659
ACR-464,Host,Acropora,2.857190237,APRIL,47.2133618
ACR-464,Sym,Acropora,1.047705384,APRIL,29.61381475
ACR-465,Host,Acropora,2.179602702,APRIL,51.8080655
ACR-465,Sym,Acropora,0.948007011,APRIL,28.42482924
