colony_id,species,cells.cm2,timepoint
ACR-414,Acropora,321217.7163466547,APRIL
ACR-415,Acropora,613235.7539207848,APRIL
ACR-416,Acropora,511437.9388475423,APRIL
ACR-417,Acropora,757588.0116959581,APRIL
ACR-418,Acropora,412471.2426292426,APRIL
ACR-420,Acropora,557589.5131133745,APRIL
ACR-421,Acropora,699737.4342869044,APRIL
ACR-422,Acropora,720700.148468315,APRIL
ACR-423,Acropora,786324.1082831786,APRIL
ACR-424,Acropora,561436.2377499972,APRIL
ACR-425,Acropora,396641.2390496444,APRIL
ACR-426,Acropora,405691.6406224141,APRIL
ACR-427,Acropora,533134.6615554286,APRIL
ACR-428,Acropora,790382.8447429808,APRIL
ACR-429,Acropora,532336.5228916813,APRIL
ACR-430,Acropora,1623614.6627616968,APRIL
ACR-431,Acropora,1293154.573626624,APRIL
ACR-433,Acropora,393970.2542748993,APRIL
ACR-434,Acropora,480388.406935106,APRIL
ACR-435,Acropora,963378.6796020465,APRIL
ACR-436,Acropora,514656.5071191814,APRIL
ACR-437,Acropora,314369.47394426016,APRIL
ACR-438,Acropora,450394.9060112003,APRIL
ACR-439,Acropora,736231.9470952507,APRIL
ACR-447,Acropora,428878.17552139825,APRIL
ACR-448,Acropora,692856.9777457525,APRIL
ACR-449,Acropora,696095.6052319565,APRIL
ACR-451,Acropora,984601.7219446398,APRIL
ACR-456,Acropora,522027.71625705785,APRIL
ACR-457,Acropora,1466596.416930398,APRIL
ACR-458,Acropora,899322.3988835755,APRIL
ACR-459,Acropora,276533.68740308133,APRIL
ACR-460,Acropora,774802.391870838,APRIL
ACR-461,Acropora,426283.8935583372,APRIL
ACR-462,Acropora,286743.0515132628,APRIL
ACR-463,Acropora,1071766.2148301937,APRIL
ACR-464,Acropora,984809.9585161468,APRIL
ACR-465,Acropora,605753.3096306577,APRIL
ACR-432,Acropora,NA,APRIL
ACR-446,Acropora,NA,APRIL
