Pan.ID,colony_id,partner,timepoint,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g
35,ACR-414,Host,AUGUST,1.1238,1.1712,1.1662
52,ACR-415,Host,AUGUST,1.1491,1.2065,1.1955
50,ACR-416,Host,AUGUST,1.1472,1.2,1.192
22,ACR-417,Host,AUGUST,1.143,1.2043,1.1748
33,ACR-418,Host,AUGUST,1.14,1.1963,1.1844
31,ACR-420,Host,AUGUST,1.1533,1.208,1.1995
4,ACR-421,Host,AUGUST,1.139,1.1913,1.1827
42,ACR-422,Host,AUGUST,1.1357,1.1885,1.1793
67,ACR-423,Host,AUGUST,1.1367,1.1882,1.1788
15,ACR-424,Host,AUGUST,1.1515,1.2139,1.2008
38,ACR-425,Host,AUGUST,1.1285,1.1762,1.1699
19,ACR-426,Host,AUGUST,1.1353,1.1959,1.1847
20,ACR-427,Host,AUGUST,1.1545,1.2087,1.2018
40,ACR-428,Host,AUGUST,1.1369,1.1874,1.1793
30,ACR-429,Host,AUGUST,1.1369,1.1931,1.185
2,ACR-430,Host,AUGUST,1.1525,1.2111,1.2008
6,ACR-431,Host,AUGUST,1.1387,1.1968,1.1842
29,ACR-432,Host,AUGUST,1.144,1.1994,1.1912
46,ACR-433,Host,AUGUST,1.1354,1.187,1.1798
36,ACR-434,Host,AUGUST,1.1442,1.1993,1.1903
72,ACR-435,Host,AUGUST,1.1379,1.1902,1.1815
44,ACR-436,Host,AUGUST,1.1435,1.1929,1.1861
1,ACR-437,Host,AUGUST,1.1522,1.2119,1.2017
9,ACR-438,Host,AUGUST,1.1244,1.1802,1.1711
7,ACR-439,Host,AUGUST,1.1484,1.2066,1.1959
41,ACR-446,Host,AUGUST,1.139,1.2031,1.1897
34,ACR-447,Host,AUGUST,1.1271,1.1834,1.1739
61,ACR-448,Host,AUGUST,1.1402,1.1917,1.1834
18,ACR-449,Host,AUGUST,1.1339,1.1941,1.183
14,ACR-451,Host,AUGUST,1.1389,1.1891,1.1835
32,ACR-456,Host,AUGUST,1.1429,1.191,1.1847
8,ACR-457,Host,AUGUST,1.1496,1.203,1.1945
3,ACR-458,Host,AUGUST,1.1394,1.191,1.1836
27,ACR-459,Host,AUGUST,1.1419,1.1997,1.1902
62,ACR-460,Host,AUGUST,1.1319,1.1825,1.1734
5,ACR-461,Host,AUGUST,1.1267,1.1855,1.1691
13,ACR-462,Host,AUGUST,1.1355,1.1865,1.18
25,ACR-463,Host,AUGUST,1.1318,1.1861,1.1759
49,ACR-464,Host,AUGUST,1.1444,1.1936,1.186
68,ACR-465,Host,AUGUST,1.1367,1.1969,1.1863
39,ACR-429,Sym,AUGUST,1.1303,1.1497,1.1429
80,ACR-414,Sym,AUGUST,1.1171,1.1312,1.1283
54,ACR-415,Sym,AUGUST,1.1519,1.1685,1.1635
74,ACR-416,Sym,AUGUST,1.1514,1.1676,1.1632
23,ACR-417,Sym,AUGUST,1.1257,1.1453,1.139
77,ACR-418,Sym,AUGUST,1.1419,1.1601,1.154
78,ACR-420,Sym,AUGUST,1.1361,1.1526,1.1479
57,ACR-421,Sym,AUGUST,1.1291,1.1455,1.1401
69,ACR-422,Sym,AUGUST,1.1318,1.1495,1.1444
47,ACR-423,Sym,AUGUST,1.1451,1.1672,1.1579
37,ACR-424,Sym,AUGUST,1.1327,1.1514,1.1446
45,ACR-425,Sym,AUGUST,1.1255,1.1389,1.1361
26,ACR-426,Sym,AUGUST,1.1316,1.1548,1.1447
58,ACR-427,Sym,AUGUST,1.1407,1.1577,1.1524
48,ACR-428,Sym,AUGUST,1.1375,1.1509,1.1487
28,ACR-430,Sym,AUGUST,1.1427,1.1591,1.1539
43,ACR-431,Sym,AUGUST,1.1291,1.1455,1.141
56,ACR-432,Sym,AUGUST,1.1295,1.1485,1.1414
64,ACR-433,Sym,AUGUST,1.1437,1.1584,1.1554
73,ACR-434,Sym,AUGUST,1.1603,1.1778,1.1727
76,ACR-435,Sym,AUGUST,1.1311,1.1483,1.1428
55,ACR-436,Sym,AUGUST,1.1443,1.1583,1.1551
10,ACR-437,Sym,AUGUST,1.154,1.1724,1.1662
11,ACR-438,Sym,AUGUST,1.1475,1.165,1.16
12,ACR-439,Sym,AUGUST,1.1377,1.1575,1.1495
70,ACR-446,Sym,AUGUST,1.138,1.1596,1.1501
53,ACR-447,Sym,AUGUST,1.1435,1.1617,1.1553
63,ACR-448,Sym,AUGUST,1.147,1.1626,1.1587
65,ACR-449,Sym,AUGUST,1.1272,1.1483,1.1401
16,ACR-451,Sym,AUGUST,1.1415,1.1567,1.1527
79,ACR-456,Sym,AUGUST,1.1252,1.1401,1.1366
21,ACR-457,Sym,AUGUST,1.1352,1.1518,1.1468
24,ACR-458,Sym,AUGUST,1.1311,1.1473,1.1427
59,ACR-459,Sym,AUGUST,1.1381,1.1558,1.1508
75,ACR-460,Sym,AUGUST,1.1377,1.1539,1.15
66,ACR-461,Sym,AUGUST,1.1475,1.1661,1.1593
71,ACR-462,Sym,AUGUST,1.1365,1.154,1.1489
51,ACR-463,Sym,AUGUST,1.1456,1.162,1.1577
60,ACR-464,Sym,AUGUST,1.1336,1.1478,1.145
17,ACR-465,Sym,AUGUST,1.1381,1.155,1.1497
