colony_id,timepoint,homog_vol_ml,date_airbrushed,note
ACR-414,AUGUST,20,20220812,
ACR-415,AUGUST,19,20220812,
ACR-416,AUGUST,13,20220812,
ACR-417,AUGUST,7,20220812,
ACR-418,AUGUST,8,20220812,
ACR-420,AUGUST,4.5,20220812,
ACR-421,AUGUST,21,20220812,
ACR-422,AUGUST,32.5,20220812,
ACR-423,AUGUST,5,20220812,
ACR-424,AUGUST,8,20220812,
ACR-425,AUGUST,25,20220812,
ACR-426,AUGUST,18,20220812,
ACR-427,AUGUST,6,20220812,
ACR-428,AUGUST,23,20220812,
ACR-429,AUGUST,12.5,20220812,
ACR-430,AUGUST,26,20220812,
ACR-431,AUGUST,25,20220812,
ACR-432,AUGUST,6,20220812,
ACR-433,AUGUST,4.5,20220812,
ACR-434,AUGUST,12,20220812,
ACR-435,AUGUST,19,20220812,
ACR-436,AUGUST,44,20220812,
ACR-437,AUGUST,12,20220812,
ACR-438,AUGUST,25,20220812,
ACR-439,AUGUST,10,20220812,
ACR-446,AUGUST,10,20220812,
ACR-447,AUGUST,22,20220812,
ACR-448,AUGUST,32.5,20220812,
ACR-449,AUGUST,10,20220812,
ACR-451,AUGUST,42,20220812,
ACR-456,AUGUST,32.5,20220812,
ACR-457,AUGUST,33,20220812,
ACR-458,AUGUST,25,20220812,
ACR-459,AUGUST,7.5,20220812,
ACR-460,AUGUST,49,20220812,
ACR-461,AUGUST,22.5,20220812,
ACR-462,AUGUST,22.5,20220812,
ACR-463,AUGUST,36,20220812,
ACR-464,AUGUST,19,20220812,
ACR-465,AUGUST,5,20220812,
