Well,562:562
A1,2.546
B1,0.257
C1,1.199
D1,1.294
E1,0.927
F1,0.56
G1,0.79
H1,1.081
A2,2.456
B2,0.267
C2,1.096
D2,1.346
E2,0.912
F2,0.549
G2,0.731
H2,1.104
A3,2.012
B3,0.122
C3,0.953
D3,0.57
E3,1.025
F3,0.947
G3,1.003
H3,0.731
A4,2.001
B4,0.124
C4,0.963
D4,0.537
E4,1.082
F4,1
G4,1.004
H4,0.68
A5,1.361
B5,0.093
C5,0.666
D5,0.188
E5,0.651
F5,0.767
G5,0.553
H5,1.103
A6,1.373
B6,0.092
C6,0.7
D6,0.181
E6,0.655
F6,0.711
G6,0.56
H6,1.052
A7,1.036
B7,0.548
C7,0.76
D7,0.808
E7,0.603
F7,1.022
G7,0.543
H7,0.645
A8,1.051
B8,0.5
C8,0.783
D8,0.809
E8,0.621
F8,1.08
G8,0.563
H8,0.904
A9,0.743
B9,0.933
C9,0.856
D9,0.549
E9,0.795
F9,1.245
G9,0.792
H9,0.826
A10,0.781
B10,0.881
C10,0.852
D10,0.543
E10,0.836
F10,1.307
G10,0.803
H10,0.881
A11,0.431
B11,0.683
C11,0.853
D11,0.898
E11,0.817
F11,0.89
G11,0.811
H11,0.556
A12,0.44
B12,0.768
C12,0.806
D12,0.927
E12,0.823
F12,0.928
G12,0.811
H12,0.63
