colony_id,partner,species,AFDW.mg.cm2,timepoint,DW.mg.cm2
ACR-414,Host,Acropora,1.52558449,AUGUST,288.774837
ACR-414,Sym,Acropora,0.707871203,AUGUST,207.9493707
ACR-415,Host,Acropora,1.977790421,AUGUST,173.4314011
ACR-415,Sym,Acropora,0.719196517,AUGUST,124.4739908
ACR-416,Host,Acropora,1.621770851,AUGUST,171.7081077
ACR-416,Sym,Acropora,0.713579174,AUGUST,117.5384662
ACR-417,Host,Acropora,3.350746776,AUGUST,62.60298371
ACR-417,Sym,Acropora,0.572466568,AUGUST,31.00665859
ACR-418,Host,Acropora,1.729374494,AUGUST,91.01741562
ACR-418,Sym,Acropora,0.709188868,AUGUST,51.90012716
ACR-420,Host,Acropora,0.652437025,AUGUST,14.03464534
ACR-420,Sym,Acropora,0.288607437,AUGUST,-6.738267253
ACR-421,Host,Acropora,1.947473849,AUGUST,220.6414544
ACR-421,Sym,Acropora,0.978265934,AUGUST,158.8172472
ACR-422,Host,Acropora,2.48692723,AUGUST,283.4884946
ACR-422,Sym,Acropora,1.102898163,AUGUST,210.9296895
ACR-423,Host,Acropora,0.714221277,AUGUST,21.18653838
ACR-423,Sym,Acropora,0.565298542,AUGUST,1.343343848
ACR-424,Host,Acropora,1.4709647,AUGUST,71.6561926
ACR-424,Sym,Acropora,0.610843356,AUGUST,39.83619439
ACR-425,Host,Acropora,1.877740008,AUGUST,296.7544542
ACR-425,Sym,Acropora,0.667640892,AUGUST,217.8893739
ACR-426,Host,Acropora,1.646765912,AUGUST,138.7416618
ACR-426,Sym,Acropora,1.18802398,AUGUST,98.86084694
ACR-427,Host,Acropora,0.526574325,AUGUST,33.50488134
ACR-427,Sym,Acropora,0.323576107,AUGUST,12.64490655
ACR-428,Host,Acropora,2.604144608,AUGUST,318.1809021
ACR-428,Sym,Acropora,0.565838828,AUGUST,232.4099118
ACR-429,Host,Acropora,1.480721518,AUGUST,151.5988283
ACR-429,Sym,Acropora,0.994459883,AUGUST,102.0169596
ACR-430,Host,Acropora,2.273290213,AUGUST,228.1660132
ACR-430,Sym,Acropora,0.918144397,AUGUST,165.8574883
ACR-431,Host,Acropora,2.901162316,AUGUST,233.6144838
ACR-431,Sym,Acropora,0.828903519,AUGUST,169.4057752
ACR-432,Host,Acropora,0.849509993,AUGUST,45.24504037
ACR-432,Sym,Acropora,0.588441069,AUGUST,17.17667767
ACR-433,Host,Acropora,0.599373933,AUGUST,14.79750644
ACR-433,Sym,Acropora,0.199791311,AUGUST,-7.484034512
ACR-434,Host,Acropora,1.146874391,AUGUST,104.2253961
ACR-434,Sym,Acropora,0.519916391,AUGUST,70.7842379
ACR-435,Host,Acropora,2.035857951,AUGUST,222.4565849
ACR-435,Sym,Acropora,1.029629309,AUGUST,159.2447351
ACR-436,Host,Acropora,3.330213799,AUGUST,533.2972322
ACR-436,Sym,Acropora,1.253727548,AUGUST,402.8641552
ACR-437,Host,Acropora,1.566839258,AUGUST,127.164879
ACR-437,Sym,Acropora,0.761913992,AUGUST,84.98618062
ACR-438,Host,Acropora,2.202917934,AUGUST,242.1505492
ACR-438,Sym,Acropora,0.968315575,AUGUST,181.1718441
ACR-439,Host,Acropora,1.203922067,AUGUST,84.07651635
ACR-439,Sym,Acropora,0.720102918,AUGUST,52.98607286
ACR-446,Host,Acropora,1.497394462,AUGUST,83.53002687
ACR-446,Sym,Acropora,0.849268501,AUGUST,52.79768173
ACR-447,Host,Acropora,2.232192789,AUGUST,229.909449
ACR-447,Sym,Acropora,1.203034429,AUGUST,169.5176333
ACR-448,Host,Acropora,2.577477749,AUGUST,326.4911847
ACR-448,Sym,Acropora,0.968883202,AUGUST,244.9879462
ACR-449,Host,Acropora,1.43145984,AUGUST,95.5002946
ACR-449,Sym,Acropora,0.84597987,AUGUST,60.32249143
ACR-451,Host,Acropora,2.092531313,AUGUST,403.7962657
ACR-451,Sym,Acropora,1.195732179,AUGUST,305.1529873
ACR-456,Host,Acropora,2.580926136,AUGUST,430.2917532
ACR-456,Sym,Acropora,1.147078282,AUGUST,316.9188216
ACR-457,Host,Acropora,1.86435694,AUGUST,233.297851
ACR-457,Sym,Acropora,0.877344442,AUGUST,171.9244169
ACR-458,Host,Acropora,1.747434152,AUGUST,238.1932215
ACR-458,Sym,Acropora,0.868994281,AUGUST,174.0028809
ACR-459,Host,Acropora,1.148367165,AUGUST,71.40264977
ACR-459,Sym,Acropora,0.483523017,AUGUST,38.39817451
ACR-460,Host,Acropora,3.726995697,AUGUST,446.4613196
ACR-460,Sym,Acropora,1.277827096,AUGUST,340.0357414
ACR-461,Host,Acropora,2.481677378,AUGUST,149.0818926
ACR-461,Sym,Acropora,0.823190545,AUGUST,110.2954273
ACR-462,Host,Acropora,1.16388947,AUGUST,176.3083644
ACR-462,Sym,Acropora,0.730564467,AUGUST,129.130055
ACR-463,Host,Acropora,2.734053574,AUGUST,284.2194625
ACR-463,Sym,Acropora,0.92207297,AUGUST,215.055055
ACR-464,Host,Acropora,2.35809026,AUGUST,295.5908599
ACR-464,Sym,Acropora,0.695016077,AUGUST,210.858994
ACR-465,Host,Acropora,0.900454987,AUGUST,24.42611575
ACR-465,Sym,Acropora,0.360181995,AUGUST,1.148504852
