colony_id,chla.ug.cm2,chlc2.ug.cm2,timepoint
ACR-414,1.078984886,0.723798305,AUGUST
ACR-415,2.044585798,0.655907223,AUGUST
ACR-416,2.04480302,0.731398382,AUGUST
ACR-417,0.980803336,0.299295517,AUGUST
ACR-418,1.395745698,0.4684425,AUGUST
ACR-420,0.611305348,0.17045493,AUGUST
ACR-421,2.019107674,0.799709756,AUGUST
ACR-422,2.294154327,0.676552334,AUGUST
ACR-423,1.01596457,0.412781907,AUGUST
ACR-424,1.373117475,0.469630745,AUGUST
ACR-425,3.243065631,3.938544764,AUGUST
ACR-426,2.795061664,0.772686091,AUGUST
ACR-427,0.749093951,0.295583721,AUGUST
ACR-428,2.36036238,0.950384182,AUGUST
ACR-429,2.502791069,0.85987875,AUGUST
ACR-430,3.33049523,1.039003981,AUGUST
ACR-431,3.37898682,1.07299258,AUGUST
ACR-432,1.783245794,0.464277931,AUGUST
ACR-433,0.54527766,0.237168935,AUGUST
ACR-434,1.490053191,0.56605897,AUGUST
ACR-435,1.73684424,0.643822527,AUGUST
ACR-436,1.721557288,0.813894458,AUGUST
ACR-437,2.907439216,0.852590974,AUGUST
ACR-438,4.081829407,1.198677851,AUGUST
ACR-439,1.853368636,0.611389881,AUGUST
ACR-446,1.790783205,0.572976873,AUGUST
ACR-447,4.393566324,1.321199666,AUGUST
ACR-448,1.817142516,1.120612796,AUGUST
ACR-449,2.890650453,0.873422631,AUGUST
ACR-451,2.254640212,0.857937838,AUGUST
ACR-456,2.220402163,1.093903011,AUGUST
ACR-457,2.745751789,1.034761969,AUGUST
ACR-458,3.576824539,1.297847681,AUGUST
ACR-459,1.483803199,0.655463802,AUGUST
ACR-460,3.245066484,2.272934947,AUGUST
ACR-461,2.88139389,0.834388358,AUGUST
ACR-462,2.230585217,0.735900453,AUGUST
ACR-463,1.957126683,0.819814005,AUGUST
ACR-464,1.617370671,0.570844008,AUGUST
ACR-465,1.217330194,0.412790653,AUGUST
