colony_id,surface.area.cm2,timepoint
ACR-434,23.54224682671287,AUGUST
ACR-428,17.88495149417955,AUGUST
ACR-451,28.099937922982278,AUGUST
ACR-458,26.4673778730417,AUGUST
ACR-459,15.511154048205897,AUGUST
ACR-465,14.714783292137326,AUGUST
ACR-424,17.811440347465528,AUGUST
ACR-418,13.762201349301446,AUGUST
ACR-429,17.094706667003813,AUGUST
ACR-423,16.451484133256102,AUGUST
ACR-449,19.385804072924177,AUGUST
ACR-437,19.529763401905797,AUGUST
ACR-460,29.9101499108151,AUGUST
ACR-463,33.57651835317697,AUGUST
ACR-438,25.818029410401145,AUGUST
ACR-415,26.418370441899015,AUGUST
ACR-420,14.65658696765539,AUGUST
ACR-433,13.514101229141618,AUGUST
ACR-421,23.18387998648202,AUGUST
ACR-461,37.17243861327123,AUGUST
ACR-416,16.031858004096897,AUGUST
ACR-432,14.478935029763164,AUGUST
ACR-435,20.29856747795662,AUGUST
ACR-462,31.414065454006135,AUGUST
ACR-431,27.14429301569998,AUGUST
ACR-414,16.387161879881333,AUGUST
ACR-446,22.372194408181336,AUGUST
ACR-426,30.605442840151866,AUGUST
ACR-425,20.969356691722076,AUGUST
ACR-456,19.832996882101153,AUGUST
ACR-464,15.308998394742337,AUGUST
ACR-439,22.219046185860464,AUGUST
ACR-417,15.407013257027696,AUGUST
ACR-427,19.655344944208924,AUGUST
ACR-447,23.407476391070496,AUGUST
ACR-422,30.057172204243116,AUGUST
ACR-457,37.61350549355538,AUGUST
ACR-436,22.46102037712746,AUGUST
ACR-430,29.45070524385244,AUGUST
ACR-448,26.164144392846346,AUGUST
