colony_id,species,cells.cm2,timepoint
ACR-414,Acropora,1293695.6475683218,AUGUST
ACR-415,Acropora,1179482.2874684525,AUGUST
ACR-416,Acropora,1977208.9626313378,AUGUST
ACR-417,Acropora,699681.360699995,AUGUST
ACR-418,Acropora,1204264.7039294026,AUGUST
ACR-420,Acropora,569539.1443056642,AUGUST
ACR-421,Acropora,1034123.7106980913,AUGUST
ACR-422,Acropora,1994948.1472357272,AUGUST
ACR-423,Acropora,527814.5888236476,AUGUST
ACR-424,Acropora,1246389.9362950139,AUGUST
ACR-425,Acropora,1231956.4073003428,AUGUST
ACR-426,Acropora,1802620.5432852427,AUGUST
ACR-427,Acropora,542346.1165529313,AUGUST
ACR-428,Acropora,1455320.3200916678,AUGUST
ACR-429,Acropora,1517282.5427922984,AUGUST
ACR-430,Acropora,2685278.0834455993,AUGUST
ACR-431,Acropora,2195059.3186888658,AUGUST
ACR-432,Acropora,978564.4731084333,AUGUST
ACR-433,Acropora,381268.41827181383,AUGUST
ACR-434,Acropora,724654.7080052866,AUGUST
ACR-435,Acropora,1159112.9944950105,AUGUST
ACR-436,Acropora,1495331.2940701789,AUGUST
ACR-437,Acropora,1819786.5109073394,AUGUST
ACR-438,Acropora,2903332.866416805,AUGUST
ACR-439,Acropora,1155165.0980859913,AUGUST
ACR-446,Acropora,1151727.2823824561,AUGUST
ACR-447,Acropora,2185199.25623049,AUGUST
ACR-448,Acropora,1896361.1391868244,AUGUST
ACR-449,Acropora,1402228.8284291404,AUGUST
ACR-451,Acropora,1231853.2551521834,AUGUST
ACR-456,Acropora,2356972.7566246144,AUGUST
ACR-457,Acropora,1757613.3660641431,AUGUST
ACR-458,Acropora,1410091.6513321195,AUGUST
ACR-459,Acropora,1167708.0856594928,AUGUST
ACR-460,Acropora,2121520.627252207,AUGUST
ACR-461,Acropora,1789632.3857603837,AUGUST
ACR-462,Acropora,818900.6939475697,AUGUST
ACR-463,Acropora,1749436.8946219846,AUGUST
ACR-464,Acropora,1619635.6783547315,AUGUST
ACR-465,Acropora,666563.2200356155,AUGUST
