Pan.ID,colony_id,partner,timepoint,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g
160,ACR-414,Host,FEB,0.30365,0.36849,0.35251
264,ACR-415,Host,FEB,0.33671,0.36659,0.36294
68,ACR-416,Host,FEB,0.35002,0.42156,0.40246
232,ACR-417,Host,FEB,0.37209,0.42937,0.42058
76,ACR-418,Host,FEB,0.28285,0.34346,0.33
129,ACR-420,Host,FEB,0.42799,0.47711,0.46126
106,ACR-421,Host,FEB,0.31013,0.34727,0.33336
9,ACR-422,Host,FEB,0.36326,0.40924,0.38431
309,ACR-423,Host,FEB,0.38329,0.43402,0.4238
35,ACR-424,Host,FEB,0.35594,0.41583,0.4042
41,ACR-425,Host,FEB,0.36296,0.42596,0.41117
99,ACR-426,Host,FEB,0.31394,0.38133,0.36394
2,ACR-427,Host,FEB,0.54454,0.60794,0.59415
174,ACR-428,Host,FEB,0.35775,0.41973,0.40689
159,ACR-429,Host,FEB,0.3062,0.35863,0.34398
189,ACR-430,Host,FEB,0.30336,0.3767,0.35566
85,ACR-431,Host,FEB,0.36387,0.42033,0.41102
188,ACR-432,Host,FEB,0.30596,0.36928,0.3527
265,ACR-433,Host,FEB,0.3376,0.38535,0.37884
186,ACR-434,Host,FEB,0.31594,0.3764,0.36911
222,ACR-435-419,Host,FEB,0.472,0.50875,0.49912
278,ACR-436,Host,FEB,0.3337,0.38895,0.37865
175,ACR-437,Host,FEB,0.35321,0.41636,0.40127
327,ACR-438,Host,FEB,0.3215,0.37628,0.36748
153,ACR-439,Host,FEB,0.30056,0.32747,0.32244
187,ACR-448,Host,FEB,0.31122,0.33402,0.32598
60,ACR-451,Host,FEB,0.31735,0.36957,0.3619
144,ACR-456,Host,FEB,0.5613,0.60423,0.58601
4,ACR-457,Host,FEB,0.47737,0.54625,0.52966
36,ACR-458,Host,FEB,0.35816,0.39592,0.38958
314,ACR-459,Host,FEB,0.35398,0.38737,0.38377
245,ACR-460,Host,FEB,0.35753,0.41465,0.40231
163,ACR-461,Host,FEB,0.31744,0.3785,0.36612
273,ACR-462,Host,FEB,0.31475,0.36903,0.36078
166,ACR-464,Host,FEB,0.31899,0.38414,0.35671
96,ACR-465,Host,FEB,0.32242,0.36133,0.34845
109,ACR-465,Sym,FEB,0.31361,0.3387,0.33081
287,ACR-414,Sym,FEB,0.3657,0.38614,0.37815
167,ACR-415,Sym,FEB,0.32584,0.34187,0.33887
134,ACR-416,Sym,FEB,0.503,0.5258,0.51505
237,ACR-417,Sym,FEB,0.3257,0.34182,0.33699
178,ACR-418,Sym,FEB,0.35648,0.37571,0.36982
190,ACR-420,Sym,FEB,0.3308,0.34827,0.34241
196,ACR-421,Sym,FEB,0.30593,0.32895,0.32168
120,ACR-422,Sym,FEB,0.42276,0.44512,0.43558
248,ACR-423,Sym,FEB,0.37063,0.38718,0.38211
146,ACR-424,Sym,FEB,0.53088,0.54805,0.54532
246,ACR-425,Sym,FEB,0.38446,0.4035,0.39615
199,ACR-426,Sym,FEB,0.22736,0.25401,0.24189
205,ACR-427,Sym,FEB,0.47544,0.49731,0.48945
215,ACR-428,Sym,FEB,0.486,0.50751,0.4994
165,ACR-429,Sym,FEB,0.31273,0.34267,0.32613
158,ACR-430,Sym,FEB,0.29915,0.32404,0.31257
170,ACR-431,Sym,FEB,0.34032,0.3584,0.3516
164,ACR-432,Sym,FEB,0.31494,0.34217,0.32856
270,ACR-433,Sym,FEB,0.30324,0.3278,0.3206
268,ACR-434,Sym,FEB,0.31902,0.33709,0.33123
202,ACR-435-419,Sym,FEB,0.46195,0.47981,0.47583
176,ACR-436,Sym,FEB,0.36463,0.38163,0.37566
161,ACR-437,Sym,FEB,0.31198,0.33358,0.32536
263,ACR-438,Sym,FEB,0.33482,0.35072,0.34566
325,ACR-439,Sym,FEB,0.28331,0.29913,0.29428
113,ACR-448,Sym,FEB,0.32777,0.35723,0.3403
108,ACR-451,Sym,FEB,0.31662,0.33429,0.32831
243,ACR-456,Sym,FEB,0.37925,0.39806,0.39142
23,ACR-457,Sym,FEB,0.69519,0.72661,0.7108
302,ACR-458,Sym,FEB,0.38363,0.42575,0.41277
25,ACR-459,Sym,FEB,0.3509,0.36525,0.36321
105,ACR-460,Sym,FEB,0.31472,0.33175,0.32675
16,ACR-461,Sym,FEB,0.34771,0.36855,0.35928
124,ACR-462,Sym,FEB,0.39395,0.41182,0.40621
145,ACR-464,Sym,FEB,0.52056,0.55403,0.54102
