colony_id,timepoint,homog_vol_ml,note,date_airbrushed
ACR-414,FEB,7.5,,20220304
ACR-415,FEB,8,,20220304
ACR-416,FEB,13,,20220304
ACR-417,FEB,22.5,,20220304
ACR-418,FEB,10,,20220304
ACR-420,FEB,10,2_frags,20220304
ACR-421,FEB,7.5,,20220304
ACR-422,FEB,15,,20220304
ACR-423,FEB,17.5,,20220304
ACR-424,FEB,10,,20220304
ACR-425,FEB,12.5,,20220304
ACR-426,FEB,14,,20220304
ACR-427,FEB,8,,20220304
ACR-428,FEB,7.5,,20220304
ACR-429,FEB,10,,20220304
ACR-430,FEB,10,,20220304
ACR-431,FEB,17.5,2_frags,20220304
ACR-432,FEB,15,,20220304
ACR-433,FEB,7.5,,20220304
ACR-434,FEB,12.5,,20220304
ACR-435-419,FEB,16,2_frags,20220304
ACR-436,FEB,10,,20220304
ACR-437,FEB,10,,20220304
ACR-438,FEB,16,,20220304
ACR-439,FEB,15,,20220304
ACR-448,FEB,10,,20220304
ACR-451,FEB,17.5,2_frags,20220304
ACR-456,FEB,11,,20220304
ACR-457,FEB,15,2_frags,20220304
ACR-458,FEB,18,,20220304
ACR-459,FEB,17.5,,20220304
ACR-460,FEB,9,,20220304
ACR-461,FEB,10,,20220304
ACR-462,FEB,7.5,,20220304
ACR-464,FEB,8,,20220304
ACR-465,FEB,17.5,2_frags,20220304
