well,colony_id
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,ACR-435-419
B8,ACR-435-419
B9,ACR-428
B10,ACR-428
B11,ACR-458
B12,ACR-458
C1,ACR-415
C2,ACR-415
C3,ACR-420
C4,ACR-420
C5,ACR-465
C6,ACR-465
C7,ACR-438
C8,ACR-438
C9,ACR-459
C10,ACR-459
C11,ACR-439
C12,ACR-439
D1,ACR-427
D2,ACR-427
D3,ACR-431
D4,ACR-431
D5,ACR-424
D6,ACR-424
D7,ACR-425
D8,ACR-425
D9,ACR-451
D10,ACR-451
D11,ACR-423
D12,ACR-423
E1,ACR-456
E2,ACR-456
E3,ACR-414
E4,ACR-414
E5,ACR-429
E6,ACR-429
E7,ACR-460
E8,ACR-460
E9,ACR-462
E10,ACR-462
E11,ACR-418
E12,ACR-418
F1,ACR-432
F2,ACR-432
F3,ACR-461
F4,ACR-461
F5,ACR-426
F6,ACR-426
F7,ACR-436
F8,ACR-436
F9,ACR-464
F10,ACR-464
F11,ACR-416
F12,ACR-416
G1,ACR-417
G2,ACR-417
G3,ACR-433
G4,ACR-433
G5,ACR-422
G6,ACR-422
G7,ACR-434
G8,ACR-434
G9,ACR-448
G10,ACR-448
G11,ACR-457
G12,ACR-457
H1,ACR-437
H2,ACR-437
H3,ACR-421
H4,ACR-421
H5,ACR-430
H6,ACR-430
