colony_id,timepoint,Squares.Counted,Count1,Count2,Count3,Count4,Count5,Count6,Count7,Count8,Dilution,Counter,Date.Counted,Average Per Square,Std.Dev. Per square,CV
ACR-414,FEB,1,126,131,102,126,146,136,143,139,,,,131.125,13.88151391,10.58647391
ACR-415,FEB,1,135,138,134,147,168,138,,,,,,143.3333333,12.92542714,9.017739863
ACR-416,FEB,1,171,164,159,193,192,190,,,,,,178.1666667,15.30250524,8.588871043
ACR-417,FEB,1,154,169,174,180,154,157,,,,,,164.6666667,11.20119041,6.802342356
ACR-418,FEB,1,213,178,182,169,194,183,,,,,,186.5,15.29378959,8.200423372
ACR-420,FEB,1,174,172,171,138,194,165,,,,,,169,18.11077028,10.71643212
ACR-421,FEB,1,212,222,193,200,214,238,,,,,,269.6666667,15.98019608,5.925907074
ACR-422,FEB,1,191,219,224,217,212,229,,,,,,215.3333333,13.27654574,6.165578515
ACR-423,FEB,1,124,133,142,115,122,140,,,,,,129.3333333,10.72691319,8.294005047
ACR-424,FEB,1,142,139,141,141,157,169,,,,,,148.1666667,12.13946731,8.193116297
ACR-425,FEB,1,170,153,164,173,192,170,192,194,,,,176,15.07125931,8.563215516
ACR-426,FEB,1,130,166,177,174,188,179,160,167,,,,167.625,17.52498217,10.45487378
ACR-428,FEB,1,165,172,178,184,194,180,,,,,,178.8333333,9.968283035,5.574063207
ACR-429,FEB,2,133,143,162,150,148,138,,,,,,72.83333333,5.085928299,6.982967917
ACR-427,FEB,1,247,244,235,232,221,230,,,,,,234.8333333,9.537644713,4.061452681
ACR-430,FEB,1,249,209,225,233,216,226,,,,,,226.3333333,13.90922955,6.145462246
ACR-431,FEB,1,166,147,138,135,143,170,,,,,,149.8333333,14.71620422,9.821715831
ACR-432,FEB,1,180,209,199,221,207,214,,,,,,205,14.26884719,6.960413261
ACR-433,FEB,1,145,126,164,142,156,155,,,,,,148,13.40149245,9.055062469
ACR-434,FEB,1,111,100,108,104,128,97,,,,,,108,11.04536102,10.22718613
ACR-435-419,FEB,1,166,188,170,187,157,171,,,,,,173.1666667,12.15593134,7.019787105
ACR-436,FEB,1,142,154,133,160,169,164,,,,,,153.6666667,13.75015151,8.948037862
ACR-437,FEB,1,140,148,129,152,155,148,,,,,,145.3333333,9.458682079,6.508267485
ACR-438,FEB,1,102,113,116,118,112,114,,,,,,112.5,5.576737397,4.957099909
ACR-439,FEB,1,125,115,120,114,112,123,,,,,,118.1666667,5.269408569,4.459302033
ACR-448,FEB,1,193,227,206,200,226,242,,,,,,215.6666667,18.87502759,8.751944788
ACR-451,FEB,1,119,113,106,115,105,128,,,,,,114.3333333,8.57126984,7.496737469
ACR-456,FEB,1,148,166,172,181,177,190,,,,,,172.3333333,14.43144714,8.374147279
ACR-457,FEB,1,178,182,158,166,194,195,,,,,,178.8333333,14.83801424,8.297118868
ACR-458,FEB,1,166,176,168,174,170,135,166,149,,,,163,13.94888628,8.557598947
ACR-459,FEB,1,367,348,352,331,369,378,,,,,,357.5,17.12016355,4.788856937
ACR-460,FEB,1,122,107,114,109,100,130,,,,,,113.6666667,10.85664159,9.551297589
ACR-461,FEB,1,198,172,187,206,196,184,,,,,,190.5,12.02913131,6.314504623
ACR-462,FEB,1,127,132,137,142,121,106,,,,,,127.5,12.84912448,10.07774469
ACR-464,FEB,1,296,314,322,350,342,333,,,,,,326.1666667,19.70194576,6.040453477
ACR-465,FEB,1,183,164,180,153,170,185,,,,,,172.5,12.50199984,7.247536139
