colony_id,chla.ug.cm2,chlc2.ug.cm2,timepoint
ACR-414,1.681440893,0.419668861,FEBRUARY
ACR-415,1.105224519,0.256808152,FEBRUARY
ACR-416,2.311273674,0.680330984,FEBRUARY
ACR-417,2.480759897,0.616753029,FEBRUARY
ACR-418,1.939046914,0.497260922,FEBRUARY
ACR-420,1.825719134,0.48113075,FEBRUARY
ACR-421,1.440933133,0.503303549,FEBRUARY
ACR-422,2.052799186,0.50493312,FEBRUARY
ACR-423,3.040238072,2.279637765,FEBRUARY
ACR-424,1.264533048,0.3494257,FEBRUARY
ACR-425,2.047601237,0.856910055,FEBRUARY
ACR-426,2.951740779,0.776611248,FEBRUARY
ACR-427,1.918801792,0.605251209,FEBRUARY
ACR-428,2.903549311,1.113665992,FEBRUARY
ACR-429,0.031835411,0.069217679,FEBRUARY
ACR-430,2.523944875,0.67601959,FEBRUARY
ACR-431,2.148673753,0.629722757,FEBRUARY
ACR-432,3.445142518,1.01810964,FEBRUARY
ACR-433,2.33419392,0.741190207,FEBRUARY
ACR-434,1.393282616,0.765765552,FEBRUARY
ACR-435,2.827376275,1.074856703,FEBRUARY
ACR-436,2.116930835,0.59813654,FEBRUARY
ACR-437,4.132001149,2.540240673,FEBRUARY
ACR-438,2.640961036,1.857918773,FEBRUARY
ACR-439,1.601099956,0.446446904,FEBRUARY
ACR-448,2.681431172,0.690196103,FEBRUARY
ACR-451,2.859930337,0.939062524,FEBRUARY
ACR-456,6.04677432,1.569542881,FEBRUARY
ACR-457,2.254534352,0.670112135,FEBRUARY
ACR-458,3.842370847,1.15888992,FEBRUARY
ACR-459,2.115116727,0.516393256,FEBRUARY
ACR-460,1.882441233,0.474158804,FEBRUARY
ACR-461,2.032245527,0.569778738,FEBRUARY
ACR-462,2.101072342,0.585858016,FEBRUARY
ACR-464,2.243870586,0.542339016,FEBRUARY
ACR-465,1.884463974,0.473341291,FEBRUARY
