colony_id,surface.area.cm2,timepoint
ACR-414,20.79228604,FEBRUARY
ACR-415,15.04002102,FEBRUARY
ACR-416,24.7128242,FEBRUARY
ACR-417,34.09640735,FEBRUARY
ACR-418,18.31784801,FEBRUARY
ACR-420,16.26117226,FEBRUARY
ACR-421,20.98509939,FEBRUARY
ACR-422,29.05112463,FEBRUARY
ACR-423,18.60706804,FEBRUARY
ACR-424,17.90008575,FEBRUARY
ACR-425,27.31580446,FEBRUARY
ACR-426,23.97370635,FEBRUARY
ACR-427,18.44639025,FEBRUARY
ACR-428,12.05141406,FEBRUARY
ACR-429,25.41980649,FEBRUARY
ACR-430,20.47093045,FEBRUARY
ACR-431,25.99824655,FEBRUARY
ACR-432,32.61817165,FEBRUARY
ACR-433,14.62225876,FEBRUARY
ACR-434,25.03417979,FEBRUARY
ACR-435,19.98889707,FEBRUARY
ACR-436,14.46158097,FEBRUARY
ACR-437,14.36517429,FEBRUARY
ACR-438,18.47852581,FEBRUARY
ACR-439,21.82062392,FEBRUARY
ACR-448,19.76394816,FEBRUARY
ACR-451,18.2535769,FEBRUARY
ACR-456,17.1609679,FEBRUARY
ACR-457,43.15863492,FEBRUARY
ACR-458,22.20625062,FEBRUARY
ACR-459,25.74116208,FEBRUARY
ACR-460,14.10808982,FEBRUARY
ACR-461,18.2535769,FEBRUARY
ACR-462,14.750801,FEBRUARY
ACR-464,17.99649243,FEBRUARY
ACR-465,26.70522884,FEBRUARY
