colony_id,species,cells.cm2,timepoint
ACR-414,Acropora,472981.9021576531,FEB
ACR-415,Acropora,762410.281784233,FEB
ACR-416,Acropora,937232.6884534382,FEB
ACR-417,Acropora,1086624.7466043097,FEB
ACR-418,Acropora,1018132.6968774656,FEB
ACR-420,Acropora,1039285.4669046414,FEB
ACR-421,Acropora,761850.0967429358,FEB
ACR-422,Acropora,1111833.0326107612,FEB
ACR-423,Acropora,1216383.6495299758,FEB
ACR-424,Acropora,827742.7758059715,FEB
ACR-425,Acropora,805394.5484995351,FEB
ACR-426,Acropora,978884.9356759482,FEB
ACR-427,Acropora,1018446.7753649085,FEB
ACR-428,Acropora,1112939.9364844938,FEB
ACR-429,Acropora,286521.98177990736,FEB
ACR-430,Acropora,1105632.857722789,FEB
ACR-431,Acropora,1008561.6074507155,FEB
ACR-432,Acropora,942726.0463539633,FEB
ACR-433,Acropora,759116.6441602337,FEB
ACR-434,Acropora,539262.7245344096,FEB
ACR-435-419,Acropora,1386102.8235561452,FEB
ACR-436,Acropora,1062585.5293658127,FEB
ACR-437,Acropora,1011706.0217802728,FEB
ACR-438,Acropora,974103.6805022546,FEB
ACR-439,Acropora,812304.912444839,FEB
ACR-448,Acropora,1091212.4690248354,FEB
ACR-451,Acropora,1096132.1962371545,FEB
ACR-456,Acropora,1104638.5481893192,FEB
ACR-457,Acropora,621544.2182600345,FEB
ACR-458,Acropora,1321249.6112162296,FEB
ACR-459,Acropora,2430445.8283786327,FEB
ACR-460,Acropora,725115.8824669258,FEB
ACR-461,Acropora,1043631.0706364579,FEB
ACR-462,Acropora,648269.8806136762,FEB
ACR-464,Acropora,1449912.1669924313,FEB
ACR-465,Acropora,1130396.6042092682,FEB
