date,colony_id,species,patch,original.tag.number
20220126,ACR-414,Acropora,P1,414
20220126,ACR-415,Acropora,P2,415
20220126,ACR-416,Acropora,P2,416
20220126,ACR-417,Acropora,P3,417
20220126,ACR-418,Acropora,P3,418
20220126,ACR-420,Acropora,P3,420
20220126,ACR-421,Acropora,P4,421
20220126,ACR-422,Acropora,P4,422
20220126,ACR-423,Acropora,P4,423
20220126,ACR-424,Acropora,P3,424
20220126,ACR-425,Acropora,P3,425
20220126,ACR-426,Acropora,P5,426
20220126,ACR-427,Acropora,P1,427
20220126,ACR-428,Acropora,P5,428
20220126,ACR-429,Acropora,P2,429
20220126,ACR-430,Acropora,P2,430
20220126,ACR-431,Acropora,P4,431
20220126,ACR-432,Acropora,P5,432
20220126,ACR-433,Acropora,P1,433
20220126,ACR-434,Acropora,P1,434
20220126,ACR-435-419,Acropora,P4,435
20220126,ACR-436,Acropora,P3,436
20220126,ACR-437,Acropora,P5,437
20220126,ACR-438,Acropora,P5,438
20220126,ACR-439,Acropora,P4,439
20220126,ACR-448,Acropora,P4,448
20220126,ACR-449,Acropora,P2,449
20220126,ACR-451,Acropora,P5,451
20220126,ACR-456,Acropora,P3,456
20220126,ACR-457,Acropora,P4,457
20220126,ACR-458,Acropora,P5,458
20220126,ACR-459,Acropora,P3,459
20220126,ACR-460,Acropora,P3,460
20220126,ACR-461,Acropora,P3,461
20220126,ACR-462,Acropora,P1,462
20220126,ACR-464,Acropora,P4,464
20220126,ACR-465,Acropora,P3,465
