well,colony_id
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,ACR-428
B8,ACR-428
B9,ACR-416
B10,ACR-416
B11,ACR-465
B12,ACR-465
C1,ACR-451
C2,ACR-451
C3,ACR-448
C4,ACR-448
C5,ACR-438
C6,ACR-438
C7,ACR-461
C8,ACR-461
C9,ACR-462
C10,ACR-462
C11,ACR-430
C12,ACR-430
D1,ACR-459
D2,ACR-459
D3,ACR-435-419
D4,ACR-435-419
D5,ACR-426
D6,ACR-426
D7,ACR-449
D8,ACR-449
D9,ACR-457
D10,ACR-457
D11,ACR-418
D12,ACR-418
E1,ACR-429
E2,ACR-429
E3,ACR-417
E4,ACR-417
E5,ACR-427
E6,ACR-427
E7,ACR-433
E8,ACR-433
E9,ACR-432
E10,ACR-432
E11,ACR-460
E12,ACR-460
F1,ACR-436
F2,ACR-436
F3,ACR-431
F4,ACR-431
F5,ACR-423
F6,ACR-423
F7,ACR-434
F8,ACR-434
F9,ACR-425
F10,ACR-425
F11,ACR-464
F12,ACR-464
G1,ACR-415
G2,ACR-415
G3,ACR-420
G4,ACR-420
G5,ACR-437
G6,ACR-437
G7,ACR-414
G8,ACR-414
G9,ACR-422
G10,ACR-422
G11,ACR-424
G12,ACR-424
H1,ACR-421
H2,ACR-421
H3,ACR-439
H4,ACR-439
H5,ACR-458
H6,ACR-458
H7,ACR-456
H8,ACR-456
H9,NA
H10,NA
H11,NA
H12,NA
