Well,562:562
A1,2.301
B1,0.29
C1,2.292
D1,2.192
E1,1.527
F1,2.534
G1,1.602
H1,2.378
A2,2.311
B2,0.264
C2,2.272
D2,2.208
E2,1.375
F2,2.082
G2,1.588
H2,2.466
A3,1.782
B3,0.116
C3,2.018
D3,2.33
E3,2.678
F3,2.122
G3,1.898
H3,2.195
A4,2.049
B4,0.121
C4,1.964
D4,2.381
E4,2.564
F4,2.232
G4,1.442
H4,2.055
A5,1.331
B5,0.088
C5,1.728
D5,1.984
E5,2.277
F5,1.915
G5,2.291
H5,2.211
A6,1.392
B6,0.09
C6,1.689
D6,1.784
E6,2.146
F6,2.045
G6,2.241
H6,2.157
A7,1.047
B7,2.706
C7,2.52
D7,1.903
E7,2.351
F7,1.712
G7,1.206
H7,3.046
A8,1.1
B8,2.672
C8,2.635
D8,1.87
E8,2.286
F8,1.885
G8,1.194
H8,2.974
A9,0.784
B9,2.167
C9,1.222
D9,2.336
E9,1.454
F9,1.727
G9,1.977
H9,0.044
A10,0.812
B10,2.112
C10,1.317
D10,2.267
E10,1.533
F10,1.796
G10,2.148
H10,0.047
A11,0.447
B11,2.374
C11,2.12
D11,1.76
E11,2.613
F11,2.257
G11,1.84
H11,0.043
A12,0.467
B12,2.486
C12,2.112
D12,1.925
E12,2.626
F12,2.576
G12,2.004
H12,0.044
