well,colony_id
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,ACR-464
B8,ACR-464
B9,ACR-460
B10,ACR-460
B11,ACR-462
B12,ACR-462
C1,ACR-433
C2,ACR-433
C3,ACR-435-419
C4,ACR-435-419
C5,ACR-416
C6,ACR-416
C7,ACR-417
C8,ACR-417
C9,ACR-456
C10,ACR-456
C11,ACR-423
C12,ACR-423
D1,ACR-451
D2,ACR-451
D3,ACR-458
D4,ACR-458
D5,ACR-448
D6,ACR-448
D7,ACR-434
D8,ACR-434
D9,ACR-436
D10,ACR-436
D11,ACR-428
D12,ACR-428
E1,ACR-424
E2,ACR-424
E3,ACR-437
E4,ACR-437
E5,ACR-420
E6,ACR-420
E7,ACR-427
E8,ACR-427
E9,ACR-449
E10,ACR-449
E11,ACR-461
E12,ACR-461
F1,ACR-468
F2,ACR-458
F3,ACR-429
F4,ACR-429
F5,ACR-465
F6,ACR-465
F7,ACR-425
F8,ACR-425
F9,ACR-421
F10,ACR-421
F11,ACR-415
F12,ACR-415
G1,ACR-430
G2,ACR-430
G3,ACR-431
G4,ACR-431
G5,ACR-439
G6,ACR-439
G7,ACR-426
G8,ACR-426
G9,ACR-457
G10,ACR-457
G11,ACR-432
G12,ACR-432
H1,ACR-438
H2,ACR-438
H3,ACR-422
H4,ACR-422
H5,ACR-418
H6,ACR-418
H7,ACR-414
H8,ACR-414
H9,NA
H10,NA
H11,NA
H12,NA
