colony_id,Sample,Diameter,weight1.g,weight2.g,timepoint,Notes
1,Standard,7.44,140.4,146,JAN,"bubbles, may remove"
2,Standard,6.22,93.271,96.842,JAN,JAN 2022 SAMPLES
3,Standard,5.08,46.368,48.827,JAN,
4,Standard,3.16,10.977,11.685,JAN,
5,Standard,2.52,6.212,6.59,JAN,
6,Standard,1.9,2.204,2.411,JAN,
7,Standard,1.18,0.577,0.649,JAN,
ACR-462,Coral,NA,1.267,1.454,JAN,
ACR-427,Coral,NA,2.289,2.712,JAN,
ACR-414,Coral,NA,2.558,2.776,JAN,
ACR-434,Coral,NA,1.372,1.74,JAN,
ACR-433,Coral,NA,12.187,13.048,JAN,
ACR-429,Coral,NA,2.068,2.509,JAN,
ACR-449,Coral,NA,1.183,1.479,JAN,
ACR-415,Coral,NA,2.292,2.59,JAN,
ACR-430,Coral,NA,2.893,3.423,JAN,
ACR-416,Coral,NA,3.632,4.04,JAN,
ACR-425,Coral,NA,3.993,4.587,JAN,
ACR-420,Coral,NA,19.373,20.493,JAN,
ACR-417,Coral,NA,7.195,7.659,JAN,
ACR-424,Coral,NA,3.993,4.351,JAN,
ACR-418,Coral,NA,2.256,2.6,JAN,
ACR-465,Coral,NA,9.666,10.439,JAN,
ACR-460,Coral,NA,3.209,3.735,JAN,
ACR-459,Coral,NA,1.66,2.052,JAN,
ACR-436,Coral,NA,9.935,10.908,JAN,
ACR-461,Coral,NA,4.555,5.184,JAN,
ACR-456,Coral,NA,3.809,4.499,JAN,
ACR-448,Coral,NA,4.208,4.802,JAN,
ACR-457,Coral,NA,3.478,4.189,JAN,
ACR-421,Coral,NA,9.942,10.698,JAN,
ACR-422,Coral,NA,6.447,7.275,JAN,
ACR-464,Coral,NA,4.344,5.003,JAN,
ACR-423,Coral,NA,4.993,5.455,JAN,
ACR-435-419,Coral,NA,4.886,5.522,JAN,
ACR-431,Coral,NA,5.393,5.825,JAN,
ACR-439,Coral,NA,5.561,6.244,JAN,
ACR-426,Coral,NA,2.658,3.021,JAN,
ACR-437,Coral,NA,3.835,4.424,JAN,
ACR-428,Coral,NA,3.6,4.165,JAN,
ACR-432,Coral,NA,2.365,2.907,JAN,
ACR-458,Coral,NA,3.589,4.168,JAN,
ACR-438,Coral,NA,3.427,4.033,JAN,
ACR-451,Coral,NA,8.852,10.07,JAN,
