colony_id,partner,species,AFDW.mg.cm2,timepoint,DW.mg.cm2
ACR-414,Host,Acropora,1.150163751,JANUARY,29.71585555
ACR-414,Sym,Acropora,0.436363315,JANUARY,14.80961178
ACR-415,Host,Acropora,0.643799326,JANUARY,38.17797068
ACR-415,Sym,Acropora,0.828891633,JANUARY,16.34311415
ACR-416,Host,Acropora,1.459635172,JANUARY,20.50746758
ACR-416,Sym,Acropora,0.630204601,JANUARY,11.01380797
ACR-417,Host,Acropora,1.568829841,JANUARY,22.22410157
ACR-417,Sym,Acropora,0.635681702,JANUARY,12.99788798
ACR-418,Host,Acropora,1.982950955,JANUARY,75.92170082
ACR-418,Sym,Acropora,0.821734876,JANUARY,31.9344184
ACR-420,Host,Acropora,1.666892183,JANUARY,54.99437549
ACR-420,Sym,Acropora,0.636147276,JANUARY,63.5456443
ACR-421,Host,Acropora,2.407983403,JANUARY,56.39257672
ACR-421,Sym,Acropora,1.129749976,JANUARY,38.48561435
ACR-422,Host,Acropora,2.128965916,JANUARY,67.67074985
ACR-422,Sym,Acropora,0.887509365,JANUARY,48.6666621
ACR-423,Host,Acropora,1.179285576,JANUARY,53.01260288
ACR-423,Sym,Acropora,0.915680565,JANUARY,36.76774587
ACR-424,Host,Acropora,2.06061751,JANUARY,36.72679564
ACR-424,Sym,Acropora,0.619966767,JANUARY,23.40552696
ACR-425,Host,Acropora,1.725789515,JANUARY,51.06054336
ACR-425,Sym,Acropora,0.783668121,JANUARY,35.64175024
ACR-426,Host,Acropora,0.464697952,JANUARY,32.53738592
ACR-426,Sym,Acropora,1.094098976,JANUARY,21.62374864
ACR-427,Host,Acropora,1.152895794,JANUARY,17.31126725
ACR-427,Sym,Acropora,0.580608307,JANUARY,8.828204781
ACR-428,Host,Acropora,2.323695723,JANUARY,38.86238758
ACR-428,Sym,Acropora,1.300801354,JANUARY,19.7810518
ACR-429,Host,Acropora,1.770530648,JANUARY,50.25615679
ACR-429,Sym,Acropora,0.993496459,JANUARY,39.88442286
ACR-430,Host,Acropora,1.701731203,JANUARY,37.98644071
ACR-430,Sym,Acropora,0.931062129,JANUARY,22.68796102
ACR-431,Host,Acropora,2.48989943,JANUARY,37.35759767
ACR-431,Sym,Acropora,0.795102681,JANUARY,28.51338123
ACR-432,Host,Acropora,0.843861267,JANUARY,47.06130781
ACR-432,Sym,Acropora,1.335674162,JANUARY,33.49601818
ACR-433,Host,Acropora,1.054424089,JANUARY,19.88301446
ACR-433,Sym,Acropora,0.792030048,JANUARY,12.40342083
ACR-434,Host,Acropora,1.469905436,JANUARY,41.86885053
ACR-434,Sym,Acropora,0.735389756,JANUARY,32.11706957
ACR-435,Host,Acropora,2.040629443,JANUARY,48.54787181
ACR-435,Sym,Acropora,0.809946802,JANUARY,21.12341259
ACR-436,Host,Acropora,2.718357835,JANUARY,43.78331926
ACR-436,Sym,Acropora,0.723438346,JANUARY,31.1690461
ACR-437,Host,Acropora,1.993782582,JANUARY,36.88420498
ACR-437,Sym,Acropora,0.996376102,JANUARY,19.98522323
ACR-438,Host,Acropora,2.541392771,JANUARY,88.4973021
ACR-438,Sym,Acropora,2.042788035,JANUARY,49.0043406
ACR-439,Host,Acropora,1.878046541,JANUARY,59.80390709
ACR-439,Sym,Acropora,1.064959412,JANUARY,43.35809837
ACR-448,Host,Acropora,1.481763287,JANUARY,36.21414733
ACR-448,Sym,Acropora,1.118917577,JANUARY,30.56346617
ACR-449,Host,Acropora,1.310684166,JANUARY,39.12385499
ACR-449,Sym,Acropora,1.015140377,JANUARY,15.29338075
ACR-451,Host,Acropora,1.537901418,JANUARY,49.43993315
ACR-451,Sym,Acropora,1.609850022,JANUARY,24.55560898
ACR-456,Host,Acropora,1.194171231,JANUARY,21.71319563
ACR-456,Sym,Acropora,1.585684904,JANUARY,21.49035637
ACR-457,Host,Acropora,1.594463304,JANUARY,31.02971952
ACR-457,Sym,Acropora,0.790357054,JANUARY,19.63882045
ACR-458,Host,Acropora,1.362692544,JANUARY,37.5342958
ACR-458,Sym,Acropora,1.02228046,JANUARY,24.31231455
ACR-459,Host,Acropora,3.403092062,JANUARY,32.78093605
ACR-459,Sym,Acropora,0.943552932,JANUARY,22.70717013
ACR-460,Host,Acropora,1.393986045,JANUARY,37.95919556
ACR-460,Sym,Acropora,2.141567271,JANUARY,26.78184447
ACR-461,Host,Acropora,2.064516989,JANUARY,35.23280544
ACR-461,Sym,Acropora,1.162814878,JANUARY,27.97033998
ACR-462,Host,Acropora,1.636265295,JANUARY,68.5801207
ACR-462,Sym,Acropora,0.77958951,JANUARY,48.81161183
ACR-464,Host,Acropora,2.06695614,JANUARY,45.22334075
ACR-464,Sym,Acropora,0.869026815,JANUARY,36.52635877
ACR-465,Host,Acropora,2.123799636,JANUARY,43.14556747
ACR-465,Sym,Acropora,0.828145159,JANUARY,24.0804994
