colony_id,prot_ug,prot_ug.cm2,timepoint
ACR-414,6368.620406,412.0008857,JANUARY
ACR-415,12123.01345,587.5942052,JANUARY
ACR-416,13314.08182,517.8757667,JANUARY
ACR-417,17556.8161,1640.560128,JANUARY
ACR-418,18974.35359,1767.710814,JANUARY
ACR-420,35522.42583,3131.265325,JANUARY
ACR-421,44075.37476,2071.764266,JANUARY
ACR-422,38065.58209,3092.625961,JANUARY
ACR-423,22439.75587,1353.216837,JANUARY
ACR-424,15419.91289,1095.479042,JANUARY
ACR-425,20647.95966,862.4312852,JANUARY
ACR-426,15028.06951,909.7854428,JANUARY
ACR-427,12991.96948,583.370683,JANUARY
ACR-428,26684.67385,1241.18986,JANUARY
ACR-429,16146.40691,660.2297493,JANUARY
ACR-430,21865.16825,1053.22783,JANUARY
ACR-431,18171.64098,1841.808216,JANUARY
ACR-432,16735.9679,526.5756447,JANUARY
ACR-433,19775.51677,1089.129888,JANUARY
ACR-434,14147.21429,1487.191541,JANUARY
ACR-435,25255.5439,1587.63202,JANUARY
ACR-436,39452.04613,1989.691842,JANUARY
ACR-437,23965.26301,1470.865419,JANUARY
ACR-438,26469.16592,1577.861553,JANUARY
ACR-439,28156.50674,1321.501243,JANUARY
ACR-448,22597.09998,1429.176382,JANUARY
ACR-449,12033.17163,612.8302963,JANUARY
ACR-451,38708.61306,2988.802894,JANUARY
ACR-456,28494.13035,1685.655871,JANUARY
ACR-457,24474.61024,1547.921412,JANUARY
ACR-458,22808.26664,1500.474874,JANUARY
ACR-459,18424.84011,961.96323,JANUARY
ACR-460,29231.80036,2842.46585,JANUARY
ACR-461,32018.22158,895.982485,JANUARY
ACR-462,10018.06907,724.955747,JANUARY
ACR-464,33532.3268,1995.083932,JANUARY
ACR-465,31627.48809,2603.552421,JANUARY
