colony_id,prot_ug,prot_ug.cm2,timepoint
ACR-414,4351.787077,281.5272407,JANUARY
ACR-415,7507.399391,363.8785355,JANUARY
ACR-416,7934.470525,308.6258641,JANUARY
ACR-417,9848.002357,920.2260771,JANUARY
ACR-418,9945.248336,926.530801,JANUARY
ACR-420,19021.79261,1676.751467,JANUARY
ACR-421,24549.18176,1153.934999,JANUARY
ACR-422,20595.22885,1673.252737,JANUARY
ACR-423,14424.79039,869.8788587,JANUARY
ACR-424,10123.3189,719.1923696,JANUARY
ACR-425,12816.20644,535.3118455,JANUARY
ACR-426,9815.680787,594.2322454,JANUARY
ACR-427,7907.603869,355.0704362,JANUARY
ACR-428,14159.88702,658.6218098,JANUARY
ACR-429,11076.74823,452.9304103,JANUARY
ACR-430,13494.4083,650.0149557,JANUARY
ACR-431,10175.63187,1031.363233,JANUARY
ACR-432,9645.529352,303.4841407,JANUARY
ACR-433,11064.50218,609.3737102,JANUARY
ACR-434,9273.017578,974.8034502,JANUARY
ACR-435,15024.12153,944.457047,JANUARY
ACR-436,19232.15487,969.938581,JANUARY
ACR-437,13154.66051,807.3658623,JANUARY
ACR-438,16158.20162,963.2115037,JANUARY
ACR-439,15820.66059,742.5289945,JANUARY
ACR-448,13357.86681,844.8317604,JANUARY
ACR-449,8950.58734,455.8391803,JANUARY
ACR-451,26511.22556,2047.007666,JANUARY
ACR-456,15797.0532,934.5221329,JANUARY
ACR-457,14065.50071,889.5867802,JANUARY
ACR-458,13213.12003,869.2442492,JANUARY
ACR-460,14893.52184,1448.228529,JANUARY
ACR-461,18902.56839,528.9603658,JANUARY
ACR-462,6617.117009,478.8464693,JANUARY
ACR-464,17176.7192,1021.96894,JANUARY
ACR-465,15832.91457,1303.354314,JANUARY
