colony_id,surface.area.cm2,timepoint
ACR-462,11.34443177,JANUARY
ACR-427,18.92842363,JANUARY
ACR-414,12.34063409,JANUARY
ACR-434,17.1609679,JANUARY
ACR-433,33.00379836,JANUARY
ACR-429,19.50686369,JANUARY
ACR-449,14.84720767,JANUARY
ACR-415,14.91147879,JANUARY
ACR-430,22.36692841,JANUARY
ACR-416,18.44639025,JANUARY
ACR-425,24.42360417,JANUARY
ACR-420,41.32690807,JANUARY
ACR-417,20.24598154,JANUARY
ACR-424,16.83961231,JANUARY
ACR-418,16.38971449,JANUARY
ACR-465,30.17586919,JANUARY
ACR-460,22.23838618,JANUARY
ACR-459,17.93222131,JANUARY
ACR-436,36.60298093,JANUARY
ACR-461,25.54834873,JANUARY
ACR-456,27.50861781,JANUARY
ACR-448,24.42360417,JANUARY
ACR-457,28.18346455,JANUARY
ACR-421,29.62956469,JANUARY
ACR-422,31.94332492,JANUARY
ACR-464,26.51241549,JANUARY
ACR-423,20.18171042,JANUARY
ACR-435,25.77329764,JANUARY
ACR-431,19.21764366,JANUARY
ACR-439,27.2836689,JANUARY
ACR-426,17.00029011,JANUARY
ACR-437,24.26292638,JANUARY
ACR-428,23.49167297,JANUARY
ACR-432,22.75255512,JANUARY
ACR-458,23.94157079,JANUARY
ACR-438,24.80923088,JANUARY
ACR-451,44.47619282,JANUARY
