colony_id,species,cells.cm2,timepoint
ACR-414,Acropora,625980.8,JANUARY
ACR-415,Acropora,561647.8499,JANUARY
ACR-416,Acropora,883641.7196,JANUARY
ACR-417,Acropora,647041.9809,JANUARY
ACR-418,Acropora,752199.3956,JANUARY
ACR-420,Acropora,484651.952,JANUARY
ACR-421,Acropora,916652.0091,JANUARY
ACR-422,Acropora,780679.5336,JANUARY
ACR-423,Acropora,871746.3964,JANUARY
ACR-424,Acropora,768030.3497,JANUARY
ACR-425,Acropora,629513.969,JANUARY
ACR-426,Acropora,1052923.208,JANUARY
ACR-427,Acropora,436997.1229,JANUARY
ACR-428,Acropora,1041078.117,JANUARY
ACR-429,Acropora,1214956.97,JANUARY
ACR-430,Acropora,798472.3995,JANUARY
ACR-431,Acropora,515151.6063,JANUARY
ACR-432,Acropora,561612.7478,JANUARY
ACR-433,Acropora,412578.7741,JANUARY
ACR-434,Acropora,466174.1719,JANUARY
ACR-435,Acropora,885121.5051,JANUARY
ACR-436,Acropora,602865.2887,JANUARY
ACR-437,Acropora,929916.6822,JANUARY
ACR-438,Acropora,975443.379,JANUARY
ACR-439,Acropora,715446.3013,JANUARY
ACR-448,Acropora,800591.6405,JANUARY
ACR-449,Acropora,628625.4992,JANUARY
ACR-451,Acropora,714989.2556,JANUARY
ACR-456,Acropora,839130.9767,JANUARY
ACR-457,Acropora,405453.4642,JANUARY
ACR-458,Acropora,701577.8181,JANUARY
ACR-459,Acropora,737034.5502,JANUARY
ACR-460,Acropora,765380.7788,JANUARY
ACR-461,Acropora,827450.7376,JANUARY
ACR-462,Acropora,749045.8908,JANUARY
ACR-464,Acropora,782526.461,JANUARY
ACR-465,Acropora,611415.694,JANUARY
