Pan.ID,colony_id,partner,timepoint,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g
156,ACR-414,Sym,JULY,1.1311,1.1465,1.1438
222,ACR-414,Host,JULY,1.1234,1.1961,1.1884
18,ACR-415,Sym,JULY,1.1226,1.141,1.1351
43,ACR-415,Host,JULY,1.1365,1.2001,1.1935
83,ACR-416,Host,JULY,1.1453,1.1984,1.1917
116,ACR-416,Sym,JULY,1.1556,1.1722,1.1678
5,ACR-417,Sym,JULY,1.1449,1.1609,1.1574
248,ACR-417,Host,JULY,1.1313,1.205,1.1938
178,ACR-418,Sym,JULY,1.1343,1.151,1.1471
266,ACR-418,Host,JULY,1.1624,1.2433,1.2277
26,ACR-420,Sym,JULY,1.1422,1.158,1.1545
293,ACR-420,Host,JULY,1.1361,1.1717,1.1667
52,ACR-421,Host,JULY,1.1477,1.1941,1.1872
137,ACR-421,Sym,JULY,1.1552,1.1722,1.1673
67,ACR-422,Host,JULY,1.1517,1.2119,1.2006
90,ACR-422,Sym,JULY,1.1467,1.1682,1.1611
32,ACR-423,Sym,JULY,1.1241,1.1411,1.1361
66,ACR-423,Host,JULY,1.1428,1.2185,1.2078
9,ACR-424,Sym,JULY,1.1501,1.1663,1.1604
14,ACR-424,Host,JULY,1.1474,1.2145,1.2069
34,ACR-425,Sym,JULY,1.1394,1.1632,1.1538
100,ACR-425,Host,JULY,1.1261,1.2014,1.1917
119,ACR-426,Host,JULY,1.1241,1.2037,1.1921
181,ACR-426,Sym,JULY,1.1315,1.148,1.144
115,ACR-427,Host,JULY,1.1442,1.1995,1.1921
136,ACR-427,Sym,JULY,1.1536,1.169,1.1651
63,ACR-428,Sym,JULY,1.1469,1.173,1.1616
73,ACR-428,Host,JULY,1.1446,1.2037,1.192
69,ACR-429,Host,JULY,1.1355,1.1905,1.183
301,ACR-429,Sym,JULY,1.1366,1.1547,1.15
16,ACR-430,Host,JULY,1.1349,1.1816,1.1757
23,ACR-430,Sym,JULY,1.1494,1.1643,1.1615
78,ACR-431,Host,JULY,1.1361,1.1548,1.2002
160,ACR-431,Sym,JULY,1.1584,1.1759,1.1709
27,ACR-432,Host,JULY,1.1424,1.2167,1.207
279,ACR-432,Sym,JULY,1.1485,1.1658,1.1608
47,ACR-433,Host,JULY,1.1279,1.2019,1.1919
287,ACR-433,Sym,JULY,1.1319,1.1474,1.1445
191,ACR-434,Sym,JULY,1.1318,1.1466,1.1426
267,ACR-434,Host,JULY,1.1335,1.1781,1.1724
11,ACR-435,Sym,JULY,1.1435,1.1595,1.1554
15,ACR-435,Host,JULY,1.137,1.2127,1.2019
56,ACR-436,Sym,JULY,1.1415,1.1571,1.1541
296,ACR-436,Host,JULY,1.1468,1.226,1.2144
77,ACR-437,Sym,JULY,1.1382,1.1543,1.1499
184,ACR-437,Host,JULY,1.1389,1.189,1.1818
94,ACR-438,Sym,JULY,1.1372,1.1554,1.1488
193,ACR-438,Host,JULY,1.1583,1.2129,1.2031
8,ACR-439,Sym,JULY,1.1416,1.1568,1.1532
179,ACR-439,Host,JULY,1.1398,1.183,1.1766
62,ACR-446,Host,JULY,1.1523,1.205,1.1969
64,ACR-446,Sym,JULY,1.1439,1.1612,1.1554
70,ACR-447,Host,JULY,1.1444,1.2018,1.195
71,ACR-447,Sym,JULY,1.1497,1.166,1.1617
19,ACR-448,Sym,JULY,1.1692,1.1856,1.1803
120,ACR-448,Host,JULY,1.1527,1.2017,1.1924
38,ACR-449,Host,JULY,1.139,1.1987,1.1896
260,ACR-449,Sym,JULY,1.146,1.1626,1.158
33,ACR-451,Host,JULY,1.157,1.2071,1.1998
257,ACR-451,Sym,JULY,1.1441,1.1619,1.1559
92,ACR-456,Sym,JULY,1.1358,1.1514,1.1484
105,ACR-456,Host,JULY,1.1582,1.2335,1.2225
36,ACR-457,Host,JULY,1.1383,1.201,1.1921
37,ACR-457,Sym,JULY,1.1271,1.1419,1.1385
3,ACR-458,Host,JULY,1.1379,1.1833,1.1749
141,ACR-458,Sym,JULY,1.1435,1.1603,1.1545
103,ACR-459,Sym,JULY,1.1418,1.1568,1.154
183,ACR-459,Host,JULY,1.1357,1.2122,1.2017
20,ACR-460,Host,JULY,1.169,1.2108,1.2025
53,ACR-460,Sym,JULY,1.1433,1.1581,1.1547
111,ACR-461,Sym,JULY,1.1574,1.177,1.1722
157,ACR-461,Host,JULY,1.1573,1.2373,1.2258
25,ACR-462,Host,JULY,1.1562,1.2344,1.2231
108,ACR-462,Sym,JULY,1.1324,1.1512,1.146
177,ACR-463,Sym,JULY,1.1399,1.1578,1.153
275,ACR-463,Host,JULY,1.1258,1.1915,1.1821
204,ACR-464,Host,JULY,1.1509,1.2225,1.2122
278,ACR-464,Sym,JULY,1.1229,1.1413,1.1359
6,ACR-465,Sym,JULY,1.146,1.1642,1.1591
65,ACR-465,Host,JULY,1.1423,1.2047,1.1936
