well,colony_id
A1,BK
A2,BK
A3,ACR-414
A4,ACR-414
A5,ACR-415
A6,ACR-415
A7,ACR-416
A8,ACR-416
A9,ACR-417
A10,ACR-417
A11,ACR-418
A12,ACR-418
B1,ACR-420
B2,ACR-420
B3,ACR-421
B4,ACR-421
B5,ACR-422
B6,ACR-422
B7,ACR-423
B8,ACR-423
B9,ACR-424
B10,ACR-424
B11,ACR-425
B12,ACR-425
C1,ACR-426
C2,ACR-426
C3,ACR-427
C4,ACR-427
C5,ACR-428
C6,ACR-428
C7,ACR-429
C8,ACR-429
C9,ACR-430
C10,ACR-430
C11,ACR-432
C12,ACR-432
D1,ACR-433
D2,ACR-433
D3,ACR-434
D4,ACR-434
D5,ACR-435
D6,ACR-435
D7,ACR-436
D8,ACR-436
D9,ACR-437
D10,ACR-437
D11,ACR-438
D12,ACR-438
E1,ACR-439
E2,ACR-439
E3,ACR-446
E4,ACR-446
E5,ACR-447
E6,ACR-447
E7,ACR-448
E8,ACR-448
E9,ACR-449
E10,ACR-449
E11,ACR-451
E12,ACR-451
F1,ACR-456
F2,ACR-456
F3,ACR-457
F4,ACR-457
F5,ACR-458
F6,ACR-458
F7,ACR-459
F8,ACR-459
F9,ACR-460
F10,ACR-460
F11,ACR-461
F12,ACR-461
G1,ACR-462
G2,ACR-462
G3,ACR-463
G4,ACR-463
G5,ACR-464
G6,ACR-464
G7,ACR-465
G8,ACR-465
G9,ACR-431
G10,ACR-431
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
