colony_id,timepoint,homog_vol_ml,date_airbrushed,note
ACR-430,JULY,11,20220727,
ACR-460,JULY,12.5,20220727,
ACR-458,JULY,30,20220727,
ACR-420,JULY,9,20220727,
ACR-434,JULY,10,20220727,
ACR-439,JULY,12.5,20220727,
ACR-448,JULY,12,20220727,
ACR-451,JULY,31,20220727,
ACR-421,JULY,12.5,20220727,
ACR-428,JULY,12.5,20220727,
ACR-446,JULY,20,20220727,
ACR-437,JULY,20,20220727,
ACR-438,JULY,17.5,20220727,
ACR-422,JULY,17.5,20220727,
ACR-429,JULY,12.5,20220727,
ACR-447,JULY,17.5,20220727,
ACR-465,JULY,15,20220727,
ACR-449,JULY,12.5,20220727,
ACR-427,JULY,10,20220727,
ACR-416,JULY,10,20220727,
ACR-417,JULY,20,20220727,
ACR-457,JULY,10,20220727,
ACR-463,JULY,22.5,20220727,
ACR-424,JULY,12.5,20220727,
ACR-415,JULY,10,20220727,
ACR-432,JULY,12.5,20220727,
ACR-464,JULY,12.5,20220727,
ACR-425,JULY,7.5,20220727,
ACR-462,JULY,15,20220727,
ACR-431,JULY,17.5,20220727,
ACR-414,JULY,10,20220727,
ACR-433,JULY,12.5,20220727,
ACR-456,JULY,10,20220727,
ACR-436,JULY,17.5,20220727,
ACR-426,JULY,20,20220727,
ACR-423,JULY,10,20220727,
ACR-459,JULY,7.5,20220727,
ACR-418,JULY,12.5,20220727,
ACR-435,JULY,10,20220727,
ACR-461,JULY,17.5,20220727,
