well,colony_id
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,ACR-414
B8,ACR-414
B9,ACR-415
B10,ACR-415
B11,ACR-416
B12,ACR-416
C1,ACR-417
C2,ACR-417
C3,ACR-418
C4,ACR-418
C5,ACR-421
C6,ACR-421
C7,ACR-422
C8,ACR-422
C9,ACR-423
C10,ACR-423
C11,ACR-424
C12,ACR-424
D1,ACR-426
D2,ACR-426
D3,ACR-427
D4,ACR-427
D5,ACR-428
D6,ACR-428
D7,ACR-429
D8,ACR-429
D9,ACR-430
D10,ACR-430
D11,ACR-431
D12,ACR-431
E1,ACR-432
E2,ACR-432
E3,ACR-433
E4,ACR-433
E5,ACR-434
E6,ACR-434
E7,ACR-435
E8,ACR-435
E9,ACR-436
E10,ACR-436
E11,ACR-437
E12,ACR-437
F1,ACR-438
F2,ACR-438
F3,ACR-439
F4,ACR-439
F5,ACR-446
F6,ACR-446
F7,ACR-447
F8,ACR-447
F9,ACR-448
F10,ACR-448
F11,ACR-449
F12,ACR-449
G1,ACR-451
G2,ACR-451
G3,ACR-456
G4,ACR-456
G5,ACR-457
G6,ACR-457
G7,ACR-458
G8,ACR-458
G9,ACR-460
G10,ACR-460
G11,ACR-461
G12,ACR-461
H1,ACR-462
H2,ACR-462
H3,ACR-463
H4,ACR-463
H5,ACR-464
H6,ACR-464
H7,ACR-465
H8,ACR-465
H9,NA
H10,NA
H11,NA
H12,NA
