Well,562:562
A1,2.132
B1,0.256
C1,1.345
D1,1.262
E1,1.202
F1,1.417
G1,1.33
H1,1.464
A2,1.903
B2,0.264
C2,1.345
D2,1.307
E2,1.243
F2,1.411
G2,1.266
H2,1.465
A3,1.675
B3,0.109
C3,1.343
D3,1.034
E3,0.917
F3,1.062
G3,1.15
H3,1.436
A4,1.681
B4,0.107
C4,1.304
D4,1.037
E4,0.945
F4,1.109
G4,1.203
H4,1.508
A5,1.242
B5,0.082
C5,1.064
D5,1.75
E5,0.876
F5,1.313
G5,0.982
H5,1.431
A6,1.204
B6,0.081
C6,1.082
D6,1.792
E6,0.882
F6,1.327
G6,0.931
H6,1.45
A7,0.962
B7,0.878
C7,1.541
D7,1.034
E7,1.109
F7,1.026
G7,1.244
H7,1.374
A8,0.945
B8,0.888
C8,1.573
D8,1.051
E8,1.101
F8,0.987
G8,1.192
H8,1.445
A9,0.715
B9,1.171
C9,1.14
D9,0.889
E9,1.342
F9,1.277
G9,1.074
H9,0.046
A10,0.729
B10,1.183
C10,1.202
D10,0.91
E10,1.403
F10,1.327
G10,1.087
H10,0.046
A11,0.429
B11,1.02
C11,1.231
D11,1.19
E11,1.09
F11,1.079
G11,1.477
H11,0.049
A12,0.445
B12,0.94
C12,1.308
D12,1.201
E12,1.143
F12,1.121
G12,1.514
H12,0.049
