colony_id,Sample,Diameter,weight1.g,weight2.g,Notes
1,Standard,7.44,140.1,144.321,
2,Standard,6.22,90.39,94.226,
3,Standard,5.08,44.092,46.408,
4,Standard,3.16,12.281,12.966,
5,Standard,2.52,6.284,6.691,
6,Standard,1.9,2.708,2.899,
7,Standard,1.18,0.537,0.588,
ACR-420,Coral,NA,0.993,1.252,
ACR-429,Coral,NA,1.012,1.345,
ACR-451,Coral,NA,6.674,7.647,
ACR-416,Coral,NA,1.248,1.547,
ACR-463,Coral,NA,3.326,3.992,
ACR-430,Coral,NA,0.989,1.246,
ACR-446,Coral,NA,2.47,3.13,
ACR-417,Coral,NA,2.356,2.984,
ACR-426,Coral,NA,2.884,3.527,
ACR-465,Coral,NA,1.247,1.641,
ACR-449,Coral,NA,1.242,1.614,
ACR-448,Coral,NA,2.138,2.521,
ACR-422,Coral,NA,6.517,7.26,
ACR-424,Coral,NA,1.915,2.349,
ACR-427,Coral,NA,0.776,1.108,
ACR-437,Coral,NA,2.261,2.76,
ACR-438,Coral,NA,4.597,5.242,
ACR-447,Coral,NA,1.878,2.26,
ACR-457,Coral,NA,0.871,1.159,
ACR-415,Coral,NA,1.205,1.518,
ACR-462,Coral,NA,2.285,2.882,
ACR-460,Coral,NA,1.002,1.349,
ACR-421,Coral,NA,1.261,1.543,
ACR-425,Coral,NA,1.997,2.448,
ACR-428,Coral,NA,2.502,3.137,
ACR-464,Coral,NA,2.112,2.538,
ACR-436,Coral,NA,2.356,2.949,
ACR-432,Coral,NA,1.346,1.734,
ACR-414,Coral,NA,0.639,0.865,
ACR-459,Coral,NA,0.499,0.663,
ACR-431,Coral,NA,1.736,2.184,
ACR-435,Coral,NA,0.958,1.191,
ACR-456,Coral,NA,1.563,1.949,
ACR-418,Coral,NA,1.355,1.739,
ACR-433,Coral,NA,1.259,1.598,
ACR-434,Coral,NA,0.981,1.242,
ACR-461,Coral,NA,3.467,4.091,
ACR-439,Coral,NA,3.746,4.215,
ACR-458,Coral,NA,3.229,4.249,
ACR-423,Coral,NA,1.072,1.294,
