colony_id,timepoint,Squares.Counted,Count1,Count2,Count3,Count4,Count5,Count6,Count7,Count8,Dilution,Counter,Date.Counted,Average Per Square,Std.Dev. Per square,CV,,,,,,,,,
ACR-414,JUL,2,117,126,148,153,123,128,,,,,,66.25,7.257754474,10.95510109,,,,,,,,,
ACR-415,JUL,1,174,191,188,172,195,183,,,,,,183.8333333,9.28260021,5.04946521,,,,,,,,,
ACR-416,JUL,1,176,168,175,156,165,158,,,,,,166.3333333,8.358628277,5.025227421,,,,,,,,,
ACR-417,JUL,1,159,138,162,142,137,149,,,,,,147.8333333,10.72225101,7.25293191,,,,,,,,,
ACR-418,JUL,1,231,271,245,243,237,250,,,,,,246.1666667,13.83353414,5.619580556,,,,,,,,,
ACR-420,JUL,1,253,230,246,265,288,241,,,,,,253.8333333,20.42955376,8.048412511,,,,,,,,,
ACR-421,JUL,1,222,233,240,238,223,218,,,,,,229,9.208691547,4.021262684,,,,,,,,,
ACR-422,JUL,1,233,264,240,225,221,229,,,,,,235.3333333,15.50053763,6.586630719,,,,,,,,,
ACR-423,JUL,1,233,265,254,234,266,231,,,,,,247.1666667,16.46106517,6.659904993,,,,,,,,,
ACR-424,JUL,1,157,139,154,140,152,155,,,,,,149.5,7.918333158,5.296543918,,,,,,,,,
ACR-425,JUL,1,296,276,251,267,280,292,,,,,,277,16.56502339,5.980152849,,,,,,,,,
ACR-426,JUL,1,170,187,190,161,154,158,,,,,,170,15.29705854,8.99826973,,,,,,,,,
ACR-427,JUL,1,207,200,219,213,215,218,,,,,,212,253,119.3396226,,,,,,,,,
ACR-428,JUL,1,277,296,284,299,281,305,,,,,,290.3333333,11.20119041,3.858044918,,,,,,,,,
ACR-429,JUL,1,179,209,196,199,180,191,,,,,,192.3333333,11.55277744,6.006643385,,,,,,,,,
ACR-430,JUL,1,185,164,177,170,186,163,,,,,,174.1666667,10.1077528,5.803494431,,,,,,,,,
ACR-431,JUL,1,192,225,213,198,220,222,,,,,,211.6666667,13.63329258,6.44092563,,,,,,,,,
ACR-432,JUL,1,194,188,177,181,200,179,,,,,,186.5,9.137833441,4.899642596,,,,,,,,,
ACR-433,JUL,1,110,103,99,94,114,102,,,,,,103.6666667,7.284687136,7.027029391,,,,,,,,,
ACR-434,JUL,1,127,106,99,110,129,124,,,,,,115.8333333,12.48065169,10.77466333,,,,,,,,,
ACR-435,JUL,1,127,125,116,91,120,107,115,130,,,,116.375,12.64840476,10.86866144,,,,,,,,,
ACR-436,JUL,1,179,159,176,166,155,160,,,,,,165.8333333,9.745084231,5.876432702,,,,,,,,,
ACR-437,JUL,1,147,181,187,152,185,188,,,,,,173.3333333,18.6833259,10.77884187,,,,,,,,,
ACR-438,JUL,1,267,268,244,242,255,250,,,,,,254.3333333,11.18332091,4.397111762,,,,,,,,,
ACR-439,JUL,1,141,160,128,143,131,134,,,,,,139.5,11.57151675,8.294994089,,,,,,,,,
ACR-446,JUL,1,171,183,166,158,161,159,,,,,,166.3333333,9.500877152,5.711950192,,,,,,,,,
ACR-447,JUL,1,129,110,94,113,98,96,,,,,,106.6666667,13.4114379,12.57322304,,,,,,,,,
ACR-448,JUL,1,212,215,227,209,226,214,,,,,,217.1666667,7.521081483,3.463276201,,,,,,,,,
ACR-449,JUL,1,206,218,231,225,234,207,,,,,,220.1666667,11.92336642,5.415609273,,,,,,,,,
ACR-451,JUL,1,175,185,207,196,167,171,,,,,,183.5,15.56598856,8.482827556,,,,,,,,,
ACR-456,JUL,1,100,93,77,83,79,75,92,76,,,,84.375,9.41029072,11.15293715,,,,,,,,,
ACR-457,JUL,1,109,113,98,122,106,110,,,,,,109.6666667,7.916228058,7.218445038,,,,,,,,,
ACR-458,JUL,1,194,171,161,162,180,184,,,,,,175.3333333,13.01793634,7.424678523,,,,,,,,,
ACR-459,JUL,2,133,145,150,153,141,156,,,,,,73.16666667,4.238710496,5.79322619,,,,,,,,,
ACR-460,JUL,2,204,190,225,202,188,179,,,,,,99,8.08084154,8.162466202,,,,,,,,,
ACR-461,JUL,1,245,285,291,303,260,248,,,,,,272,24.24871131,8.914967392,,,,,,,,,
ACR-462,JUL,1,213,227,196,223,215,199,,,,,,212.1666667,12.49666622,5.890023357,,,,,,,,,
ACR-463,JUL,1,192,185,212,205,223,189,,,,,,201,14.84587485,7.386007387,,,,,,,,,
ACR-464,JUL,1,133,168,166,161,158,131,,,,,,152.8333333,16.53380376,10.81819221,,,,,,,,,
ACR-465,JUL,1,182,208,195,190,192,207,,,,,,195.6666667,10.1324561,5.17842731,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
