colony_id,partner,species,AFDW.mg.cm2,timepoint,DW.mg.cm2
ACR-414,Host,Acropora,1.410372994,JULY,136.776874
ACR-414,Sym,Acropora,0.3956371,JULY,85.12791596
ACR-415,Host,Acropora,1.011422904,JULY,114.2448144
ACR-415,Sym,Acropora,0.723320622,JULY,71.06931606
ACR-416,Host,Acropora,1.054464793,JULY,116.5073428
ACR-416,Sym,Acropora,0.553987473,JULY,74.8386714
ACR-417,Host,Acropora,2.156999626,JULY,188.4948048
ACR-417,Sym,Acropora,0.539249906,JULY,134.7624034
ACR-418,Host,Acropora,2.636794821,JULY,147.2771606
ACR-418,Sym,Acropora,0.527358964,JULY,94.28637398
ACR-420,Host,Acropora,0.767412595,JULY,102.3370276
ACR-420,Sym,Acropora,0.429751053,JULY,64.27165753
ACR-421,Host,Acropora,1.403431079,JULY,168.1749767
ACR-421,Sym,Acropora,0.797311569,JULY,115.5483452
ACR-422,Host,Acropora,1.676734259,JULY,140.7647028
ACR-422,Sym,Acropora,0.842818637,JULY,99.78158668
ACR-423,Host,Acropora,1.977621006,JULY,140.7215964
ACR-423,Sym,Acropora,0.739297572,JULY,85.61805185
ACR-424,Host,Acropora,1.186323303,JULY,132.2644338
ACR-424,Sym,Acropora,0.736769209,JULY,88.19502062
ACR-425,Host,Acropora,0.88544403,JULY,54.84397725
ACR-425,Sym,Acropora,0.686447331,JULY,29.47341943
ACR-426,Host,Acropora,2.195187487,JULY,185.2435454
ACR-426,Sym,Acropora,0.605568962,JULY,130.973212
ACR-427,Host,Acropora,1.094958729,JULY,109.7651735
ACR-427,Sym,Acropora,0.461658275,JULY,70.10103341
ACR-428,Host,Acropora,1.39677363,JULY,99.97413223
ACR-428,Sym,Acropora,1.088767137,JULY,68.2141263
ACR-429,Host,Acropora,1.384684075,JULY,152.7103448
ACR-429,Sym,Acropora,0.694188283,JULY,103.3986063
ACR-430,Host,Acropora,1.111423882,JULY,144.8447333
ACR-430,Sym,Acropora,0.421964321,JULY,96.72710058
ACR-431,Host,Acropora,-9.713353861,JULY,191.5113944
ACR-431,Sym,Acropora,0.855802102,JULY,144.6183295
ACR-432,Host,Acropora,1.628752088,JULY,142.9157755
ACR-432,Sym,Acropora,0.671650346,JULY,94.89076083
ACR-433,Host,Acropora,1.826415006,JULY,153.596388
ACR-433,Sym,Acropora,0.423728281,JULY,101.4960736
ACR-434,Host,Acropora,0.96801086,JULY,123.0732404
ACR-434,Sym,Acropora,0.543444694,JULY,78.89458338
ACR-435,Host,Acropora,1.947591162,JULY,136.6740131
ACR-435,Sym,Acropora,0.591490649,JULY,84.79234855
ACR-436,Host,Acropora,2.038975474,JULY,169.4237955
ACR-436,Sym,Acropora,0.421856995,JULY,116.848361
ACR-437,Host,Acropora,1.635563355,JULY,218.3522511
ACR-437,Sym,Acropora,0.799608751,JULY,158.0590253
ACR-438,Host,Acropora,1.618981895,JULY,156.6357903
ACR-438,Sym,Acropora,0.872267796,JULY,109.7584764
ACR-439,Host,Acropora,0.948232423,JULY,121.2350712
ACR-439,Sym,Acropora,0.426704591,JULY,82.98930169
ACR-446,Host,Acropora,1.503221495,JULY,180.8579599
ACR-446,Sym,Acropora,0.861104659,JULY,129.9414353
ACR-447,Host,Acropora,1.614470325,JULY,223.2296915
ACR-447,Sym,Acropora,0.816732047,JULY,159.0755249
ACR-448,Host,Acropora,1.511562163,JULY,132.8657723
ACR-448,Sym,Acropora,0.689142319,JULY,90.81508817
ACR-449,Host,Acropora,1.56932919,JULY,143.8643733
ACR-449,Sym,Acropora,0.634629826,JULY,97.15354861
ACR-451,Host,Acropora,1.548760309,JULY,224.4237868
ACR-451,Sym,Acropora,1.018362943,JULY,165.8858484
ACR-456,Host,Acropora,1.482510571,JULY,103.8053902
ACR-456,Sym,Acropora,0.323456852,JULY,62.91235769
ACR-457,Host,Acropora,1.431060544,JULY,119.9003625
ACR-457,Sym,Acropora,0.437357829,JULY,74.39585309
ACR-458,Host,Acropora,1.659256665,JULY,203.7685703
ACR-458,Sym,Acropora,0.916541777,JULY,153.2389373
ACR-459,Host,Acropora,1.675555628,JULY,96.78222078
ACR-459,Sym,Acropora,0.357451867,JULY,50.5028424
ACR-460,Host,Acropora,1.494521023,JULY,150.6621241
ACR-460,Sym,Acropora,0.489770745,JULY,100.9475125
ACR-461,Host,Acropora,1.947118098,JULY,164.7049058
ACR-461,Sym,Acropora,0.65016813,JULY,114.6347035
ACR-462,Host,Acropora,1.694154972,JULY,138.8427466
ACR-462,Sym,Acropora,0.62368891,JULY,92.80171139
ACR-463,Host,Acropora,1.949242986,JULY,205.5741697
ACR-463,Sym,Acropora,0.796286496,JULY,150.0483934
ACR-464,Host,Acropora,1.627702889,JULY,134.9906156
ACR-464,Sym,Acropora,0.682687037,JULY,87.50277885
ACR-465,Host,Acropora,2.214725771,JULY,179.589652
ACR-465,Sym,Acropora,0.814061365,JULY,124.8546665
