colony_id,prot_ug,prot_ug.cm2,timepoint
ACR-414,4306.054412186954,315.48794053776476,JULY
ACR-415,6284.734378237354,385.2438967238552,JULY
ACR-416,5439.8963758282935,342.45846006293016,JULY
ACR-417,16675.03210521958,642.2863931037975,JULY
ACR-418,10321.070227925378,558.2470671033302,JULY
ACR-420,6959.8972153472,474.76558086877424,JULY
ACR-421,6681.119431260089,434.8517402672254,JULY
ACR-422,14107.708511326324,478.48046895094615,JULY
ACR-423,6276.3762146089175,464.0109698655434,JULY
ACR-424,9005.314113057222,449.8195361024303,JULY
ACR-425,6686.5839026080785,325.5310405288264,JULY
ACR-426,13080.38974372067,495.0673774035005,JULY
ACR-427,5336.687636652559,315.86230862079015,JULY
ACR-428,10298.057502625512,393.41005553340324,JULY
ACR-429,6773.587505356561,400.1825600791974,JULY
ACR-430,5501.534275562588,376.8589572669939,JULY
ACR-431,10742.871249743599,525.3583885709709,JULY
ACR-432,7397.99254590705,397.50914002664103,JULY
ACR-433,5977.416512136762,349.351782865803,JULY
ACR-434,4579.357644995039,311.0784514894644,JULY
ACR-435,5944.076915590731,428.7641358234222,JULY
ACR-436,14522.633226636397,583.4737529126105,JULY
ACR-437,10806.28619053914,490.9546026774011,JULY
ACR-438,11673.45545458778,440.79563920896464,JULY
ACR-439,6682.955718745638,316.84976481842716,JULY
ACR-446,13568.580735840942,503.61931399174784,JULY
ACR-447,9418.398290058347,511.1167916650551,JULY
ACR-448,8884.833595431217,481.3612288818613,JULY
ACR-449,6822.8825238896825,376.5221521981703,JULY
ACR-451,19237.63910785591,526.6370640414475,JULY
ACR-456,6364.633272692313,343.11404029154323,JULY
ACR-457,5616.404149665777,361.2321068471199,JULY
ACR-458,19582.795903866805,515.7600733111243,JULY
ACR-459,4594.709886850989,391.0446735702011,JULY
ACR-460,7538.238058743502,434.35393754415765,JULY
ACR-461,14394.814716659539,557.0862957589908,JULY
ACR-462,11086.190725748127,443.22655186321987,JULY
ACR-463,17631.6140294535,649.9914889725005,JULY
ACR-464,8889.116386676666,449.5173724142416,JULY
ACR-465,12721.459896608445,676.8659478644992,JULY
