colony_id,species,cells.cm2,timepoint
ACR-414,Acropora,485388.1084612607,JULY
ACR-415,Acropora,1126868.1445997949,JULY
ACR-416,Acropora,1047120.2621354007,JULY
ACR-417,Acropora,1138844.4453723917,JULY
ACR-418,Acropora,1664335.8761557029,JULY
ACR-420,Acropora,1558359.17677501,JULY
ACR-421,Acropora,1863105.6057624833,JULY
ACR-422,Acropora,1396783.9376944911,JULY
ACR-423,Acropora,1827297.1663407483,JULY
ACR-424,Acropora,933449.1251921923,JULY
ACR-425,Acropora,1011414.4181079549,JULY
ACR-426,Acropora,1286834.0440543424,JULY
ACR-427,Acropora,1254763.5160001602,JULY
ACR-428,Acropora,1386427.158237659,JULY
ACR-429,Acropora,1420378.1537669702,JULY
ACR-430,Acropora,1312359.2731293442,JULY
ACR-431,Acropora,1811447.783147127,JULY
ACR-432,Acropora,1252627.8945763486,JULY
ACR-433,Acropora,757353.422465633,JULY
ACR-434,Acropora,786862.6291632508,JULY
ACR-435,Acropora,839447.8573380284,JULY
ACR-436,Acropora,1165965.8598685986,JULY
ACR-437,Acropora,1574986.9343997177,JULY
ACR-438,Acropora,1680657.3955856275,JULY
ACR-439,Acropora,826740.144113712,JULY
ACR-446,Acropora,1234744.898646945,JULY
ACR-447,Acropora,1013000.9884821497,JULY
ACR-448,Acropora,1411874.9090711,JULY
ACR-449,Acropora,1518742.7543522152,JULY
ACR-451,Acropora,1557246.6673295763,JULY
ACR-456,Acropora,454861.1979548144,JULY
ACR-457,Acropora,705346.6950603662,JULY
ACR-458,Acropora,1385347.6280579667,JULY
ACR-459,Acropora,467027.8862126711,JULY
ACR-460,Acropora,713048.5844599202,JULY
ACR-461,Acropora,1842143.0355361716,JULY
ACR-462,Acropora,1272365.3563244177,JULY
ACR-463,Acropora,1667224.8518868284,JULY
ACR-464,Acropora,966086.4397090395,JULY
ACR-465,Acropora,1561614.4476562277,JULY
NA,NA,NA,JULY
