Pan.ID,colony_id,partner,timepoint,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g
134,ACR-414,Host,JUNE,1.1216,1.1656,1.1562
280,ACR-415,Host,JUNE,1.1414,1.2035,1.188
169,ACR-416,Host,JUNE,1.137,1.1864,1.1757
142,ACR-417,Host,JUNE,1.1283,1.1657,1.1553
215,ACR-418,Host,JUNE,1.1485,1.2054,1.1984
131,ACR-420,Host,JUNE,1.1506,1.1818,1.1751
289,ACR-421,Host,JUNE,1.1214,1.1822,1.1725
189,ACR-422,Host,JUNE,1.1313,1.1631,1.1568
50,ACR-423,Host,JUNE,1.1485,1.2142,1.1917
232,ACR-424,Host,JUNE,1.1198,1.1477,1.1421
200,ACR-425,Host,JUNE,1.1179,1.1481,1.1438
240,ACR-426,Host,JUNE,1.1329,1.1801,1.1698
205,ACR-428,Host,JUNE,1.1461,1.184,1.1781
99,ACR-429,Host,JUNE,1.1361,1.2079,1.1856
59,ACR-430,Host,JUNE,1.1509,1.1901,1.1815
209,ACR-431,Host,JUNE,1.1406,1.2041,1.1899
201,ACR-432,Host,JUNE,1.1222,1.1524,1.1469
1,ACR-433,Host,JUNE,1.1427,1.1714,1.1671
306,ACR-434,Host,JUNE,1.1306,1.1763,1.1677
194,ACR-435,Host,JUNE,1.1551,1.2406,1.2213
80,ACR-436,Host,JUNE,1.1253,1.2163,1.1892
57,ACR-437,Host,JUNE,1.1373,1.2167,1.2018
195,ACR-438,Host,JUNE,1.1413,1.2142,1.198
40,ACR-439,Host,JUNE,1.1489,1.2039,1.1937
221,ACR-446,Host,JUNE,1.1423,1.2029,1.1953
294,ACR-447,Host,JUNE,1.1553,1.2256,1.2103
124,ACR-448,Host,JUNE,1.1438,1.19,1.1788
171,ACR-449,Host,JUNE,1.1408,1.2142,1.2003
48,ACR-451,Host,JUNE,1.1431,1.1672,1.1638
154,ACR-456,Host,JUNE,1.1328,1.234,1.2059
54,ACR-457,Host,JUNE,1.1526,1.1794,1.1745
129,ACR-458,Host,JUNE,1.136,1.2003,1.1873
152,ACR-459,Host,JUNE,1.1469,1.1786,1.165
249,ACR-460,Host,JUNE,1.1363,1.238,1.2087
44,ACR-461,Host,JUNE,1.1243,1.1994,1.1855
82,ACR-462,Host,JUNE,1.1526,1.2424,1.2223
308,ACR-463,Host,JUNE,1.1391,1.1677,1.1642
87,ACR-464,Host,JUNE,1.1435,1.205,1.1919
146,ACR-465,Host,JUNE,1.1446,1.183,1.176
143,ACR-427,Host,JUNE,1.1371,1.21,1.1953
234,ACR-414,Sym,JUNE,1.1526,1.1727,1.1663
164,ACR-415,Sym,JUNE,1.1511,1.1771,1.166
233,ACR-416,Sym,JUNE,1.1561,1.1785,1.1703
185,ACR-417,Sym,JUNE,1.1314,1.1385,1.1444
168,ACR-418,Sym,JUNE,1.1208,1.1421,1.1359
246,ACR-420,Sym,JUNE,1.1535,1.1704,1.1662
118,ACR-421,Sym,JUNE,1.1216,1.1378,1.1339
112,ACR-422,Sym,JUNE,1.134,1.1503,1.1462
10,ACR-423,Sym,JUNE,1.1583,1.1774,1.1717
155,ACR-424,Sym,JUNE,1.1299,1.1462,1.1421
125,ACR-425,Sym,JUNE,1.147,1.1623,1.1592
128,ACR-426,Sym,JUNE,1.1483,1.1684,1.1614
127,ACR-427,Sym,JUNE,1.1333,1.1559,1.1475
272,ACR-428,Sym,JUNE,1.1222,1.141,1.1352
283,ACR-429,Sym,JUNE,1.1275,1.1562,1.142
13,ACR-430,Sym,JUNE,1.1411,1.1614,1.1549
186,ACR-431,Sym,JUNE,1.1459,1.1669,1.1587
238,ACR-432,Sym,JUNE,1.1492,1.1658,1.1612
35,ACR-433,Sym,JUNE,1.1322,1.1454,1.1438
289,ACR-434,Sym,JUNE,1.1317,1.1472,1.1443
213,ACR-435,Sym,JUNE,1.1169,1.1414,1.13
106,ACR-436,Sym,JUNE,1.1402,1.1675,1.159
74,ACR-437,Sym,JUNE,1.1443,1.169,1.1586
79,ACR-438,Sym,JUNE,1.1548,1.18,1.1684
144,ACR-439,Sym,JUNE,1.1503,1.1731,1.1632
202,ACR-446,Sym,JUNE,1.1419,1.16,1.1547
188,ACR-447,Sym,JUNE,1.1266,1.1485,1.1411
199,ACR-448,Sym,JUNE,1.1313,1.1503,1.1439
148,ACR-449,Sym,JUNE,1.1326,1.1548,1.1467
4,ACR-451,Sym,JUNE,1.139,1.153,1.1507
218,ACR-456,Sym,JUNE,1.1666,1.2068,1.1833
49,ACR-457,Sym,JUNE,1.1404,1.1572,1.1532
263,ACR-458,Sym,JUNE,1.159,1.1834,1.1725
231,ACR-459,Sym,JUNE,1.1462,1.1632,1.1582
86,ACR-460,Sym,JUNE,1.1481,1.1808,1.1654
196,ACR-461,Sym,JUNE,1.1485,1.1733,1.1662
197,ACR-462,Sym,JUNE,1.1531,1.1786,1.1681
305,ACR-463,Sym,JUNE,1.128,1.1442,1.1408
217,ACR-464,Sym,JUNE,1.1498,1.1731,1.1631
139,ACR-465,Sym,JUNE,1.1366,1.156,1.1501
