well,colony_id
A1,BK
A2,BK
A3,ACR-414
A4,ACR-414
A5,ACR-415
A6,ACR-415
A7,ACR-416
A8,ACR-416
A9,ACR-417
A10,ACR-417
A11,ACR-461
A12,ACR-461
B1,ACR-420
B2,ACR-420
B3,ACR-421
B4,ACR-421
B5,ACR-422
B6,ACR-422
B7,ACR-448
B8,ACR-448
B9,ACR-424
B10,ACR-424
B11,ACR-425
B12,ACR-425
C1,ACR-426
C2,ACR-426
C3,ACR-427
C4,ACR-427
C5,ACR-428
C6,ACR-428
C7,ACR-429
C8,ACR-429
C9,ACR-449
C10,ACR-449
C11,ACR-431
C12,ACR-431
D1,ACR-432
D2,ACR-432
D3,ACR-439
D4,ACR-439
D5,ACR-447
D6,ACR-447
D7,ACR-430
D8,ACR-430
D9,ACR-446
D10,ACR-446
D11,ACR-456
D12,ACR-456
E1,ACR-460
E2,ACR-460
E3,ACR-451
E4,ACR-451
E5,ACR-463
E6,ACR-463
E7,ACR-457
E8,ACR-457
E9,ACR-433
E10,ACR-433
E11,ACR-458
E12,ACR-458
F1,ACR-459
F2,ACR-459
F3,ACR-418
F4,ACR-418
F5,ACR-462
F6,ACR-462
F7,ACR-464
F8,ACR-464
F9,ACR-465
F10,ACR-465
F11,ACR-434
F12,ACR-434
G1,ACR-423
G2,ACR-423
G3,ACR-435
G4,ACR-435
G5,ACR-436
G6,ACR-436
G7,ACR-437
G8,ACR-437
G9,ACR-438
G10,ACR-438
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
