colony_id,Sample,Diameter,weight1.g,weight2.g,Notes
1,Standard,7.44,140.1,144.321,
2,Standard,6.22,90.39,94.226,
3,Standard,5.08,44.092,46.408,
4,Standard,3.16,12.281,12.966,
5,Standard,2.52,6.284,6.691,
6,Standard,1.9,2.708,2.899,
7,Standard,1.18,0.537,0.588,
ACR-427,Coral,NA,1.559,2,
ACR-437,Coral,NA,1.787,2.145,
ACR-460,Coral,NA,4.619,5.425,
ACR-424,Coral,NA,1.088,1.332,
ACR-428,Coral,NA,0.852,1.077,
ACR-449,Coral,NA,1.085,1.404,
ACR-429,Coral,NA,1.956,2.515,
ACR-462,Coral,NA,2.427,3.041,
ACR-451,Coral,NA,0.469,0.624,
ACR-438,Coral,NA,1.519,1.969,
ACR-433,Coral,NA,0.384,0.557,
ACR-414,Coral,NA,1.253,1.611,
ACR-461,Coral,NA,3.664,4.08,
ACR-417,Coral,NA,1.619,1.939,
ACR-439,Coral,NA,3.889,4.306,
ACR-435,Coral,NA,2.261,3.846,
ACR-432,Coral,NA,0.487,0.738,
ACR-418,Coral,NA,0.82,1.108,
ACR-421,Coral,NA,0.846,1.044,
ACR-459,Coral,NA,1.281,1.503,
ACR-446,Coral,NA,1.015,1.305,
ACR-431,Coral,NA,1.66,2.008,
ACR-463,Coral,NA,0.527,0.725,
ACR-415,Coral,NA,2.085,2.599,
ACR-458,Coral,NA,1.62,2.073,
ACR-426,Coral,NA,1.444,1.761,
ACR-465,Coral,NA,0.83,1.125,
ACR-457,Coral,NA,0.671,0.891,
ACR-448,Coral,NA,1.476,1.793,
ACR-464,Coral,NA,1.815,2.158,
ACR-416,Coral,NA,1.14,1.515,
ACR-425,Coral,NA,0.876,1.021,
ACR-436,Coral,NA,4.28,4.941,
ACR-422,Coral,NA,1.293,1.48,
ACR-420,Coral,NA,0.8,1.053,
ACR-447,Coral,NA,1.216,1.513,
ACR-430,Coral,NA,0.822,1.072,
ACR-423,Coral,NA,3.945,4.284,
ACR-456,Coral,NA,4.764,5.491,
ACR-434,Coral,NA,0.999,1.366,
