colony_id,timepoint,Squares.Counted,Count1,Count2,Count3,Count4,Count5,Count6,Count7,Count8,Dilution,Counter,Date.Counted,Average Per Square,Std.Dev. Per square,CV
ACR-414,June,1,182,189,146,159,160,166,,,,Janya,,167,15.89968553,9.520769779
ACR-415,June,1,109,89,90,105,93,96,,,,Janya,,97,8.221921916,8.476208161
ACR-416,June,1,165,183,188,166,170,200,,,,Janya,,178.6666667,14.02378931,7.849135809
ACR-417,June,1,309,297,267,276,282,269,,,,Janya,,283.3333333,16.57307053,5.849319009
ACR-418,June,1,320,300,287,296,274,311,,,,Janya,,298,16.48029126,5.53029908
ACR-420,June,1,252,239,224,219,222,245,,,,Janya,,233.5,13.69306394,5.864267211
ACR-421,June,1,200,217,187,180,226,230,,,,Janya,,206.6666667,20.81986231,10.07412692
ACR-422,June,1,167,189,177,166,172,183,,,,Janya,,175.6666667,9.114091653,5.188287469
ACR-423,June,1,190,191,172,176,198,184,,,,Janya,,185.1666667,9.806460456,5.296018248
ACR-424,June,1,165,185,175,188,197,150,,,,Janya,,176.6666667,17.09580845,9.676872709
ACR-425,June,1,219,225,204,203,218,199,,,,Janya,,211.3333333,10.63328109,5.031521019
ACR-426,June,1,208,236,210,205,240,224,,,,Janya,,220.5,15.09635718,6.846420488
ACR-427,June,1,157,170,164,187,172,171,,,,Janya,,170.1666667,9.98832652,5.869731549
ACR-428,June,1,237,240,222,230,246,225,,,,Janya,,233.3333333,9.244818369,3.962065015
ACR-429,June,1,333,269,315,303,291,284,,,,Janya,,299.1666667,22.87720845,7.646977756
ACR-430,June,1,226,267,236,261,288,245,,,,Janya,,253.8333333,22.63993522,8.919212824
ACR-431,June,1,309,278,286,279,281,292,,,,Janya,,287.5,11.74308307,4.084550633
ACR-432,June,1,165,171,181,190,163,166,,,,Janya,,172.6666667,10.67083252,6.180018834
ACR-433,June,1,216,220,244,218,199,233,,,,Janya,,221.6666667,15.42292666,6.957711274
ACR-434,June,1,169,175,151,149,152,178,,,,Janya,,162.3333333,13.1402689,8.094621497
ACR-435,June,1,193,187,179,159,143,160,177,,,Janya,,171.1428571,17.74287248,10.36728776
ACR-436,June,2,159,131,180,171,164,176,,,,Janya,,81.75,8.836005885,10.80856989
ACR-437,June,1,132,143,107,110,133,126,113,136,,Janya,,125,13.37374827,10.69899862
ACR-438,June,1,224,198,210,225,230,190,,,,Janya,,212.8333333,16.22857562,7.625015953
ACR-439,June,1,229,216,202,217,233,224,,,,Janya,,220.1666667,11.08903362,5.036654181
ACR-446,June,1,232,265,244,234,227,211,,,,Janya,,235.5,18.05270063,7.665690288
ACR-447,June,1,206,233,216,218,240,200,,,,Janya,,218.8333333,15.3416644,7.01066157
ACR-448,June,1,221,222,228,230,228,234,,,,Janya,,227.1666667,4.915960401,2.164032458
ACR-449,June,1,203,217,225,247,212,199,,,,Janya,,217.1666667,17.37143249,7.999124706
ACR-451,June,1,161,154,181,170,144,173,,,,Janya,,163.8333333,13.52651717,8.256266836
ACR-456,June,1,214,196,201,197,174,236,,,,Janya,,203,20.68816087,10.19121225
ACR-457,June,1,188,171,179,172,173,150,,,,Janya,,172.1666667,12.57643299,7.304801347
ACR-458,June,1,201,233,236,203,188,203,,,,Janya,,210.6666667,19.31493377,9.168481221
ACR-459,June,1,307,321,322,317,368,336,,,,Janya,,328.5,21.49185892,6.542422808
ACR-460,June,1,326,315,333,320,345,318,,,,Janya,,326.1666667,11.23239363,3.443758906
ACR-461,June,1,156,144,170,134,166,152,,,,Janya,,153.6666667,13.47095641,8.766349075
ACR-462,June,1,167,210,189,177,195,180,,,,Janya,,186.3333333,15.1217283,8.11541769
ACR-463,June,1,216,220,215,213,197,223,,,,Janya,,214,9.077444574,4.24179653
ACR-464,June,1,276,254,243,250,264,253,,,,Janya,,256.6666667,11.65618577,4.541371079
ACR-465,June,1,244,237,218,249,212,211,,,,,,228.5,16.86119806,7.379080114
