colony_id,partner,species,AFDW.mg.cm2,timepoint,DW.mg.cm2
ACR-414,Host,Acropora,0.6641425581485153,JUN,18.957737361958586
ACR-414,Sym,Acropora,0.361745733800055,JUN,1.1361076952157656
ACR-415,Host,Acropora,0.8622527617250675,JUN,16.1536101257886
ACR-415,Sym,Acropora,0.4939873886528141,JUN,1.1570875770245992
ACR-416,Host,Acropora,0.8812537387112874,JUN,35.28309361345026
ACR-416,Sym,Acropora,0.5402826659762733,JUN,14.171438626877563
ACR-417,Host,Acropora,0.7865412747073005,JUN,19.89495651197154
ACR-417,Sym,Acropora,-0.3569687323671632,JUN,0.4295725423401508
ACR-418,Host,Acropora,0.5627766183992446,JUN,23.041682690459822
ACR-418,Sym,Acropora,0.3987674324657377,JUN,1.369959082503256
ACR-420,Host,Acropora,0.5785489096761058,JUN,22.56513448903933
ACR-420,Sym,Acropora,0.29013796067341135,JUN,1.1674598893762986
ACR-421,Host,Acropora,1.4218713507736966,JUN,85.62304055814029
ACR-421,Sym,Acropora,0.457344187052992,JUN,45.74223655465123
ACR-422,Host,Acropora,0.6323109431907232,JUN,25.900660634889057
ACR-422,Sym,Acropora,0.3292031577246995,JUN,1.308783285588458
ACR-423,Host,Acropora,2.465660258027198,JUN,65.9335817146528
ACR-423,Sym,Acropora,0.49970714562684565,JUN,35.5230412996485
ACR-424,Host,Acropora,0.4929506207339685,JUN,22.170454167509874
ACR-424,Sym,Acropora,0.28872822071562043,JUN,1.1478707311376646
ACR-425,Host,Acropora,0.48129139908260055,JUN,28.405146804461488
ACR-425,Sym,Acropora,0.2775820162150952,JUN,1.3700015639002714
ACR-426,Host,Acropora,0.7833333763095436,JUN,20.82145745301271
ACR-426,Sym,Acropora,0.42588999100326247,JUN,1.2229126884522052
ACR-427,Host,Acropora,1.36217089859695,JUN,55.927462944118076
ACR-427,Sym,Acropora,0.6227066965014667,JUN,29.679881474917256
ACR-428,Host,Acropora,0.5415530131566082,JUN,24.51858319904926
ACR-428,Sym,Acropora,0.42589931882146254,JUN,1.3805012403178323
ACR-429,Host,Acropora,1.1688344936976411,JUN,15.67286503611962
ACR-429,Sym,Acropora,0.5954242084486615,JUN,1.2034278015828566
ACR-430,Host,Acropora,0.747359052176666,JUN,23.409718776203437
ACR-430,Sym,Acropora,0.45189151992076976,JUN,1.4112919775987212
ACR-431,Host,Acropora,1.2251456281411595,JUN,38.28148698635461
ACR-431,Sym,Acropora,0.5659827690567684,JUN,14.631574877302816
ACR-432,Host,Acropora,0.47694656156573545,JUN,22.081758624927183
ACR-432,Sym,Acropora,0.3191206084657985,JUN,1.1516091522896326
ACR-433,Host,Acropora,0.446966843196485,JUN,26.739011800897917
ACR-433,Sym,Acropora,0.13305059518407056,JUN,1.0976674102685406
ACR-434,Host,Acropora,0.5982974446893297,JUN,18.91037342040189
ACR-434,Sym,Acropora,0.16140117112549093,JUN,0.8626614318776568
ACR-435,Host,Acropora,0.8729151587403912,JUN,35.21330704605837
ACR-435,Sym,Acropora,0.41248633407836843,JUN,21.092886706226597
ACR-436,Host,Acropora,1.8838445454030297,JUN,42.83070030275385
ACR-436,Sym,Acropora,0.47269900032252743,JUN,22.65433130565368
ACR-437,Host,Acropora,2.105473216258035,JUN,107.64479105242107
ACR-437,Sym,Acropora,1.175673634850141,JUN,67.47123163079895
ACR-438,Host,Acropora,1.4809912379600527,JUN,55.35494246047679
ACR-438,Sym,Acropora,0.8483702893993247,JUN,29.995252990716594
ACR-439,Host,Acropora,0.7846502408939467,JUN,33.69124024544331
ACR-439,Sym,Acropora,0.6092578341058763,JUN,13.201612092217077
ACR-446,Host,Acropora,0.9129249661987038,JUN,71.31305365347389
ACR-446,Sym,Acropora,0.5093160337739897,JUN,38.31722261638182
ACR-447,Host,Acropora,1.8129592979110316,JUN,72.215027092738
ACR-447,Sym,Acropora,0.7014849048126225,JUN,37.67479513549992
ACR-448,Host,Acropora,0.851779982006498,JUN,20.91119855825983
ACR-448,Sym,Acropora,0.3893851346315589,JUN,1.155987118437415
ACR-449,Host,Acropora,1.5797916531110399,JUN,68.84860832210417
ACR-449,Sym,Acropora,0.7364784109467195,JUN,36.345058041453264
ACR-451,Host,Acropora,0.3703972614430775,JUN,27.53141056232137
ACR-451,Sym,Acropora,0.2004502826633057,JUN,1.2201321553418785
ACR-456,Host,Acropora,1.8171660368238987,JUN,40.73038635705228
ACR-456,Sym,Acropora,1.2157552132487346,JUN,22.19744837579817
ACR-457,Host,Acropora,0.4548798613575332,JUN,23.88769100500442
ACR-457,Sym,Acropora,0.2970643992539026,JUN,1.2476704768663842
ACR-458,Host,Acropora,1.1042723908560936,JUN,46.81750891386732
ACR-458,Sym,Acropora,0.7407119421742386,JUN,24.16099451747399
ACR-459,Host,Acropora,1.2568058730057838,JUN,24.126976273849095
ACR-459,Sym,Acropora,0.3696487861781775,JUN,1.2568058730057672
ACR-460,Host,Acropora,2.3317580498215342,JUN,62.35105108785634
ACR-460,Sym,Acropora,0.9804525315290682,JUN,38.629193084757084
ACR-461,Host,Acropora,1.784934260914065,JUN,96.26831055554406
ACR-461,Sym,Acropora,0.7293832087764093,JUN,61.540424115141036
ACR-462,Host,Acropora,1.476020976392703,JUN,46.09297743592882
ACR-462,Sym,Acropora,0.6168445871491938,JUN,24.078479503448932
ACR-463,Host,Acropora,0.342030909120834,JUN,25.058161633361113
ACR-463,Sym,Acropora,0.26580687794533825,JUN,1.2664915949160143
ACR-464,Host,Acropora,1.1402845966697606,JUN,38.53175430985825
ACR-464,Sym,Acropora,0.6963570055998484,JUN,14.967033240359388
ACR-465,Host,Acropora,0.5551214282946579,JUN,21.199294315961048
ACR-465,Sym,Acropora,0.3743104487929689,JUN,1.230783509590428
