colony_id,prot_ug,prot_ug.cm2,timepoint
ACR-414,7528.260676876787,425.5181535616897,JUNE
ACR-415,9559.20998336198,425.4170429968332,JUNE
ACR-416,8803.897720450583,483.39363123856106,JUNE
ACR-417,9737.784595170451,589.166885254657,JUNE
ACR-418,7019.629176274902,451.4837908846341,JUNE
ACR-420,7453.911281512237,514.9196710139024,JUNE
ACR-421,5954.261027009148,465.4951570767272,JUNE
ACR-422,4940.810147800032,396.71470789610066,JUNE
ACR-423,9736.798981421834,569.0699446255732,JUNE
ACR-424,8925.677272309003,628.5597359793892,JUNE
ACR-425,4497.829916837231,402.74732158329397,JUNE
ACR-426,7004.524024966572,426.1652391392999,JUNE
ACR-427,9922.501693012628,490.3816071655659,JUNE
ACR-428,5104.155980560625,374.802854358492,JUNE
ACR-429,10933.772261735021,458.4670911479937,JUNE
ACR-430,8425.232656435966,585.7371062773818,JUNE
ACR-431,7934.85645733765,456.4016290438932,JUNE
ACR-432,5085.462551958837,352.79910954590406,JUNE
ACR-433,3482.5111232773793,289.59386105449255,JUNE
ACR-434,6029.197115838042,335.5584398078362,JUNE
ACR-435,14300.40561935652,258.7158723579838,JUNE
ACR-436,17704.36528776193,656.3792763035326,JUNE
ACR-437,10513.543407741608,594.2546054487672,JUNE
ACR-438,10673.59570924421,520.4115793553433,JUNE
ACR-439,9603.239387775915,492.49569274383487,JUNE
ACR-446,6677.638708915003,427.80232228935745,JUNE
ACR-447,7895.74948895763,498.98640348520826,JUNE
ACR-448,8616.423937146617,524.235530438801,JUNE
ACR-449,7860.438414663442,476.4644603272377,JUNE
ACR-451,3951.3755883559134,344.3714580847128,JUNE
ACR-456,15623.683476835216,538.853181194625,JUNE
ACR-457,4489.447360973886,333.41374581743116,JUNE
ACR-458,10329.70504372882,501.39815760337405,JUNE
ACR-459,8167.441461858314,603.8169645114351,JUNE
ACR-460,22778.496948845142,725.1050324000732,JUNE
ACR-461,11727.668036567584,602.3918411250752,JUNE
ACR-462,11169.212342266823,437.4392492728375,JUNE
ACR-463,6597.856182699841,515.8104567811047,JUNE
ACR-464,9846.474860282851,571.3884791183955,JUNE
ACR-465,7891.558879889124,500.6598213571913,JUNE
