Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\gump\Desktop\Putnam\Gametogenesis_Project_2022\Chlorophyll_2022\March2022\20220318_March_ACR_CHL.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,3/18/22,,,,,,,,,,,,,
Time,10:08:42 AM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,22.4,,,,,,,,,,,,,
Actual Temperature:,22.4,,,,,,,,,,,,,
Actual Temperature:,22.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.029,0.031,0.071,0.088,0.064,0.069,0.069,0.076,0.052,0.049,0.066,0.076,630
,,0.031,0.038,0.212,0.25,0.18,0.204,0.2,0.224,0.117,0.122,0.188,0.214,663
,,0.028,0.03,0.029,0.037,0.03,0.029,0.029,0.029,0.034,0.029,0.028,0.034,750
,B,0.054,0.062,0.057,0.06,0.06,0.067,0.048,0.055,0.061,0.064,0.072,0.079,630
,,0.14,0.177,0.145,0.162,0.163,0.185,0.117,0.134,0.161,0.179,0.217,0.243,663
,,0.028,0.028,0.031,0.029,0.029,0.031,0.028,0.031,0.029,0.028,0.029,0.029,750
,C,0.065,0.073,0.067,0.092,0.054,0.057,0.059,0.069,0.059,0.211,0.048,0.053,630
,,0.172,0.196,0.166,0.236,0.132,0.147,0.16,0.186,0.152,0.326,0.1,0.11,663
,,0.029,0.031,0.03,0.046,0.032,0.032,0.028,0.033,0.031,0.166,0.033,0.036,750
,D,0.051,0.054,0.054,0.054,0.067,0.081,0.092,0.087,0.076,0.076,0.05,0.055,630
,,0.121,0.135,0.132,0.143,0.179,0.213,0.242,0.256,0.21,0.224,0.131,0.147,663
,,0.031,0.032,0.031,0.029,0.033,0.04,0.043,0.033,0.033,0.029,0.028,0.03,750
,E,0.063,0.086,0.077,0.086,0.062,0.068,0.0804,0.0465,0.059,0.066,0.047,0.049,630
,,0.181,0.226,0.227,0.255,0.158,0.181,0.17,0.1714,0.155,0.176,0.111,0.118,663
,,0.029,0.044,0.03,0.034,0.035,0.035,0.0613,0.0322,0.032,0.035,0.028,0.029,750
,F,0.061,0.079,0.052,0.056,0.051,0.053,0.07,0.077,0.089,0.106,0.081,0.089,630
,,0.167,0.203,0.126,0.143,0.123,0.135,0.203,0.232,0.295,0.343,0.252,0.283,663
,,0.03,0.042,0.031,0.031,0.03,0.031,0.031,0.031,0.028,0.036,0.029,0.029,750
,G,0.075,0.081,0.075,0.081,0.075,0.081,0.076,0.079,0.078,0.089,0.029,0.03,630
,,0.215,0.244,0.22,0.24,0.223,0.251,0.217,0.237,0.232,0.268,0.029,0.03,663
,,0.033,0.032,0.03,0.031,0.03,0.03,0.032,0.03,0.031,0.033,0.029,0.03,750
,H,0.038,0.031,0.029,0.034,0.03,0.029,0.036,0.032,0.034,0.032,0.03,0.029,630
,,0.037,0.031,0.03,0.034,0.03,0.029,0.036,0.032,0.034,0.032,0.029,0.029,663
,,0.036,0.03,0.029,0.033,0.029,0.029,0.035,0.031,0.033,0.032,0.029,0.029,750
