well,colony_id
A1,BK
A2,BK
A3,ACR-462
A4,ACR-462
A5,ACR-427
A6,ACR-427
A7,ACR-414
A8,ACR-414
A9,ACR-434
A10,ACR-434
A11,ACR-433
A12,ACR-433
B1,ACR-429
B2,ACR-429
B3,ACR-449
B4,ACR-449
B5,ACR-415
B6,ACR-415
B7,ACR-459
B8,ACR-459
B9,ACR-416
B10,ACR-416
B11,ACR-425
B12,ACR-425
C1,ACR-420
C2,ACR-420
C3,ACR-417
C4,ACR-417
C5,ACR-424
C6,ACR-424
C7,ACR-418
C8,ACR-418
C9,ACR-465
C10,ACR-465
C11,ACR-460
C12,ACR-460
D1,ACR-422
D2,ACR-422
D3,ACR-463
D4,ACR-463
D5,ACR-436
D6,ACR-436
D7,ACR-461
D8,ACR-461
D9,ACR-456
D10,ACR-456
D11,ACR-448
D12,ACR-448
E1,ACR-446
E2,ACR-446
E3,ACR-457
E4,ACR-457
E5,ACR-421
E6,ACR-421
E7,ACR-451
E8,ACR-451
E9,ACR-464
E10,ACR-464
E11,ACR-423
E12,ACR-423
F1,ACR-435
F2,ACR-435
F3,ACR-431
F4,ACR-431
F5,ACR-439
F6,ACR-439
F7,ACR-426
F8,ACR-426
F9,ACR-437
F10,ACR-437
F11,ACR-428
F12,ACR-428
G1,ACR-447
G2,ACR-447
G3,ACR-430
G4,ACR-430
G5,ACR-458
G6,ACR-458
G7,ACR-438
G8,ACR-438
G9,ACR-432
G10,ACR-432
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
