colony_id,homog_vol_ml,note,date_airbrushed
ACR-462,7.5,,20220316
ACR-427,12,,20220316
ACR-414,7.5,,20220316
ACR-434,10,,20220316
ACR-433,12.5,,20220316
ACR-429,20,,20220316
ACR-449,18,,20220316
ACR-415,16,,20220316
ACR-430,13,,20220316
ACR-416,18,,20220316
ACR-425,10,,20220316
ACR-420,7.5,,20220316
ACR-417,7.5,2-frag,20220316
ACR-424,10,,20220316
ACR-418,9,3-frag,20220316
ACR-465,8,,20220316
ACR-460,10,,20220316
ACR-459,15,,20220316
ACR-463,10,,20220316
ACR-436,10,,20220316
ACR-461,20,,20220316
ACR-456,8,,20220316
ACR-448,12.5,,20220316
ACR-446,12.5,2-frag,20220316
ACR-457,9,,20220316
ACR-421,15,,20220316
ACR-422,7.5,,20220316
ACR-464,12,,20220316
ACR-423,16,,20220316
ACR-435,10,,20220316
ACR-431,7.5,,20220316
ACR-439,22.5,2-frag,20220316
ACR-426,15,,20220316
ACR-437,9,,20220316
ACR-428,12.5,,20220316
ACR-447,10,,20220316
ACR-432,37.5,,20220316
ACR-458,12,,20220316
ACR-438,10,,20220316
ACR-451,7.5,,20220316
