well,colony_id
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,ACR-448
B8,ACR-448
B9,ACR-436
B10,ACR-436
B11,ACR-418
B12,ACR-418
C1,ACR-458
C2,ACR-458
C3,ACR-435
C4,ACR-435
C5,ACR-464
C6,ACR-464
C7,ACR-451
C8,ACR-451
C9,ACR-430
C10,ACR-430
C11,ACR-420
C12,ACR-420
D1,ACR-428
D2,ACR-428
D3,ACR-426
D4,ACR-426
D5,ACR-423
D6,ACR-423
D7,ACR-433
D8,ACR-433
D9,ACR-460
D10,ACR-460
D11,ACR-431
D12,ACR-431
E1,ACR-422
E2,ACR-422
E3,ACR-457
E4,ACR-457
E5,ACR-421
E6,ACR-421
E7,ACR-432
E8,ACR-432
E9,ACR-447
E10,ACR-447
E11,NA
E12,NA
F1,NA
F2,NA
F3,NA
F4,NA
F5,NA
F6,NA
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,NA
G2,NA
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
