Well,562:562
A1,2.317
B1,0.268
C1,0.977
D1,1.087
E1,0.988
F1,0.045
G1,0.044
H1,0.045
A2,2.511
B2,0.28
C2,0.759
D2,1.075
E2,1.546
F2,0.044
G2,0.044
H2,0.044
A3,1.793
B3,0.089
C3,1.512
D3,1.659
E3,0.866
F3,0.044
G3,0.044
H3,0.044
A4,1.831
B4,0.089
C4,1.732
D4,1.711
E4,0.907
F4,0.044
G4,0.043
H4,0.045
A5,1.403
B5,0.109
C5,0.792
D5,1.272
E5,1.292
F5,0.043
G5,0.045
H5,0.045
A6,1.92
B6,0.114
C6,0.889
D6,1.583
E6,1.258
F6,0.045
G6,0.044
H6,0.044
A7,1.026
B7,1.185
C7,1.102
D7,1.13
E7,1.301
F7,0.045
G7,0.045
H7,0.043
A8,1.058
B8,1.606
C8,1.341
D8,1.466
E8,1.756
F8,0.046
G8,0.044
H8,0.043
A9,0.703
B9,1.213
C9,0.993
D9,1.044
E9,1.377
F9,0.045
G9,0.045
H9,0.044
A10,0.757
B10,1.575
C10,1.119
D10,1.051
E10,2.074
F10,0.045
G10,0.044
H10,0.052
A11,0.421
B11,1.448
C11,1.639
D11,1.362
E11,0.086
F11,0.048
G11,0.044
H11,0.044
A12,0.464
B12,1.601
C12,1.792
D12,1.427
E12,0.044
F12,0.045
G12,0.045
H12,0.044
