Pan.ID,colony_id,partner,timepoint,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g
243,ACR-414,Host,MAY,1.1433,1.1627,1.1597
295,ACR-415,Host,MAY,1.1563,1.2087,1.193
190,ACR-416,Host,MAY,1.1218,1.152,1.1427
130,ACR-417,Host,MAY,1.1352,1.1658,1.1592
132,ACR-418,Host,MAY,1.1397,1.1877,1.1804
216,ACR-420,Host,MAY,1.139,1.2025,1.1922
259,ACR-421,Host,MAY,1.1193,1.1415,1.1361
226,ACR-422,Host,MAY,1.138,1.1623,1.1563
268,ACR-423,Host,MAY,1.1415,1.1531,1.1511
135,ACR-424,Host,MAY,1.1318,1.1458,1.143
180,ACR-425,Host,MAY,1.1244,1.1464,1.1417
147,ACR-426,Host,MAY,1.1566,1.1899,1.1818
264,ACR-427,Host,MAY,1.1361,1.1975,1.1837
7,ACR-428,Host,MAY,1.14,1.183,1.1716
269,ACR-429,Host,MAY,1.1374,1.2017,1.1845
254,ACR-430,Host,MAY,1.1353,1.1924,1.1764
255,ACR-431,Host,MAY,1.1372,1.19,1.1752
274,ACR-432,Host,MAY,1.1411,1.2133,1.1979
241,ACR-433,Host,MAY,1.121,1.1611,1.1524
298,ACR-434,Host,MAY,1.1415,1.1739,1.1684
236,ACR-435,Host,MAY,1.1471,1.1844,1.178
242,ACR-436,Host,MAY,1.1332,1.187,1.1781
251,ACR-437,Host,MAY,1.1357,1.1707,1.1698
307,ACR-438,Host,MAY,1.1397,1.1633,1.1581
89,ACR-439,Host,MAY,1.149,1.177,1.1714
250,ACR-446,Host,MAY,1.121,1.1594,1.1481
247,ACR-447,Host,MAY,1.1332,1.1884,1.1753
227,ACR-448,Host,MAY,1.1408,1.1722,1.165
303,ACR-449,Host,MAY,1.1392,1.1921,1.1742
265,ACR-451,Host,MAY,1.1412,1.2048,1.1868
210,ACR-456,Host,MAY,1.1489,1.1678,1.1635
288,ACR-457,Host,MAY,1.1297,1.1861,1.1735
302,ACR-458,Host,MAY,1.1516,1.1807,1.1719
214,ACR-459,Host,MAY,1.1148,1.1388,1.1318
198,ACR-460,Host,MAY,1.1441,1.1755,1.1673
235,ACR-461,Host,MAY,1.1447,1.1576,1.1552
258,ACR-462,Host,MAY,1.12,1.1755,1.1676
165,ACR-463,Host,MAY,1.1438,1.1907,1.1771
262,ACR-464,Host,MAY,1.117,1.1328,1.1291
271,ACR-465,Host,MAY,1.1264,1.1729,1.1594
211,ACR-414,Sym,MAY,1.144,1.1582,1.1549
172,ACR-415,Sym,MAY,1.1392,1.1638,1.1523
245,ACR-416,Sym,MAY,1.1601,1.1768,1.1721
244,ACR-417,Sym,MAY,1.146,1.1627,1.159
310,ACR-418,Sym,MAY,1.1358,1.1489,1.1462
162,ACR-420,Sym,MAY,1.1348,1.1509,1.1471
41,ACR-421,Sym,MAY,1.1385,1.1542,1.1497
206,ACR-422,Sym,MAY,1.1445,1.1609,1.156
281,ACR-423,Sym,MAY,1.1269,1.1582,1.1372
225,ACR-424,Sym,MAY,1.1563,1.1679,1.1669
182,ACR-425,Sym,MAY,1.1339,1.1485,1.1445
256,ACR-426,Sym,MAY,1.1567,1.1736,1.1685
220,ACR-427,Sym,MAY,1.1556,1.1791,1.1694
290,ACR-428,Sym,MAY,1.1178,1.1375,1.13
228,ACR-429,Sym,MAY,1.1355,1.156,1.1475
163,ACR-430,Sym,MAY,1.1466,1.1712,1.1615
208,ACR-431,Sym,MAY,1.1527,1.1846,1.1763
126,ACR-432,Sym,MAY,1.1416,1.1722,1.1565
291,ACR-433,Sym,MAY,1.1258,1.143,1.1377
300,ACR-434,Sym,MAY,1.1497,1.1661,1.1609
304,ACR-435,Sym,MAY,1.133,1.1501,1.1438
230,ACR-436,Sym,MAY,1.1361,1.1522,1.1486
207,ACR-437,Sym,MAY,1.1327,1.1497,1.1451
81,ACR-438,Sym,MAY,1.14,1.1548,1.1515
170,ACR-439,Sym,MAY,1.1459,1.1624,1.1583
297,ACR-446,Sym,MAY,1.1432,1.162,1.1555
161,ACR-447,Sym,MAY,1.1518,1.1735,1.1639
284,ACR-448,Sym,MAY,1.153,1.1695,1.1651
273,ACR-449,Sym,MAY,1.1187,1.1441,1.1316
252,ACR-451,Sym,MAY,1.1186,1.1518,1.1529
237,ACR-456,Sym,MAY,1.1536,1.1684,1.1649
175,ACR-457,Sym,MAY,1.1148,1.1318,1.1264
150,ACR-458,Sym,MAY,1.1278,1.1474,1.1395
133,ACR-459,Sym,MAY,1.1222,1.14,1.1365
261,ACR-460,Sym,MAY,1.1556,1.1725,1.1688
309,ACR-461,Sym,MAY,1.1275,1.1397,1.1381
158,ACR-462,Sym,MAY,1.1529,1.171,1.1667
299,ACR-463,Sym,MAY,1.1374,1.1578,1.1504
229,ACR-464,Sym,MAY,1.1488,1.1634,1.1599
173,ACR-465,Sym,MAY,1.1517,1.172,1.1642
