Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\gump\Desktop\Putnam\Gametogenesis_Project_2022\Chlorophyll_2022\May2022\20220804_CHL.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,8/4/22,,,,,,,,,,,,,
Time,12:38:30 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,22.5,,,,,,,,,,,,,
Actual Temperature:,22.5,,,,,,,,,,,,,
Actual Temperature:,22.5,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.03,0.03,0.101,0.108,0.091,0.107,0.154,0.151,0.086,0.098,0.036,0.036,630
,,0.03,0.03,0.325,0.375,0.214,0.249,0.223,0.235,0.148,0.17,0.036,0.036,663
,,0.03,0.03,0.038,0.036,0.058,0.07,0.12,0.12,0.069,0.078,0.035,0.035,750
,B,0.078,0.113,0.1,0.132,0.091,0.112,0.111,0.126,0.083,0.096,0.092,0.1,630
,,0.145,0.186,0.211,0.255,0.212,0.257,0.339,0.387,0.174,0.199,0.201,0.217,663
,,0.06,0.09,0.063,0.092,0.053,0.068,0.04,0.044,0.061,0.073,0.066,0.071,750
,C,0.093,0.102,0.114,0.115,0.055,0.058,0.069,0.061,0.082,0.083,0.175,0.174,630
,,0.214,0.244,0.303,0.327,0.124,0.135,0.152,0.155,0.179,0.18,0.41,0.436,663
,,0.06,0.061,0.059,0.054,0.035,0.036,0.042,0.032,0.054,0.054,0.091,0.084,750
,D,0.073,0.077,0.075,0.082,0.082,0.096,0.052,0.056,0.089,0.102,0.066,0.081,630
,,0.197,0.217,0.215,0.238,0.229,0.258,0.108,0.117,0.277,0.307,0.139,0.162,663
,,0.036,0.035,0.033,0.034,0.036,0.044,0.035,0.036,0.034,0.041,0.044,0.058,750
,E,0.083,0.083,0.11,0.114,0.164,0.264,0.214,0.284,0.176,0.189,0.092,0.095,630
,,0.217,0.231,0.337,0.367,0.429,0.564,0.526,0.634,0.26,0.28,0.281,0.301,663
,,0.044,0.037,0.043,0.041,0.074,0.164,0.102,0.164,0.153,0.162,0.035,0.032,750
,F,0.066,0.065,0.124,0.13,0.176,0.182,0.068,0.068,0.092,0.093,0.186,0.179,630
,,0.141,0.15,0.422,0.452,0.296,0.311,0.175,0.187,0.221,0.234,0.311,0.313,663
,,0.04,0.036,0.04,0.038,0.145,0.149,0.035,0.032,0.055,0.053,0.152,0.143,750
,G,0.179,0.117,0.145,0.159,0.109,0.113,0.071,0.072,0.137,0.133,0.07,0.074,630
,,0.236,0.183,0.341,0.373,0.346,0.379,0.191,0.205,0.429,0.456,0.181,0.194,663
,,0.159,0.097,0.086,0.097,0.038,0.034,0.035,0.032,0.045,0.032,0.033,0.034,750
,H,0.031,0.038,0.036,0.03,0.03,0.035,0.033,0.034,0.032,0.037,0.033,0.031,630
,,0.03,0.037,0.036,0.03,0.03,0.035,0.032,0.034,0.032,0.037,0.033,0.031,663
,,0.03,0.036,0.035,0.03,0.03,0.034,0.032,0.033,0.031,0.036,0.032,0.03,750
