well,colony_id
A1,BK
A2,BK
A3,BK
A4,BK
A5,ACR-463
A6,ACR-463
A7,ACR-439
A8,ACR-439
A9,ACR-414
A10,ACR-414
A11,ACR-461
A12,ACR-461
B1,ACR-462
B2,ACR-462
B3,ACR-464
B4,ACR-464
B5,ACR-465
B6,ACR-465
B7,ACR-415
B8,ACR-415
B9,ACR-427
B10,ACR-427
B11,ACR-426
B12,ACR-426
C1,ACR-438
C2,ACR-438
C3,ACR-416
C4,ACR-416
C5,ACR-417
C6,ACR-417
C7,ACR-418
C8,ACR-418
C9,ACR-420
C10,ACR-420
C11,ACR-428
C12,ACR-428
D1,ACR-421
D2,ACR-421
D3,ACR-429
D4,ACR-429
D5,ACR-422
D6,ACR-422
D7,ACR-423
D8,ACR-423
D9,ACR-430
D10,ACR-430
D11,ACR-424
D12,ACR-424
E1,ACR-425
E2,ACR-425
E3,ACR-431
E4,ACR-431
E5,ACR-432
E6,ACR-432
E7,ACR-451
E8,ACR-451
E9,ACR-456
E10,ACR-456
E11,ACR-433
E12,ACR-433
F1,ACR-457
F2,ACR-457
F3,ACR-458
F4,ACR-458
F5,ACR-459
F6,ACR-459
F7,ACR-434
F8,ACR-434
F9,ACR-460
F10,ACR-460
F11,ACR-435
F12,ACR-435
G1,ACR-436
G2,ACR-436
G3,ACR-437
G4,ACR-437
G5,ACR-447
G6,ACR-447
G7,ACR-448
G8,ACR-448
G9,ACR-449
G10,ACR-449
G11,ACR-446
G12,ACR-446
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
