colony_id,Sample,Diameter,weight1.g,weight2.g,Notes
1,Standard,7.44,140.1,144.321,
2,Standard,6.22,90.39,94.226,
3,Standard,5.08,44.092,46.408,
4,Standard,3.16,12.281,12.966,
5,Standard,2.52,6.284,6.691,
6,Standard,1.9,2.708,2.899,
7,Standard,1.18,0.537,0.588,
ACR-451,Coral,NA,8.263,9.137,
ACR-420,Coral,NA,3.11,3.567,
ACR-436,Coral,NA,0.728,0.958,
ACR-425,Coral,NA,1.072,1.257,
ACR-464,Coral,NA,1.453,1.643,
ACR-461,Coral,NA,0.274,0.388,
ACR-417,Coral,NA,0.566,0.781,
ACR-448,Coral,NA,1.277,1.517,
ACR-429,Coral,NA,2.33,2.666,
ACR-439,Coral,NA,1.213,1.406,
ACR-446,Coral,NA,2.078,2.479,
ACR-463,Coral,NA,1.23,1.656,
ACR-426,Coral,NA,1.215,1.45,
ACR-424,Coral,NA,0.246,0.353,
ACR-421,Coral,NA,0.993,1.252,
ACR-447,Coral,NA,1.189,1.56,
ACR-462,Coral,NA,1.557,1.817,
ACR-435,Coral,NA,0.845,1.076,
ACR-414,Coral,NA,0.553,0.809,
ACR-415,Coral,NA,2.367,2.774,
ACR-457,Coral,NA,1.567,1.848,
ACR-418,Coral,NA,3.655,4.256,
ACR-422,Coral,NA,2.652,2.896,
ACR-427,Coral,NA,4.64,5.278,
ACR-432,Coral,NA,1.3,1.815,
ACR-431,Coral,NA,1.053,2.364,
ACR-434,Coral,NA,1.094,1.366,
ACR-416,Coral,NA,1.178,1.435,
ACR-437,Coral,NA,0.566,0.738,
ACR-423,Coral,NA,0.298,0.399,
ACR-438,Coral,NA,0.387,0.575,
ACR-430,Coral,NA,2.012,2.576,
ACR-456,Coral,NA,0.608,0.81,
ACR-460,Coral,NA,1.031,1.357,
ACR-449,Coral,NA,2.806,3.335,
ACR-458,Coral,NA,1.673,2.06,
ACR-465,Coral,NA,2.998,3.48,
ACR-428,Coral,NA,1.247,1.688,
ACR-459,Coral,NA,0.683,0.941,
ACR-433,Coral,NA,1.849,2.304,
