colony_id,timepoint,Squares.Counted,Count1,Count2,Count3,Count4,Count5,Count6,Count7,Count8,Dilution,Counter,Date.Counted,Average Per Square,Std.Dev. Per square,CV
ACR-465,May,1,139,144,134,155,132,136,,,,,,140,8.461678321,6.044055943
ACR-464,May,1,154,178,182,181,170,177,,,,Janya,,173.6666667,10.51982256,6.0574794
ACR-463,May,1,271,266,260,257,272,263,,,,Janya,,264.8333333,5.980523946,2.258221754
ACR-462,May,1,101,88,111,84,90,93,,,,Janya,,94.5,9.894442885,10.47030993
ACR-461,May,1,141,123,114,139,133,145,,,,Janya,,132.5,11.86170308,8.952228741
ACR-460,May,1,125,149,138,147,126,133,,,,Janya,,136.3333333,10.23067284,7.504161004
ACR-459,May,1,203,222,188,234,197,200,,,,Janya,20220730,207.3333333,17.20077518,8.296193815
ACR-458,May,1,233,240,228,234,246,229,,,,Janya,20220730,235,6.870225615,2.923500262
ACR-457,May,1,99,101,76,90,79,79,85,91,,Janya,,87.5,9.38083152,10.72095031
ACR-456,May,1,108,97,89,85,101,91,,,,Janya,20220730,95.16666667,8.495096625,8.926546366
ACR-451,May,1,119,131,128,107,116,138,,,,Janya,20220730,123.1666667,11.26794865,9.148537466
ACR-449,May,1,210,224,193,194,200,195,,,,Janya,,202.6666667,12.19289411,6.016230644
ACR-448,May,1,127,154,161,136,142,129,,,,Janya,,141.5,13.66382084,9.656410489
ACR-447,May,2,208,184,212,199,187,191,,,,Janya,,98.41666667,5.722033438,5.814089861
ACR-446,May,1,128,130,132,131,144,124,,,,Janya,,131.5,6.745368782,5.129558009
ACR-439,May,1,173,182,188,168,190,165,,,,Janya,,177.6666667,10.51982256,5.921100877
ACR-438,May,2,106,101,105,102,113,103,,,,Janya,,52.5,2.167948339,4.129425407
ACR-437,May,1,140,134,135,156,138,143,,,,Janya,,141,8.049844719,5.70910973
ACR-436,May,2,132,130,151,156,127,142,,,,Janya,20220730,69.83333333,5.972157622,8.552015688
ACR-435,May,1,127,150,113,134,120,119,,,,Janya,,127.1666667,13.31790774,10.4727977
ACR-434,May,2,132,126,118,120,115,130,,,,Janya,,61.75,3.431471987,5.557039656
ACR-433,May,1,123,141,126,132,137,150,,,,Janya,20220730,134.8333333,9.98832652,7.407905948
ACR-432,May,1,138,144,131,143,140,139,,,,Janya,20220730,139.1666667,4.622409184,3.321491629
ACR-431,May,1,165,182,184,146,170,179,,,,Janya,,171,14.25482374,8.336154237
ACR-430,May,1,136,127,142,124,137,140,,,,Janya,20220730,134.3333333,7.229568913,5.381813087
ACR-429,May,1,167,130,121,146,135,151,147,,,Janya,,142.4285714,15.16418085,10.6468672
ACR-428,May,1,181,180,175,177,160,158,,,,Janya,,171.8333333,10.1865925,5.92818186
ACR-427,May,1,111,125,121,112,110,106,,,,Janya,,114.1666667,7.250287351,6.350616657
ACR-426,May,1,102,91,112,109,120,118,,,,Janya,,108.6666667,10.8012345,9.939786347
ACR-425,May,1,103,110,122,95,107,100,,,,Janya,20220730,106.1666667,9.368386556,8.824225956
ACR-424,May,2,150,137,146,139,133,129,,,,Janya,,69.5,3.937003937,5.664753866
ACR-423,May,2,124,109,123,94,98,115,111,,,Janya,,55.28571429,5.736267245,10.37567719
ACR-422,May,1,166,147,165,152,138,140,,,,Janya,20220730,151.3333333,12.06095629,7.969794906
ACR-421,May,1,178,173,157,181,180,149,,,,Janya,,169.6666667,13.4412301,7.92213955
ACR-420,May,1,107,103,88,90,76,97,102,100,,Janya,20220730,95.375,10.14097065,10.63273463
ACR-418,May,3,124,140,133,121,129,119,,,,Janya,20220730,42.55555556,2.647150809,6.220458821
ACR-417,May,1,101,88,80,82,93,97,,,,Janya,,90.16666667,8.328665359,9.236967127
ACR-416,May,1,126,149,143,150,137,134,,,,Janya,,139.8333333,9.28260021,6.638331497
ACR-415,May,1,208,218,190,195,211,189,,,,Janya,20220730,201.8333333,12.12298093,6.00643151
ACR-414,May,2,164,158,179,181,143,150,,,,Janya,20220730,81.25,7.659960835,9.427644105
