colony_id,prot_ug,prot_ug.cm2,timepoint
ACR-415,11369.790666402383,592.3975950559312,MAY
ACR-418,17031.53334187241,677.6025957230114,MAY
ACR-420,11473.157417265278,553.6084018262009,MAY
ACR-427,21960.84691647433,836.0213376178112,MAY
ACR-429,11693.251041959618,687.1054155671513,MAY
ACR-430,17190.958994593995,716.2394783352597,MAY
ACR-432,11040.790625763007,490.68351040176856,MAY
ACR-436,8398.3708067325515,609.8419011269079,MAY
ACR-449,17262.693241829125,752.8545039945094,MAY
ACR-451,28084.988880290715,838.4359322160755,MAY
ACR-457,7915.157146526784,516.2002189442984,MAY
ACR-462,7140.236465185076,486.0517751190537,MAY
