colony_id,prot_ug,prot_ug.cm2,timepoint
ACR-414,2507.2016621284138,172.10617763090397,MAY
ACR-415,4065.3390207978373,211.81542648134823,MAY
ACR-416,2460.30422263319,168.53256518270285,MAY
ACR-417,2319.0228244433047,174.20615275653896,MAY
ACR-418,6054.0576999914765,240.86176680790365,MAY
ACR-420,4349.668674722052,209.88233978753635,MAY
ACR-421,2729.8134582382,186.2127316055778,MAY
ACR-422,2681.7209417086524,188.8508575500773,MAY
ACR-423,1533.238215369779,156.13159682849152,MAY
ACR-424,1254.480771671956,125.39862028307249,MAY
ACR-425,1822.8487165525803,147.08629421137624,MAY
ACR-426,2407.30277793224,172.8820516378159,MAY
ACR-427,6014.327763686163,228.95776110059398,MAY
ACR-428,2710.1838483155643,133.9404469123988,MAY
ACR-429,4093.7008060887383,240.54935479293363,MAY
ACR-430,5898.453928122399,245.75159336901947,MAY
ACR-431,5474.917574021656,116.78071286658732,MAY
ACR-432,4773.939694408911,212.16718685280077,MAY
ACR-433,3044.4110122761376,147.33592100455263,MAY
ACR-434,2119.3384767680936,140.74655706597304,MAY
ACR-435,3079.420613526779,223.1137644138492,MAY
ACR-436,3179.039705380819,230.84377462033427,MAY
ACR-437,2313.6018932065235,192.88260119619935,MAY
ACR-438,1440.1937824540755,115.35443386016428,MAY
ACR-439,2584.123046026002,204.47095655616027,MAY
ACR-446,4257.936225037074,223.9951028155544,MAY
ACR-447,3923.3715443452434,216.87864293345052,MAY
ACR-448,2511.356838675001,178.3927213654867,MAY
ACR-449,5518.787614173907,240.68342371121804,MAY
ACR-451,8566.562242864908,255.74208452060194,MAY
ACR-456,2119.432832843395,164.12205278754553,MAY
ACR-457,2614.6898567299795,170.52137456395405,MAY
ACR-458,4257.940247798542,229.1649211250106,MAY
ACR-459,4198.633468729677,287.00715332781147,MAY
ACR-460,3273.5005811851534,195.87916967370163,MAY
ACR-461,1233.2310544557777,120.68786792964437,MAY
ACR-462,2566.927596008527,174.7364699650308,MAY
ACR-463,4579.37540198021,231.57631292598705,MAY
ACR-464,2397.4605568846755,191.09050579797736,MAY
ACR-465,7318.251285415681,340.54121137292043,MAY
