Software Version,3.05.11,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\gump\Desktop\Putnam\Gametogenesis_Project_2022\Chlorophyll_2022\October2022\20221115_CHL.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,11/15/22,,,,,,,,,,,,,
Time,10:45:05 AM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,24.4,,,,,,,,,,,,,
Actual Temperature:,24.4,,,,,,,,,,,,,
Actual Temperature:,24.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.064,0.071,0.067,0.071,0.068,0.073,0.063,0.072,0.074,0.078,0.066,0.074,630
,,0.176,0.205,0.179,0.205,0.177,0.192,0.16,0.181,0.211,0.229,0.184,0.209,663
,,0.03,0.032,0.03,0.032,0.038,0.037,0.033,0.038,0.031,0.031,0.03,0.042,750
,B,0.066,0.068,0.087,0.082,0.075,0.083,0.087,0.095,0.08,0.085,0.063,0.069,630
,,0.181,0.198,0.242,0.257,0.226,0.248,0.267,0.303,0.233,0.26,0.166,0.184,663
,,0.033,0.03,0.032,0.029,0.037,0.029,0.03,0.029,0.03,0.03,0.033,0.034,750
,C,0.087,0.082,0.063,0.064,0.069,0.073,0.077,0.084,0.061,0.064,0.054,0.057,630
,,0.242,0.257,0.165,0.174,0.199,0.217,0.235,0.262,0.16,0.173,0.136,0.146,663
,,0.032,0.029,0.03,0.028,0.029,0.028,0.029,0.03,0.031,0.032,0.029,0.029,750
,D,0.079,0.082,0.073,0.081,0.056,0.061,0.067,0.071,0.062,0.067,0.056,0.061,630
,,0.227,0.252,0.222,0.256,0.152,0.167,0.19,0.207,0.17,0.19,0.151,0.165,663
,,0.032,0.029,0.028,0.029,0.028,0.028,0.029,0.028,0.03,0.032,0.029,0.031,750
,E,0.077,0.084,0.074,0.079,0.064,0.069,0.072,0.077,0.103,0.112,0.068,0.074,630
,,0.235,0.259,0.22,0.242,0.185,0.206,0.179,0.2,0.344,0.387,0.187,0.205,663
,,0.029,0.031,0.03,0.03,0.028,0.029,0.041,0.039,0.029,0.028,0.031,0.033,750
,F,0.098,0.102,0.081,0.088,0.081,0.087,0.073,0.068,0.056,0.059,0.056,0.065,630
,,0.309,0.337,0.247,0.274,0.243,0.266,0.19,0.201,0.138,0.153,0.152,0.173,663
,,0.032,0.029,0.03,0.032,0.033,0.032,0.038,0.029,0.032,0.032,0.028,0.032,750
,G,0.09,0.102,0.065,0.071,0.064,0.067,0.065,0.071,0.114,0.128,0.029,0.028,630
,,0.299,0.346,0.182,0.207,0.171,0.187,0.178,0.202,0.392,0.443,0.029,0.028,663
,,0.029,0.032,0.028,0.028,0.031,0.032,0.03,0.032,0.029,0.032,0.029,0.028,750
,H,0.031,0.032,0.031,0.029,0.032,0.033,0.032,0.032,0.032,0.034,0.03,0.029,630
,,0.033,0.032,0.032,0.029,0.032,0.033,0.032,0.032,0.032,0.034,0.03,0.029,663
,,0.031,0.032,0.031,0.029,0.031,0.032,0.032,0.032,0.031,0.033,0.03,0.029,750
