colony_id,timepoint,homog_vol_ml,date_airbrushed,note
ACR-414,OCTOBER,12.5,20221105,
ACR-415,OCTOBER,15,20221105,
ACR-416,OCTOBER,17.5,20221105,
ACR-417,OCTOBER,25,20221105,
ACR-418,OCTOBER,20,20221105,
ACR-420,OCTOBER,15,20221105,
ACR-421,OCTOBER,22.5,20221105,
ACR-422,OCTOBER,25,20221105,
ACR-423,OCTOBER,12.5,20221105,
ACR-424,OCTOBER,17.5,20221105,
ACR-425,OCTOBER,29,20221105,
ACR-426,OCTOBER,15,20221105,
ACR-427,OCTOBER,15,20221105,
ACR-428,OCTOBER,17.5,20221105,
ACR-429,OCTOBER,27.5,20221105,
ACR-430,OCTOBER,25,20221105,
ACR-431,OCTOBER,20,20221105,
ACR-432,OCTOBER,20,20221105,
ACR-433,OCTOBER,22.5,20221105,
ACR-434,OCTOBER,22.5,20221105,
ACR-435,OCTOBER,11,20221105,
ACR-436,OCTOBER,15,20221105,
ACR-437,OCTOBER,17.5,20221105,
ACR-438,OCTOBER,12.5,20221105,
ACR-439,OCTOBER,30,20221105,
ACR-446,OCTOBER,20,20221105,
ACR-447,OCTOBER,10,20221105,
ACR-448,OCTOBER,12.5,20221105,
ACR-449,OCTOBER,31,20221105,
ACR-451,OCTOBER,10,20221105,
ACR-456,OCTOBER,12.5,20221105,
ACR-457,OCTOBER,15,20221105,
ACR-458,OCTOBER,22.5,20221105,
ACR-459,OCTOBER,12.5,20221105,
ACR-460,OCTOBER,12.5,20221105,
ACR-461,OCTOBER,12.5,20221105,
ACR-462,OCTOBER,15,20221105,
ACR-463,OCTOBER,17.5,20221105,
ACR-464,OCTOBER,10,20221105,
ACR-465,OCTOBER,17.5,20221105,
