Well,562:562
A1,2.311
B1,1.571
C1,0.082
D1,0.045
E1,0.046
F1,0.046
G1,0.045
H1,0.047
A2,2.344
B2,1.563
C2,0.082
D2,0.044
E2,0.046
F2,0.045
G2,0.044
H2,0.044
A3,1.843
B3,0.094
C3,0.045
D3,0.045
E3,0.046
F3,0.049
G3,0.047
H3,0.05
A4,1.566
B4,0.091
C4,0.046
D4,0.046
E4,0.047
F4,0.049
G4,0.044
H4,0.047
A5,1.142
B5,0.522
C5,0.045
D5,0.045
E5,0.047
F5,0.048
G5,0.044
H5,0.049
A6,1.194
B6,0.514
C6,0.047
D6,0.047
E6,0.047
F6,0.047
G6,0.044
H6,0.046
A7,0.874
B7,1.722
C7,0.045
D7,0.045
E7,0.045
F7,0.046
G7,0.049
H7,0.045
A8,0.935
B8,1.766
C8,0.047
D8,0.045
E8,0.045
F8,0.044
G8,0.045
H8,0.045
A9,1.228
B9,1.212
C9,0.044
D9,0.045
E9,0.045
F9,0.047
G9,0.046
H9,0.044
A10,1.251
B10,1.176
C10,0.043
D10,0.044
E10,0.045
F10,0.044
G10,0.046
H10,0.045
A11,0.212
B11,0.317
C11,0.044
D11,0.044
E11,0.044
F11,0.046
G11,0.047
H11,0.046
A12,0.21
B12,0.318
C12,0.047
D12,0.044
E12,0.045
F12,0.044
G12,0.04
H12,0.047
