well,colony_id
A1,StandardA
A2,StandardA
A3,StandardB
A4,StandardB
A5,StandardC
A6,StandardC
A7,StandardD
A8,StandardD
A9,StandardE
A10,StandardE
A11,StandardF
A12,StandardF
B1,StandardG
B2,StandardG
B3,StandardH
B4,StandardH
B5,StandardI
B6,StandardI
B7,ACR-414
B8,ACR-414
B9,ACR-415
B10,ACR-415
B11,ACR-416
B12,ACR-416
C1,ACR-417
C2,ACR-417
C3,ACR-418
C4,ACR-418
C5,ACR-420
C6,ACR-420
C7,ACR-421
C8,ACR-421
C9,ACR-422
C10,ACR-422
C11,ACR-423
C12,ACR-423
D1,ACR-424
D2,ACR-424
D3,ACR-425
D4,ACR-425
D5,ACR-426
D6,ACR-426
D7,ACR-427
D8,ACR-427
D9,ACR-428
D10,ACR-428
D11,ACR-429
D12,ACR-429
E1,ACR-430
E2,ACR-430
E3,ACR-431
E4,ACR-431
E5,ACR-432
E6,ACR-432
E7,ACR-433
E8,ACR-433
E9,ACR-434
E10,ACR-434
E11,ACR-435
E12,ACR-435
F1,ACR-436
F2,ACR-436
F3,ACR-437
F4,ACR-437
F5,ACR-438
F6,ACR-438
F7,ACR-439
F8,ACR-439
F9,ACR-446
F10,ACR-446
F11,ACR-447
F12,ACR-447
G1,ACR-448
G2,ACR-448
G3,ACR-449
G4,ACR-449
G5,ACR-451
G6,ACR-451
G7,ACR-456
G8,ACR-456
G9,ACR-457
G10,ACR-457
G11,ACR-458
G12,ACR-458
H1,ACR-459
H2,ACR-459
H3,ACR-460
H4,ACR-460
H5,ACR-461
H6,ACR-461
H7,ACR-462
H8,ACR-462
H9,ACR-463
H10,ACR-463
H11,ACR-464
H12,ACR-464
